,9/18/2020,9/19/2020,9/20/2020,9/25/2020,9/26/2020,9/27/2020,10/2/2020,10/3/2020,10/4/2020,10/17/2020,10/18/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/30/2020,10/31/2020,11/1/2020,11/2/2020,11/6/2020,11/7/2020,11/8/2020,11/21/2020,11/22/2020,11/27/2020,11/28/2020,11/29/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/11/2020,12/12/2020,12/13/2020,12/15/2020,12/16/2020,12/18/2020,12/19/2020,12/20/2020,1/2/2021,1/3/2021,1/8/2021,1/9/2021,1/10/2021,1/15/2021,1/16/2021,1/17/2021,1/19/2021,1/20/2021,1/22/2021,1/23/2021,1/24/2021,1/29/2021,1/30/2021,1/31/2021,2/5/2021,2/6/2021,2/7/2021,2/12/2021,2/13/2021,2/14/2021,2/15/2021,2/19/2021,2/20/2021,2/21/2021,2/26/2021,2/27/2021,2/28/2021,3/5/2021,3/6/2021,3/7/2021,3/10/2021,3/12/2021,3/13/2021,3/14/2021,3/19/2021,3/20/2021,3/21/2021,4/3/2021,4/4/2021,4/9/2021,4/10/2021,4/11/2021,4/12/2021,4/16/2021,4/17/2021,4/18/2021,4/20/2021,4/21/2021
Augsburg,,W,,,W,,,,D,L,,,,,L,,W,,,,L,,D,,,D,,,,,L,,,D,,W,,L,,W,,,,L,,L,,,L,,W,,,L,,,L,,L,,,,,,D,,,W,,L,,,W,,,,,L,W,,,,L,,,D,,L,
Bayern Munich,W,,,,,L,,,W,W,,,W,,,,W,,,,W,,D,,,W,,,D,,,,D,,,W,,W,,,W,L,,,,,W,,W,,,W,,W,,W,,,,,,D,,L,,,W,,,W,,,,W,,,W,,W,,,D,,,,W,,W,
Bielefeld,,D,,,W,,,L,,L,,,,L,,,L,,,,L,,L,,,L,,,W,,,,L,,,L,,W,,L,,,,W,,D,,,W,,L,,,,L,,,,,,,D,L,,,,L,,,,D,L,,,W,L,,,D,,W,,,,,D,,W,
Dortmund,,W,,,L,,,W,,W,,,W,,,,W,,,,L,,W,,,L,,,D,,,,L,,W,,L,,,,W,,W,,,D,,L,,L,,,,W,,,L,,,D,,,,W,,,W,,,L,,,,W,,,D,,L,,,W,,,,,W,,W
Ein Frankfurt,,D,,W,,,,W,,,D,,L,,,,D,,,,D,,D,,,D,,,D,,,L,,,D,,,W,,W,,,W,,,,W,,D,,W,,,W,,,,W,,,W,,,W,,L,,,,D,,,,,D,,W,,W,,,W,,,,L,,W,
FC Koln,,L,,,L,,,L,,,D,D,,,,,L,,,D,,,,L,,W,,,D,,,,W,,,L,,D,,L,,,L,,,D,,,W,,,L,,,W,,W,,,,L,,,L,,,L,,,,D,,,L,,,D,,L,,,,L,,,L,,W,
Freiburg,,W,,,,D,,L,,D,,,D,,,,,L,,,L,,,L,,D,,,D,,,,W,,,W,,,W,W,,,W,,,,L,,D,,W,,,,L,,W,,,D,,,,L,,,,W,,L,,,,L,,,,W,L,,L,,,,,W,,,
Hertha,,W,,L,,,,,L,L,,,L,,,,,D,,,W,,L,,,,D,W,,,,,D,,D,,,,L,W,,,,L,,D,,L,,,L,,,L,,L,,,,D,,,,,L,,L,,,W,,,,L,,,,W,,D,,D,,,,,,,
Hoffenheim,,W,,,,W,,L,,L,,,,D,,,,,L,,,L,D,,,,D,,,,W,,,L,,L,,W,,L,,,L,,,D,,W,,,,W,,L,,,,L,,D,,,,,W,,,D,,W,,,,,L,,,L,L,,,,,D,D,,,,W
Leverkusen,,,D,,D,,,D,,W,,,,,W,,,W,,,,W,W,,,,D,,,W,,,,W,,W,,L,,L,,,D,,L,,,W,,,L,,,L,,,W,,,D,,,,,D,,,L,,W,,,,,L,,,L,W,,,,,D,,W,,L,
