,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS,HS,HST,AS,AST,HY,AY,HR,AR,HCO,ACO,TG,TC,OV15,OV25,OV35,TY,TR,matchid,goalmins,n,shirts,Bookings,Crossbookings,GoalsXbookings,CornersXbookings,ShirtsXbookings,GoalsXcorners,GoalsXshirts,ShirtsXcorners,TGMXcorners,GoalsXcornerXbookings
8,D1,8/7/2022,Stuttgart,RB Leipzig,1,1,D,1,1,D,4.44,4.12,1.8,1-Jan,1-Jan,11,2,27,9,2,1,0,0,1,9,2,10,Y,N,N,3,0,Stuttgart-RB Leipzig,39,2,50,30,200,60,300,1500,20,100,500,390,600
14,D1,8/13/2022,RB Leipzig,FC Koln,2,2,D,1,1,D,1.44,4.91,7.76,1-Jan,2-Feb,9,5,12,3,1,4,1,0,2,7,4,9,Y,Y,Y,5,1,RB Leipzig-FC Koln,204,4,94,75,1400,300,675,7050,36,376,846,1836,2700
25,D1,8/20/2022,Union Berlin,RB Leipzig,2,1,H,2,0,H,3.7,3.63,2.1,Feb-00,1-Feb,9,4,16,2,2,1,0,0,1,13,3,14,Y,Y,N,3,0,Union Berlin-RB Leipzig,153,3,76,30,200,90,420,2280,42,228,1064,2142,1260
32,D1,8/27/2022,RB Leipzig,Wolfsburg,2,0,H,1,0,H,1.5,4.73,6.89,Jan-00,Feb-00,16,7,9,4,3,3,0,0,8,4,2,12,Y,N,N,6,0,RB Leipzig-Wolfsburg,95,2,36,60,900,120,720,2160,24,72,432,1140,1440
43,D1,9/3/2022,Ein Frankfurt,RB Leipzig,4,0,H,2,0,H,3.68,3.78,2.06,Feb-00,Apr-00,14,9,5,0,1,1,0,0,4,3,4,7,Y,Y,Y,2,0,Ein Frankfurt-RB Leipzig,189,4,86,20,100,80,140,1720,28,344,602,1323,560
51,D1,9/10/2022,RB Leipzig,Dortmund,3,0,H,2,0,H,2.39,3.94,2.86,Feb-00,Mar-00,14,5,4,0,2,1,0,0,5,8,3,13,Y,Y,N,3,0,RB Leipzig-Dortmund,135,3,29,30,200,90,390,870,39,87,377,1755,1170
60,D1,9/17/2022,Mgladbach,RB Leipzig,3,0,H,2,0,H,3.16,3.67,2.31,Feb-00,Mar-00,21,10,13,6,2,2,0,0,8,3,3,11,Y,Y,N,4,0,Mgladbach-RB Leipzig,98,3,71,40,400,120,440,2840,33,213,781,1078,1320
68,D1,10/1/2022,RB Leipzig,Bochum,4,0,H,2,0,H,1.25,7.21,11.05,Feb-00,Apr-00,17,9,2,1,0,2,0,0,7,2,4,9,Y,Y,Y,2,0,RB Leipzig-Bochum,0,0,0,20,0,80,180,0,36,0,0,0,720
77,D1,10/8/2022,Mainz,RB Leipzig,1,1,D,1,0,H,3.07,3.66,2.36,Jan-00,1-Jan,9,3,12,3,1,1,0,0,4,2,2,6,Y,N,N,2,0,Mainz-RB Leipzig,125,2,29,20,100,40,120,580,12,58,174,750,240
87,D1,10/15/2022,RB Leipzig,Hertha,3,2,H,3,0,H,1.43,5.03,7.84,Mar-00,2-Mar,14,5,16,5,2,3,0,0,8,4,5,12,Y,Y,Y,5,0,RB Leipzig-Hertha,226,5,84,50,600,250,600,4200,60,420,1008,2712,3000
