Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS,HS,HST,AS,AST
E0,12/09/2020,Fulham,Arsenal,0,3,A,0,1,A,6.16,4.51,1.56,0-1,0-3,5,2,13,6
E0,12/09/2020,Crystal Palace,Southampton,1,0,H,1,0,H,3.32,3.29,2.4,1-0,1-0,5,3,9,5
E0,12/09/2020,Liverpool,Leeds,4,3,H,3,2,H,1.31,6.25,9.92,3-2,4-3,22,6,6,3
E0,12/09/2020,West Ham,Newcastle,0,2,A,0,0,D,2.18,3.61,3.5,0-0,0-2,15,3,15,2
E0,13/09/2020,West Brom,Leicester,0,3,A,0,0,D,4,3.59,2,0-0,0-3,7,1,13,7
E0,13/09/2020,Tottenham,Everton,0,1,A,0,0,D,1.94,3.57,4.3,0-0,0-1,9,5,15,4
E0,14/09/2020,Brighton,Chelsea,1,3,A,0,1,A,5.36,4.34,1.65,0-1,1-3,13,3,10,5
E0,14/09/2020,Sheffield United,Wolves,0,2,A,0,2,A,3.41,3.03,2.46,0-2,0-2,9,2,11,4
E0,19/09/2020,Everton,West Brom,5,2,H,2,1,H,1.55,4.33,6.46,2-1,5-2,17,7,6,4
E0,19/09/2020,Leeds,Fulham,4,3,H,2,1,H,1.65,4.05,5.61,2-1,4-3,10,7,14,6
E0,19/09/2020,Man United,Crystal Palace,1,3,A,0,1,A,1.3,5.88,9.8,0-1,1-3,13,4,14,5
E0,19/09/2020,Arsenal,West Ham,2,1,H,1,1,D,1.54,4.58,6.09,1-1,2-1,7,3,14,3
E0,20/09/2020,Southampton,Tottenham,2,5,A,1,1,D,3.12,3.39,2.41,1-1,2-5,14,7,9,6
E0,20/09/2020,Newcastle,Brighton,0,3,A,0,2,A,2.66,3.22,2.91,0-2,0-3,6,0,13,6
E0,20/09/2020,Chelsea,Liverpool,0,2,A,0,0,D,3.2,3.85,2.19,0-0,0-2,5,3,18,6
E0,20/09/2020,Leicester,Burnley,4,2,H,1,1,D,1.63,4.13,5.79,1-1,4-2,14,6,16,5
E0,21/09/2020,Aston Villa,Sheffield United,1,0,H,0,0,D,2.77,3.22,2.78,0-0,1-0,18,2,4,1
E0,21/09/2020,Wolves,Man City,1,3,A,0,2,A,6.27,4.35,1.56,0-2,1-3,10,1,14,9
E0,26/09/2020,Brighton,Man United,2,3,A,1,1,D,5.1,3.82,1.78,1-1,2-3,18,5,7,3
E0,26/09/2020,Crystal Palace,Everton,1,2,A,1,2,A,3.72,3.44,2.17,1-2,1-2,8,1,10,5
E0,26/09/2020,West Brom,Chelsea,3,3,D,3,0,H,8.55,5.33,1.39,3-0,3-3,9,3,22,10
E0,26/09/2020,Burnley,Southampton,0,1,A,0,1,A,3.41,3.31,2.36,0-1,0-1,10,2,5,1
E0,27/09/2020,Sheffield United,Leeds,0,1,A,0,0,D,2.83,3.5,2.63,0-0,0-1,14,4,17,9
E0,27/09/2020,Tottenham,Newcastle,1,1,D,1,0,H,1.49,4.67,7.38,1-0,1-1,23,12,6,1
E0,27/09/2020,Man City,Leicester,2,5,A,1,1,D,1.31,6.19,10.09,1-1,2-5,16,5,7,7
E0,27/09/2020,West Ham,Wolves,4,0,H,1,0,H,3.87,3.5,2.1,1-0,4-0,15,7,11,2
E0,28/09/2020,Fulham,Aston Villa,0,3,A,0,2,A,2.98,3.32,2.54,0-2,0-3,16,3,12,5
E0,28/09/2020,Liverpool,Arsenal,3,1,H,2,1,H,1.5,4.76,6.53,2-1,3-1,21,8,4,3
E0,03/10/2020,Chelsea,Crystal Palace,4,0,H,0,0,D,1.43,4.86,7.79,0-0,4-0,17,6,4,0
E0,03/10/2020,Everton,Brighton,4,2,H,2,1,H,1.78,3.82,4.82,2-1,4-2,11,6,11,3
E0,03/10/2020,Leeds,Man City,1,1,D,0,1,A,7.98,5.31,1.37,0-1,1-1,12,7,23,2
E0,03/10/2020,Newcastle,Burnley,3,1,H,1,0,H,2.51,3.2,3.12,1-0,3-1,10,5,7,3
E0,04/10/2020,Leicester,West Ham,0,3,A,0,2,A,1.7,4.16,4.94,0-2,0-3,4,0,14,6
E0,04/10/2020,Southampton,West Brom,2,0,H,1,0,H,1.78,3.91,4.71,1-0,2-0,13,7,5,2
E0,04/10/2020,Arsenal,Sheffield United,2,1,H,0,0,D,1.56,4.17,6.73,0-0,2-1,6,5,6,2
E0,04/10/2020,Wolves,Fulham,1,0,H,0,0,D,1.51,4.2,7.63,0-0,1-0,14,5,10,2
E0,04/10/2020,Man United,Tottenham,1,6,A,1,4,A,1.93,3.76,4.09,1-4,1-6,5,2,22,8
E0,04/10/2020,Aston Villa,Liverpool,7,2,H,4,1,H,10.05,5.4,1.33,4-1,7-2,18,11,14,8
E0,17/10/2020,Everton,Liverpool,2,2,D,1,1,D,4.04,4.2,1.87,1-1,2-2,11,5,22,8
E0,17/10/2020,Chelsea,Southampton,3,3,D,2,1,H,1.56,4.53,6.14,2-1,3-3,11,5,13,6
E0,17/10/2020,Man City,Arsenal,1,0,H,1,0,H,1.51,4.87,6.36,1-0,1-0,13,5,11,3
E0,17/10/2020,Newcastle,Man United,1,4,A,1,1,D,4.87,4.18,1.74,1-1,1-4,7,4,28,14
