"","final_first_column_ecdiv","final_second_column_ecdiv"
"1","Aldershot","Solihull"
"2","Aldershot","Solihull"
"3","Aldershot","Solihull"
"4","Aldershot","Solihull"
"5","Solihull","Aldershot"
"6","Solihull","Aldershot"
"7","Solihull","Aldershot"
"8","Solihull","Aldershot"
"9","Altrincham","Maidstone"
"10","Altrincham","Maidstone"
"11","Altrincham","Maidstone"
"12","Altrincham","Maidstone"
"13","Maidstone","Altrincham"
"14","Maidstone","Altrincham"
"15","Maidstone","Altrincham"
"16","Maidstone","Altrincham"
"17","Barnet","Halifax"
"18","Barnet","Halifax"
"19","Barnet","Halifax"
"20","Barnet","Halifax"
"21","Halifax","Barnet"
"22","Halifax","Barnet"
"23","Halifax","Barnet"
"24","Halifax","Barnet"
"25","Dag and Red","Gateshead"
"26","Dag and Red","Gateshead"
"27","Dag and Red","Gateshead"
"28","Dag and Red","Gateshead"
"29","Gateshead","Dag and Red"
"30","Gateshead","Dag and Red"
"31","Gateshead","Dag and Red"
"32","Gateshead","Dag and Red"
"33","Dorking","Chesterfield"
"34","Dorking","Chesterfield"
"35","Dorking","Chesterfield"
"36","Dorking","Chesterfield"
"37","Chesterfield","Dorking"
"38","Chesterfield","Dorking"
"39","Chesterfield","Dorking"
"40","Chesterfield","Dorking"
"41","Notts County","Maidenhead"
"42","Notts County","Maidenhead"
"43","Notts County","Maidenhead"
"44","Notts County","Maidenhead"
"45","Maidenhead","Notts County"
"46","Maidenhead","Notts County"
"47","Maidenhead","Notts County"
"48","Maidenhead","Notts County"
"49","Southend","Boreham Wood"
"50","Southend","Boreham Wood"
"51","Southend","Boreham Wood"
"52","Southend","Boreham Wood"
"53","Boreham Wood","Southend"
"54","Boreham Wood","Southend"
"55","Boreham Wood","Southend"
"56","Boreham Wood","Southend"
"57","Torquay","Oldham"
"58","Torquay","Oldham"
"59","Torquay","Oldham"
"60","Torquay","Oldham"
"61","Oldham","Torquay"
"62","Oldham","Torquay"
"63","Oldham","Torquay"
"64","Oldham","Torquay"
"65","Wealdstone","Bromley"
"66","Wealdstone","Bromley"
"67","Wealdstone","Bromley"
"68","Wealdstone","Bromley"
"69","Bromley","Wealdstone"
"70","Bromley","Wealdstone"
"71","Bromley","Wealdstone"
"72","Bromley","Wealdstone"
"73","Wrexham","Eastleigh"
"74","Wrexham","Eastleigh"
"75","Wrexham","Eastleigh"
"76","Wrexham","Eastleigh"
"77","Eastleigh","Wrexham"
"78","Eastleigh","Wrexham"
"79","Eastleigh","Wrexham"
"80","Eastleigh","Wrexham"
"81","York","Woking"
"82","York","Woking"
"83","York","Woking"
"84","York","Woking"
"85","Woking","York"
"86","Woking","York"
"87","Woking","York"
"88","Woking","York"
"89","Scunthorpe","Yeovil"
"90","Scunthorpe","Yeovil"
"91","Scunthorpe","Yeovil"
"92","Scunthorpe","Yeovil"
"93","Yeovil","Scunthorpe"
"94","Yeovil","Scunthorpe"
"95","Yeovil","Scunthorpe"
"96","Yeovil","Scunthorpe"
