"","ec_division","ec_teams","ec_avg_AG","ec_away_as","ec_away_ds","ec_totalgames_poiss"
"1","EC","Aldershot","1.3333","1.1667","0.9","no18"
"2","EC","Altrincham","1.3333","1.35","1.1475","no18"
"3","EC","Barnet","1.3333","0.975","1.1475","no18"
"4","EC","Boreham Wood","1.3333","1.0834","0.675","no18"
"5","EC","Bromley","1.3333","1.0834","0.9","no18"
"6","EC","Chesterfield","1.3333","1.275","0.405","no18"
"7","EC","Dag and Red","1.3333","1","0.75","no18"
"8","EC","Dover Athletic","1.3333","0.6667","1.875","no18"
"9","EC","Eastleigh","1.3333","0.4688","0.9281","no18"
"10","EC","Grimsby","1.3333","0.9","1.0125","no18"
"11","EC","Halifax","1.3333","0.975","0.6075","no18"
"12","EC","Kings Lynn","1.3333","0.9167","1.725","no18"
"13","EC","Maidenhead","1.3333","0.3333","1.2","no18"
"14","EC","Notts County","1.3333","1.0834","0.675","no18"
"15","EC","Solihull","1.3333","0.8334","0.675","no18"
"16","EC","Southend","1.3333","0.375","1.08","no18"
"17","EC","Stockport","1.3333","1.35","0.81","no18"
"18","EC","Torquay","1.3333","0.9","1.1475","no18"
"19","EC","Wealdstone","1.3333","0.9167","1.35","no18"
"20","EC","Weymouth","1.3333","0.75","1.575","no18"
"21","EC","Woking","1.3333","1.425","1.0125","no18"
"22","EC","Wrexham","1.3333","1.841","0.9204","no18"
"23","EC","Yeovil","1.3333","1.0313","0.5062","no18"
