"","final_first_column_swe","final_second_column_swe"
"1","Norrkoping","Degerfors"
"2","Norrkoping","Degerfors"
"3","Norrkoping","Degerfors"
"4","Norrkoping","Degerfors"
"5","Degerfors","Norrkoping"
"6","Degerfors","Norrkoping"
"7","Degerfors","Norrkoping"
"8","Degerfors","Norrkoping"
"9","Hammarby","Sundsvall"
"10","Hammarby","Sundsvall"
"11","Hammarby","Sundsvall"
"12","Hammarby","Sundsvall"
"13","Sundsvall","Hammarby"
"14","Sundsvall","Hammarby"
"15","Sundsvall","Hammarby"
"16","Sundsvall","Hammarby"
"17","Kalmar","AIK"
"18","Kalmar","AIK"
"19","Kalmar","AIK"
"20","Kalmar","AIK"
"21","AIK","Kalmar"
"22","AIK","Kalmar"
"23","AIK","Kalmar"
"24","AIK","Kalmar"
"25","Sirius","Malmo FF"
"26","Sirius","Malmo FF"
"27","Sirius","Malmo FF"
"28","Sirius","Malmo FF"
"29","Malmo FF","Sirius"
"30","Malmo FF","Sirius"
"31","Malmo FF","Sirius"
"32","Malmo FF","Sirius"
"33","Mjallby","Elfsborg"
"34","Mjallby","Elfsborg"
"35","Mjallby","Elfsborg"
"36","Mjallby","Elfsborg"
"37","Elfsborg","Mjallby"
"38","Elfsborg","Mjallby"
"39","Elfsborg","Mjallby"
"40","Elfsborg","Mjallby"
"41","Varnamo","Djurgarden"
"42","Varnamo","Djurgarden"
"43","Varnamo","Djurgarden"
"44","Varnamo","Djurgarden"
"45","Djurgarden","Varnamo"
"46","Djurgarden","Varnamo"
"47","Djurgarden","Varnamo"
"48","Djurgarden","Varnamo"
"49","Hacken","Helsingborg"
"50","Hacken","Helsingborg"
"51","Hacken","Helsingborg"
"52","Hacken","Helsingborg"
"53","Helsingborg","Hacken"
"54","Helsingborg","Hacken"
"55","Helsingborg","Hacken"
"56","Helsingborg","Hacken"
"57","Varberg","Goteborg"
"58","Varberg","Goteborg"
"59","Varberg","Goteborg"
"60","Varberg","Goteborg"
"61","Goteborg","Varberg"
"62","Goteborg","Varberg"
"63","Goteborg","Varberg"
"64","Goteborg","Varberg"
