"","MatchNumber","RoundNumber","Location","Date","Home_Team","Away_Team"
"1","  1","1","stadium","7/24/2021","Lausanne","St. Gallen"
"2","  2","1","stadium","7/24/2021","Luzern","Young Boys"
"3","  3","1","stadium","7/25/2021","Grasshoppers","Basel"
"4","  4","1","stadium","7/25/2021","Sion","Servette"
"5","  5","1","stadium","7/25/2021","Lugano","Zurich"
"6","  6","1","stadium","7/31/2021","Young Boys","Grasshoppers"
"7","  7","1","stadium","7/31/2021","Zurich","Lausanne"
"8","  8","1","stadium","8/1/2021","Servette","Lugano"
"9","  9","1","stadium","8/1/2021","St. Gallen","Luzern"
"10"," 10","1","stadium","8/1/2021","Basel","Sion"
"11"," 11","1","stadium","8/7/2021","Grasshoppers","Lausanne"
"12"," 12","1","stadium","8/7/2021","Sion","Young Boys"
"13"," 13","1","stadium","8/8/2021","Basel","Servette"
"14"," 14","1","stadium","8/8/2021","Lugano","St. Gallen"
"15"," 15","1","stadium","8/8/2021","Luzern","Zurich"
"16"," 16","1","stadium","8/21/2021","Young Boys","Lugano"
"17"," 17","1","stadium","8/21/2021","St. Gallen","Sion"
"18"," 18","1","stadium","8/22/2021","Lausanne","Basel"
"19"," 19","1","stadium","8/22/2021","Zurich","Grasshoppers"
"20"," 20","1","stadium","8/22/2021","Servette","Luzern"
"21"," 21","1","stadium","8/28/2021","Sion","Lugano"
"22"," 22","1","stadium","8/28/2021","St. Gallen","Zurich"
"23"," 23","1","stadium","8/29/2021","Luzern","Lausanne"
"24"," 24","1","stadium","8/29/2021","Grasshoppers","Servette"
"25"," 25","1","stadium","8/29/2021","Basel","Young Boys"
"26"," 26","1","stadium","9/11/2021","Luzern","Grasshoppers"
"27"," 27","1","stadium","9/11/2021","Young Boys","Zurich"
"28"," 28","1","stadium","9/12/2021","Lugano","Basel"
"29"," 29","1","stadium","9/12/2021","Lausanne","Sion"
"30"," 30","1","stadium","9/12/2021","Servette","St. Gallen"
"31"," 31","1","stadium","9/21/2021","Zurich","Servette"
"32"," 32","1","stadium","9/22/2021","St. Gallen","Basel"
"33"," 33","1","stadium","9/22/2021","Lausanne","Young Boys"
"34"," 34","1","stadium","9/23/2021","Lugano","Grasshoppers"
"35"," 35","1","stadium","9/23/2021","Sion","Luzern"
"36"," 36","1","stadium","9/25/2021","Servette","Lausanne"
"37"," 37","1","stadium","9/25/2021","Young Boys","St. Gallen"
"38"," 38","1","stadium","9/26/2021","Luzern","Lugano"
"39"," 39","1","stadium","9/26/2021","Grasshoppers","Sion"
"40"," 40","1","stadium","9/26/2021","Basel","Zurich"
"41"," 41","1","stadium","10/2/2021","Lugano","Lausanne"
"42"," 42","1","stadium","10/2/2021","Grasshoppers","St. Gallen"
"43"," 43","1","stadium","10/3/2021","Basel","Luzern"
"44"," 44","1","stadium","10/3/2021","Zurich","Sion"
"45"," 45","1","stadium","10/3/2021","Servette","Young Boys"
"46"," 46","1","stadium","10/16/2021","Sion","Basel"
"47"," 47","1","stadium","10/16/2021","Lausanne","Grasshoppers"
"48"," 48","1","stadium","10/16/2021","Zurich","Lugano"
