"","CS","n"
"1","0-0",263
"2","0-1",304
"3","0-2",181
"4","0-3",74
"5","0-4",29
"6","0-5",4
"7","0-6",5
"8","0-7",3
"9","0-9",1
"10","1-0",378
"11","1-1",404
"12","1-2",243
"13","1-3",75
"14","1-4",37
"15","1-5",3
"16","1-6",4
"17","1-7",1
"18","2-0",213
"19","2-1",330
"20","2-2",173
"21","2-3",77
"22","2-4",17
"23","2-5",7
"24","3-0",145
"25","3-1",119
"26","3-2",72
"27","3-3",33
"28","3-4",8
"29","3-5",2
"30","3-6",2
"31","4-0",67
"32","4-1",47
"33","4-2",34
"34","4-3",9
"35","4-4",5
"36","5-0",31
"37","5-1",17
"38","5-2",13
"39","5-4",3
"40","5-5",1
"41","6-0",3
"42","6-1",9
"43","6-2",3
"44","6-3",1
"45","7-1",2
"46","7-2",1
"47","9-0",1
