"","final_first_column_sp1","final_second_column_sp1"
"1","Barcelona","Vallecano"
"2","Vallecano","Barcelona"
"3","Elche","Mallorca"
"4","Mallorca","Elche"
"5","Ath Bilbao","Betis"
"6","Betis","Ath Bilbao"
"7","Real Madrid","Ath Madrid"
"8","Ath Madrid","Real Madrid"
"9","Sevilla","Valencia"
"10","Valencia","Sevilla"
"11","Celta","Alaves"
"12","Alaves","Celta"
"13","Levante","Oviedo"
"14","Oviedo","Levante"
"15","Villarreal","Sociedad"
"16","Sociedad","Villarreal"
"17","Osasuna","Girona"
"18","Girona","Osasuna"
"19","Espanol","Getafe"
"20","Getafe","Espanol"
