"","MatchNumber","RoundNumber","Location","Date","Home_Team","Away_Team"
"1","  1","1","stadium","8/7/2021","Stevenage","Barrow"
"2","  2","1","stadium","8/7/2021","Exeter","Bradford"
"3","  3","1","stadium","8/7/2021","Mansfield","Bristol Rvs"
"4","  4","1","stadium","8/7/2021","Carlisle","Colchester"
"5","  5","1","stadium","8/7/2021","Hartlepool","Crawley Town"
"6","  6","1","stadium","8/7/2021","Salford","Leyton Orient"
"7","  7","1","stadium","8/7/2021","Oldham","Newport County"
"8","  8","1","stadium","8/7/2021","Northampton","Port Vale"
"9","  9","1","stadium","8/7/2021","Harrogate","Rochdale"
"10"," 10","1","stadium","8/7/2021","Forest Green","Sutton"
"11"," 11","1","stadium","8/7/2021","Scunthorpe","Swindon"
"12"," 12","1","stadium","8/7/2021","Tranmere","Walsall"
"13"," 13","1","stadium","8/14/2021","Swindon","Carlisle"
"14"," 14","1","stadium","8/14/2021","Leyton Orient","Exeter"
"15"," 15","1","stadium","8/14/2021","Walsall","Forest Green"
"16"," 16","1","stadium","8/14/2021","Crawley Town","Harrogate"
"17"," 17","1","stadium","8/14/2021","Barrow","Hartlepool"
"18"," 18","1","stadium","8/14/2021","Newport County","Mansfield"
"19"," 19","1","stadium","8/14/2021","Colchester","Northampton"
"20"," 20","1","stadium","8/14/2021","Bradford","Oldham"
"21"," 21","1","stadium","8/14/2021","Sutton","Salford"
"22"," 22","1","stadium","8/14/2021","Rochdale","Scunthorpe"
"23"," 23","1","stadium","8/14/2021","Bristol Rvs","Stevenage"
"24"," 24","1","stadium","8/14/2021","Port Vale","Tranmere"
"25"," 25","1","stadium","8/17/2021","Port Vale","Carlisle"
"26"," 26","1","stadium","8/17/2021","Barrow","Exeter"
"27"," 27","1","stadium","8/17/2021","Rochdale","Forest Green"
"28"," 28","1","stadium","8/17/2021","Leyton Orient","Harrogate"
"29"," 29","1","stadium","8/17/2021","Sutton","Hartlepool"
"30"," 30","1","stadium","8/17/2021","Colchester","Mansfield"
"31"," 31","1","stadium","8/17/2021","Newport County","Northampton"
"32"," 32","1","stadium","8/17/2021","Bristol Rvs","Oldham"
"33"," 33","1","stadium","8/17/2021","Crawley Town","Salford"
"34"," 34","1","stadium","8/17/2021","Walsall","Scunthorpe"
"35"," 35","1","stadium","8/17/2021","Bradford","Stevenage"
"36"," 36","1","stadium","8/17/2021","Swindon","Tranmere"
"37"," 37","1","stadium","8/21/2021","Harrogate","Barrow"
"38"," 38","1","stadium","8/21/2021","Mansfield","Bradford"
"39"," 39","1","stadium","8/21/2021","Exeter","Bristol Rvs"
"40"," 40","1","stadium","8/21/2021","Oldham","Colchester"
"41"," 41","1","stadium","8/21/2021","Forest Green","Crawley Town"
"42"," 42","1","stadium","8/21/2021","Carlisle","Leyton Orient"
"43"," 43","1","stadium","8/21/2021","Tranmere","Newport County"
"44"," 44","1","stadium","8/21/2021","Stevenage","Port Vale"
"45"," 45","1","stadium","8/21/2021","Northampton","Rochdale"
"46"," 46","1","stadium","8/21/2021","Scunthorpe","Sutton"
"47"," 47","1","stadium","8/21/2021","Salford","Swindon"
"48"," 48","1","stadium","8/21/2021","Hartlepool","Walsall"
"49"," 49","1","stadium","8/28/2021","Leyton Orient","Bradford"
"50"," 50","1","stadium","8/28/2021","Barrow","Bristol Rvs"
"51"," 51","1","stadium","8/28/2021","Hartlepool","Carlisle"
"52"," 52","1","stadium","8/28/2021","Rochdale","Colchester"
"53"," 53","1","stadium","8/28/2021","Harrogate","Exeter"
"54"," 54","1","stadium","8/28/2021","Swindon","Mansfield"
"55"," 55","1","stadium","8/28/2021","Salford","Newport County"
"56"," 56","1","stadium","8/28/2021","Crawley Town","Northampton"
"57"," 57","1","stadium","8/28/2021","Sutton","Oldham"
"58"," 58","1","stadium","8/28/2021","Forest Green","Port Vale"
"59"," 59","1","stadium","8/28/2021","Walsall","Stevenage"
"60"," 60","1","stadium","8/28/2021","Scunthorpe","Tranmere"
"61"," 61","1","stadium","9/4/2021","Oldham","Barrow"
"62"," 62","1","stadium","9/4/2021","Bristol Rvs","Crawley Town"
"63"," 63","1","stadium","9/4/2021","Exeter","Forest Green"
"64"," 64","1","stadium","9/4/2021","Mansfield","Harrogate"
"65"," 65","1","stadium","9/4/2021","Tranmere","Hartlepool"
"66"," 66","1","stadium","9/4/2021","Newport County","Leyton Orient"
"67"," 67","1","stadium","9/4/2021","Port Vale","Rochdale"
"68"," 68","1","stadium","9/4/2021","Carlisle","Salford"
"69"," 69","1","stadium","9/4/2021","Northampton","Scunthorpe"
"70"," 70","1","stadium","9/4/2021","Colchester","Sutton"
"71"," 71","1","stadium","9/4/2021","Stevenage","Swindon"
"72"," 72","1","stadium","9/4/2021","Bradford","Walsall"
"73"," 73","1","stadium","9/11/2021","Salford","Bradford"
"74"," 74","1","stadium","9/11/2021","Hartlepool","Bristol Rvs"
"75"," 75","1","stadium","9/11/2021","Crawley Town","Carlisle"
"76"," 76","1","stadium","9/11/2021","Barrow","Colchester"
"77"," 77","1","stadium","9/11/2021","Scunthorpe","Exeter"
"78"," 78","1","stadium","9/11/2021","Walsall","Mansfield"
"79"," 79","1","stadium","9/11/2021","Harrogate","Newport County"
"80"," 80","1","stadium","9/11/2021","Forest Green","Northampton"
"81"," 81","1","stadium","9/11/2021","Leyton Orient","Oldham"
"82"," 82","1","stadium","9/11/2021","Swindon","Port Vale"
"83"," 83","1","stadium","9/11/2021","Sutton","Stevenage"
"84"," 84","1","stadium","9/11/2021","Rochdale","Tranmere"
"85"," 85","1","stadium","9/18/2021","Bradford","Barrow"
"86"," 86","1","stadium","9/18/2021","Colchester","Crawley Town"
"87"," 87","1","stadium","9/18/2021","Stevenage","Forest Green"
"88"," 88","1","stadium","9/18/2021","Port Vale","Harrogate"
"89"," 89","1","stadium","9/18/2021","Oldham","Hartlepool"
"90"," 90","1","stadium","9/18/2021","Bristol Rvs","Leyton Orient"
"91"," 91","1","stadium","9/18/2021","Mansfield","Rochdale"
"92"," 92","1","stadium","9/18/2021","Tranmere","Salford"
"93"," 93","1","stadium","9/18/2021","Carlisle","Scunthorpe"
"94"," 94","1","stadium","9/18/2021","Exeter","Sutton"
"95"," 95","1","stadium","9/18/2021","Northampton","Swindon"
"96"," 96","1","stadium","9/18/2021","Newport County","Walsall"
"97"," 97","1","stadium","9/25/2021","Crawley Town","Bradford"
"98"," 98","1","stadium","9/25/2021","Walsall","Bristol Rvs"
"99"," 99","1","stadium","9/25/2021","Sutton","Carlisle"
"100","100","1","stadium","9/25/2021","Swindon","Colchester"
"101","101","1","stadium","9/25/2021","Hartlepool","Exeter"
"102","102","1","stadium","9/25/2021","Leyton Orient","Mansfield"
"103","103","1","stadium","9/25/2021","Barrow","Newport County"
"104","104","1","stadium","9/25/2021","Salford","Northampton"
"105","105","1","stadium","9/25/2021","Rochdale","Oldham"
"106","106","1","stadium","9/25/2021","Scunthorpe","Port Vale"
"107","107","1","stadium","9/25/2021","Harrogate","Stevenage"
"108","108","1","stadium","9/25/2021","Forest Green","Tranmere"
"109","109","1","stadium","10/2/2021","Mansfield","Barrow"
"110","110","1","stadium","10/2/2021","Tranmere","Crawley Town"
