"","final_first_column_b1","final_second_column_b1"
"1","Charleroi","Club Brugge"
"2","Charleroi","Club Brugge"
"3","Charleroi","Club Brugge"
"4","Charleroi","Club Brugge"
"5","Club Brugge","Charleroi"
"6","Club Brugge","Charleroi"
"7","Club Brugge","Charleroi"
"8","Club Brugge","Charleroi"
"9","Cercle Brugge","Waregem"
"10","Cercle Brugge","Waregem"
"11","Cercle Brugge","Waregem"
"12","Cercle Brugge","Waregem"
"13","Waregem","Cercle Brugge"
"14","Waregem","Cercle Brugge"
"15","Waregem","Cercle Brugge"
"16","Waregem","Cercle Brugge"
"17","Oud-Heverlee Leuven","Oostende"
"18","Oud-Heverlee Leuven","Oostende"
"19","Oud-Heverlee Leuven","Oostende"
"20","Oud-Heverlee Leuven","Oostende"
"21","Oostende","Oud-Heverlee Leuven"
"22","Oostende","Oud-Heverlee Leuven"
"23","Oostende","Oud-Heverlee Leuven"
"24","Oostende","Oud-Heverlee Leuven"
"25","Seraing","Genk"
"26","Seraing","Genk"
"27","Seraing","Genk"
"28","Seraing","Genk"
"29","Genk","Seraing"
"30","Genk","Seraing"
"31","Genk","Seraing"
"32","Genk","Seraing"
"33","St Truiden","Mechelen"
"34","St Truiden","Mechelen"
"35","St Truiden","Mechelen"
"36","St Truiden","Mechelen"
"37","Mechelen","St Truiden"
"38","Mechelen","St Truiden"
"39","Mechelen","St Truiden"
"40","Mechelen","St Truiden"
"41","Gent","Antwerp"
"42","Gent","Antwerp"
"43","Gent","Antwerp"
"44","Gent","Antwerp"
"45","Antwerp","Gent"
"46","Antwerp","Gent"
"47","Antwerp","Gent"
"48","Antwerp","Gent"
"49","Kortrijk","Standard"
"50","Kortrijk","Standard"
"51","Kortrijk","Standard"
"52","Kortrijk","Standard"
"53","Standard","Kortrijk"
"54","Standard","Kortrijk"
"55","Standard","Kortrijk"
"56","Standard","Kortrijk"
"57","St. Gilloise","Anderlecht"
"58","St. Gilloise","Anderlecht"
"59","St. Gilloise","Anderlecht"
"60","St. Gilloise","Anderlecht"
"61","Anderlecht","St. Gilloise"
"62","Anderlecht","St. Gilloise"
"63","Anderlecht","St. Gilloise"
"64","Anderlecht","St. Gilloise"
"65","Westerlo","Eupen"
"66","Westerlo","Eupen"
"67","Westerlo","Eupen"
"68","Westerlo","Eupen"
"69","Eupen","Westerlo"
"70","Eupen","Westerlo"
"71","Eupen","Westerlo"
"72","Eupen","Westerlo"
