"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS"
"1","E0",2010-08-14,"Aston Villa","West Ham",3,0,"H",2,0,"H",1.83,3.4,4.33,"2-0","3-0"
"2","E0",2010-08-14,"Blackburn","Everton",1,0,"H",1,0,"H",2.8,3.3,2.5,"1-0","1-0"
"3","E0",2010-08-14,"Bolton","Fulham",0,0,"D",0,0,"D",2.25,3.3,3.2,"0-0","0-0"
"4","E0",2010-08-14,"Chelsea","West Brom",6,0,"H",2,0,"H",1.14,7.5,19,"2-0","6-0"
"5","E0",2010-08-14,"Sunderland","Birmingham",2,2,"D",1,0,"H",2.1,3.3,3.5,"1-0","2-2"
"6","E0",2010-08-14,"Tottenham","Man City",0,0,"D",0,0,"D",2.3,3.3,3,"0-0","0-0"
"7","E0",2010-08-14,"Wigan","Blackpool",0,4,"A",0,3,"A",1.8,3.5,4.5,"0-3","0-4"
"8","E0",2010-08-14,"Wolves","Stoke",2,1,"H",2,0,"H",2.25,3.3,3.2,"2-0","2-1"
"9","E0",2010-08-15,"Liverpool","Arsenal",1,1,"D",0,0,"D",2.4,3.3,2.88,"0-0","1-1"
"10","E0",2010-08-16,"Man United","Newcastle",3,0,"H",2,0,"H",1.25,5.5,12,"2-0","3-0"
"11","E0",2010-08-21,"Arsenal","Blackpool",6,0,"H",3,0,"H",1.17,7,15,"3-0","6-0"
"12","E0",2010-08-21,"Birmingham","Blackburn",2,1,"H",0,0,"D",2.2,3.3,3.3,"0-0","2-1"
"13","E0",2010-08-21,"Everton","Wolves",1,1,"D",1,0,"H",1.53,3.75,7,"1-0","1-1"
"14","E0",2010-08-21,"Stoke","Tottenham",1,2,"A",1,2,"A",3.6,3.25,2.1,"1-2","1-2"
"15","E0",2010-08-21,"West Brom","Sunderland",1,0,"H",0,0,"D",2.5,3.2,2.88,"0-0","1-0"
"16","E0",2010-08-21,"West Ham","Bolton",1,3,"A",0,0,"D",2.2,3.25,3.25,"0-0","1-3"
"17","E0",2010-08-21,"Wigan","Chelsea",0,6,"A",0,1,"A",12,5.5,1.25,"0-1","0-6"
"18","E0",2010-08-22,"Fulham","Man United",2,2,"D",0,1,"A",5.5,3.75,1.62,"0-1","2-2"
"19","E0",2010-08-22,"Newcastle","Aston Villa",6,0,"H",3,0,"H",2.88,3.4,2.38,"3-0","6-0"
"20","E0",2010-08-23,"Man City","Liverpool",3,0,"H",1,0,"H",2.38,3.25,3,"1-0","3-0"
"21","E0",2010-08-28,"Blackburn","Arsenal",1,2,"A",1,1,"D",6,3.75,1.57,"1-1","1-2"
"22","E0",2010-08-28,"Blackpool","Fulham",2,2,"D",0,1,"A",3.1,3.25,2.3,"0-1","2-2"
"23","E0",2010-08-28,"Chelsea","Stoke",2,0,"H",1,0,"H",1.11,8,23,"1-0","2-0"
"24","E0",2010-08-28,"Man United","West Ham",3,0,"H",1,0,"H",1.17,7,15,"1-0","3-0"
"25","E0",2010-08-28,"Tottenham","Wigan",0,1,"A",0,0,"D",1.22,6,13,"0-0","0-1"
"26","E0",2010-08-28,"Wolves","Newcastle",1,1,"D",1,0,"H",2.38,3.25,3,"1-0","1-1"
"27","E0",2010-08-29,"Aston Villa","Everton",1,0,"H",1,0,"H",2.38,3.25,3,"1-0","1-0"
"28","E0",2010-08-29,"Bolton","Birmingham",2,2,"D",0,1,"A",2.1,3.4,3.4,"0-1","2-2"
"29","E0",2010-08-29,"Liverpool","West Brom",1,0,"H",0,0,"D",1.22,6,13,"0-0","1-0"
"30","E0",2010-08-29,"Sunderland","Man City",1,0,"H",0,0,"D",4,3.4,1.91,"0-0","1-0"
"31","E0",2010-09-11,"Arsenal","Bolton",4,1,"H",1,1,"D",1.2,6,15,"1-1","4-1"
"32","E0",2010-09-11,"Everton","Man United",3,3,"D",1,1,"D",4.33,3.5,1.83,"1-1","3-3"
"33","E0",2010-09-11,"Fulham","Wolves",2,1,"H",0,1,"A",1.83,3.5,4.33,"0-1","2-1"
"34","E0",2010-09-11,"Man City","Blackburn",1,1,"D",0,1,"A",1.33,5,9,"0-1","1-1"
"35","E0",2010-09-11,"Newcastle","Blackpool",0,2,"A",0,1,"A",1.62,3.75,5.5,"0-1","0-2"
"36","E0",2010-09-11,"West Brom","Tottenham",1,1,"D",1,1,"D",3.5,3.3,2.1,"1-1","1-1"
"37","E0",2010-09-11,"West Ham","Chelsea",1,3,"A",0,2,"A",9,5,1.33,"0-2","1-3"
"38","E0",2010-09-11,"Wigan","Sunderland",1,1,"D",0,0,"D",2.5,3.3,2.8,"0-0","1-1"
"39","E0",2010-09-12,"Birmingham","Liverpool",0,0,"D",0,0,"D",3.3,3.3,2.2,"0-0","0-0"
"40","E0",2010-09-13,"Stoke","Aston Villa",2,1,"H",0,1,"A",2.5,3.3,2.8,"0-1","2-1"
"41","E0",2010-09-18,"Aston Villa","Bolton",1,1,"D",1,1,"D",1.8,3.25,5,"1-1","1-1"
"42","E0",2010-09-18,"Blackburn","Fulham",1,1,"D",1,0,"H",2.1,3.25,3.6,"1-0","1-1"
"43","E0",2010-09-18,"Everton","Newcastle",0,1,"A",0,1,"A",1.67,3.5,5.5,"0-1","0-1"
"44","E0",2010-09-18,"Stoke","West Ham",1,1,"D",0,1,"A",2,3.4,3.75,"0-1","1-1"
"45","E0",2010-09-18,"Sunderland","Arsenal",1,1,"D",0,1,"A",5.5,3.5,1.67,"0-1","1-1"
"46","E0",2010-09-18,"Tottenham","Wolves",3,1,"H",0,1,"A",1.44,4,8,"0-1","3-1"
"47","E0",2010-09-18,"West Brom","Birmingham",3,1,"H",0,1,"A",2.38,3,3.2,"0-1","3-1"
"48","E0",2010-09-19,"Chelsea","Blackpool",4,0,"H",4,0,"H",1.08,10,26,"4-0","4-0"
"49","E0",2010-09-19,"Man United","Liverpool",3,2,"H",1,0,"H",1.73,3.5,5,"1-0","3-2"
"50","E0",2010-09-19,"Wigan","Man City",0,2,"A",0,1,"A",5,3.5,1.73,"0-1","0-2"
"51","E0",2010-09-25,"Arsenal","West Brom",2,3,"A",0,0,"D",1.2,6,15,"0-0","2-3"
"52","E0",2010-09-25,"Birmingham","Wigan",0,0,"D",0,0,"D",1.8,3.5,4.5,"0-0","0-0"
"53","E0",2010-09-25,"Blackpool","Blackburn",1,2,"A",0,1,"A",3.1,3.25,2.3,"0-1","1-2"
"54","E0",2010-09-25,"Fulham","Everton",0,0,"D",0,0,"D",2.5,3.3,2.75,"0-0","0-0"
"55","E0",2010-09-25,"Liverpool","Sunderland",2,2,"D",1,1,"D",1.5,4,7,"1-1","2-2"
"56","E0",2010-09-25,"Man City","Chelsea",1,0,"H",0,0,"D",3.4,3.2,2.2,"0-0","1-0"
"57","E0",2010-09-25,"West Ham","Tottenham",1,0,"H",1,0,"H",3.5,3.3,2.1,"1-0","1-0"
"58","E0",2010-09-26,"Bolton","Man United",2,2,"D",1,1,"D",6.5,3.75,1.53,"1-1","2-2"
"59","E0",2010-09-26,"Newcastle","Stoke",1,2,"A",1,0,"H",1.91,3.4,4,"1-0","1-2"
"60","E0",2010-09-26,"Wolves","Aston Villa",1,2,"A",0,1,"A",2.8,3.3,2.5,"0-1","1-2"
"61","E0",2010-10-02,"Birmingham","Everton",0,2,"A",0,0,"D",2.62,3.3,2.62,"0-0","0-2"
"62","E0",2010-10-02,"Stoke","Blackburn",1,0,"H",0,0,"D",2.25,3.25,3.25,"0-0","1-0"
"63","E0",2010-10-02,"Sunderland","Man United",0,0,"D",0,0,"D",5.5,3.5,1.67,"0-0","0-0"
"64","E0",2010-10-02,"Tottenham","Aston Villa",2,1,"H",1,1,"D",2,3.2,4,"1-1","2-1"
"65","E0",2010-10-02,"West Brom","Bolton",1,1,"D",0,0,"D",2.25,3.25,3.25,"0-0","1-1"
"66","E0",2010-10-02,"West Ham","Fulham",1,1,"D",0,1,"A",2.25,3.25,3.25,"0-1","1-1"
"67","E0",2010-10-02,"Wigan","Wolves",2,0,"H",0,0,"D",2.25,3.25,3.25,"0-0","2-0"
"68","E0",2010-10-03,"Chelsea","Arsenal",2,0,"H",1,0,"H",1.73,3.5,5,"1-0","2-0"
"69","E0",2010-10-03,"Liverpool","Blackpool",1,2,"A",0,2,"A",1.3,5,11,"0-2","1-2"
"70","E0",2010-10-03,"Man City","Newcastle",2,1,"H",1,1,"D",1.4,4.5,8,"1-1","2-1"
"71","E0",2010-10-16,"Arsenal","Birmingham",2,1,"H",1,1,"D",1.3,5,11,"1-1","2-1"
"72","E0",2010-10-16,"Aston Villa","Chelsea",0,0,"D",0,0,"D",5,3.5,1.73,"0-0","0-0"
"73","E0",2010-10-16,"Bolton","Stoke",2,1,"H",1,0,"H",2.2,3.2,3.4,"1-0","2-1"
"74","E0",2010-10-16,"Fulham","Tottenham",1,2,"A",1,1,"D",2.88,3.2,2.5,"1-1","1-2"
"75","E0",2010-10-16,"Man United","West Brom",2,2,"D",2,0,"H",1.25,5.5,12,"2-0","2-2"
"76","E0",2010-10-16,"Newcastle","Wigan",2,2,"D",0,2,"A",1.8,3.5,4.5,"0-2","2-2"
"77","E0",2010-10-16,"Wolves","West Ham",1,1,"D",1,0,"H",2.25,3.25,3.25,"1-0","1-1"
"78","E0",2010-10-17,"Blackpool","Man City",2,3,"A",0,0,"D",6,3.6,1.62,"0-0","2-3"
"79","E0",2010-10-17,"Everton","Liverpool",2,0,"H",1,0,"H",2.38,3.25,3,"1-0","2-0"
"80","E0",2010-10-18,"Blackburn","Sunderland",0,0,"D",0,0,"D",2.1,3.3,3.5,"0-0","0-0"
"81","E0",2010-10-23,"Birmingham","Blackpool",2,0,"H",1,0,"H",1.83,3.5,4.33,"1-0","2-0"
"82","E0",2010-10-23,"Chelsea","Wolves",2,0,"H",1,0,"H",1.12,8,19,"1-0","2-0"
"83","E0",2010-10-23,"Sunderland","Aston Villa",1,0,"H",1,0,"H",2.4,3.3,2.9,"1-0","1-0"
"84","E0",2010-10-23,"Tottenham","Everton",1,1,"D",1,1,"D",2,3.4,3.75,"1-1","1-1"
"85","E0",2010-10-23,"West Brom","Fulham",2,1,"H",2,1,"H",2.1,3.25,3.6,"2-1","2-1"
"86","E0",2010-10-23,"West Ham","Newcastle",1,2,"A",1,1,"D",2.25,3.4,3.1,"1-1","1-2"
"87","E0",2010-10-23,"Wigan","Bolton",1,1,"D",0,0,"D",2.4,3.3,2.9,"0-0","1-1"
"88","E0",2010-10-24,"Liverpool","Blackburn",2,1,"H",0,0,"D",1.67,3.75,5,"0-0","2-1"
"89","E0",2010-10-24,"Man City","Arsenal",0,3,"A",0,1,"A",2.38,3.25,3,"0-1","0-3"
"90","E0",2010-10-24,"Stoke","Man United",1,2,"A",0,1,"A",5,3.75,1.67,"0-1","1-2"
"91","E0",2010-10-30,"Arsenal","West Ham",1,0,"H",0,0,"D",1.17,7,15,"0-0","1-0"
"92","E0",2010-10-30,"Blackburn","Chelsea",1,2,"A",1,1,"D",7,4,1.5,"1-1","1-2"
"93","E0",2010-10-30,"Everton","Stoke",1,0,"H",0,0,"D",1.57,3.75,6,"0-0","1-0"
"94","E0",2010-10-30,"Fulham","Wigan",2,0,"H",2,0,"H",1.83,3.5,4.33,"2-0","2-0"
"95","E0",2010-10-30,"Man United","Tottenham",2,0,"H",1,0,"H",1.62,3.75,5.5,"1-0","2-0"
"96","E0",2010-10-30,"Wolves","Man City",2,1,"H",1,1,"D",5.5,3.5,1.67,"1-1","2-1"
"97","E0",2010-10-31,"Aston Villa","Birmingham",0,0,"D",0,0,"D",1.83,3.4,4.5,"0-0","0-0"
"98","E0",2010-10-31,"Bolton","Liverpool",0,1,"A",0,0,"D",3.3,3.3,2.2,"0-0","0-1"
"99","E0",2010-10-31,"Newcastle","Sunderland",5,1,"H",3,0,"H",2.2,3.3,3.3,"3-0","5-1"
"100","E0",2010-11-01,"Blackpool","West Brom",2,1,"H",1,0,"H",2.8,3.3,2.5,"1-0","2-1"
"101","E0",2010-11-06,"Birmingham","West Ham",2,2,"D",0,0,"D",1.91,3.4,4,"0-0","2-2"
"102","E0",2010-11-06,"Blackburn","Wigan",2,1,"H",0,0,"D",1.83,3.4,4.5,"0-0","2-1"
"103","E0",2010-11-06,"Blackpool","Everton",2,2,"D",1,1,"D",4.5,3.5,1.8,"1-1","2-2"
"104","E0",2010-11-06,"Bolton","Tottenham",4,2,"H",1,0,"H",3,3.25,2.38,"1-0","4-2"
"105","E0",2010-11-06,"Fulham","Aston Villa",1,1,"D",0,1,"A",2.25,3.25,3.2,"0-1","1-1"
"106","E0",2010-11-06,"Man United","Wolves",2,1,"H",1,0,"H",1.2,6.5,13,"1-0","2-1"
"107","E0",2010-11-06,"Sunderland","Stoke",2,0,"H",1,0,"H",2.1,3.3,3.5,"1-0","2-0"
"108","E0",2010-11-07,"Arsenal","Newcastle",0,1,"A",0,1,"A",1.22,6,12,"0-1","0-1"
"109","E0",2010-11-07,"Liverpool","Chelsea",2,0,"H",2,0,"H",3.75,3.4,2,"2-0","2-0"
"110","E0",2010-11-07,"West Brom","Man City",0,2,"A",0,2,"A",3.5,3.3,2.1,"0-2","0-2"
"111","E0",2010-11-09,"Stoke","Birmingham",3,2,"H",1,0,"H",2.1,3.3,3.5,"1-0","3-2"
"112","E0",2010-11-09,"Tottenham","Sunderland",1,1,"D",0,0,"D",1.53,3.75,6.5,"0-0","1-1"
"113","E0",2010-11-10,"Aston Villa","Blackpool",3,2,"H",1,1,"D",1.57,3.75,6,"1-1","3-2"
"114","E0",2010-11-10,"Chelsea","Fulham",1,0,"H",1,0,"H",1.2,6.5,13,"1-0","1-0"
"115","E0",2010-11-10,"Everton","Bolton",1,1,"D",0,0,"D",1.67,3.5,5.5,"0-0","1-1"
"116","E0",2010-11-10,"Man City","Man United",0,0,"D",0,0,"D",2.62,3.3,2.62,"0-0","0-0"
"117","E0",2010-11-10,"Newcastle","Blackburn",1,2,"A",0,1,"A",2,3.4,3.75,"0-1","1-2"
"118","E0",2010-11-10,"West Ham","West Brom",2,2,"D",1,1,"D",2.38,3.25,3,"1-1","2-2"
"119","E0",2010-11-10,"Wigan","Liverpool",1,1,"D",0,1,"A",4.5,3.75,1.73,"0-1","1-1"
"120","E0",2010-11-10,"Wolves","Arsenal",0,2,"A",0,1,"A",6,3.75,1.57,"0-1","0-2"
"121","E0",2010-11-13,"Aston Villa","Man United",2,2,"D",0,0,"D",4.5,3.5,1.8,"0-0","2-2"
"122","E0",2010-11-13,"Man City","Birmingham",0,0,"D",0,0,"D",1.4,4.5,8,"0-0","0-0"
"123","E0",2010-11-13,"Newcastle","Fulham",0,0,"D",0,0,"D",1.91,3.4,4,"0-0","0-0"
"124","E0",2010-11-13,"Stoke","Liverpool",2,0,"H",0,0,"D",3.75,3.4,2,"0-0","2-0"
"125","E0",2010-11-13,"Tottenham","Blackburn",4,2,"H",2,0,"H",1.62,3.75,5.5,"2-0","4-2"
"126","E0",2010-11-13,"West Ham","Blackpool",0,0,"D",0,0,"D",1.91,3.6,3.8,"0-0","0-0"
"127","E0",2010-11-13,"Wigan","West Brom",1,0,"H",0,0,"D",2.4,3.3,2.88,"0-0","1-0"
"128","E0",2010-11-13,"Wolves","Bolton",2,3,"A",0,1,"A",2.4,3.3,2.9,"0-1","2-3"
"129","E0",2010-11-14,"Chelsea","Sunderland",0,3,"A",0,1,"A",1.2,6.5,13,"0-1","0-3"
"130","E0",2010-11-14,"Everton","Arsenal",1,2,"A",0,1,"A",3.25,3.25,2.25,"0-1","1-2"
"131","E0",2010-11-20,"Arsenal","Tottenham",2,3,"A",2,0,"H",1.67,3.75,5,"2-0","2-3"
"132","E0",2010-11-20,"Birmingham","Chelsea",1,0,"H",1,0,"H",5.5,3.75,1.62,"1-0","1-0"
"133","E0",2010-11-20,"Blackpool","Wolves",2,1,"H",2,0,"H",2.3,3.4,3,"2-0","2-1"
"134","E0",2010-11-20,"Bolton","Newcastle",5,1,"H",2,0,"H",2.1,3.3,3.5,"2-0","5-1"
"135","E0",2010-11-20,"Liverpool","West Ham",3,0,"H",3,0,"H",1.53,3.75,6.5,"3-0","3-0"
"136","E0",2010-11-20,"Man United","Wigan",2,0,"H",1,0,"H",1.22,6,13,"1-0","2-0"
"137","E0",2010-11-20,"West Brom","Stoke",0,3,"A",0,0,"D",2.2,3.3,3.3,"0-0","0-3"
"138","E0",2010-11-21,"Blackburn","Aston Villa",2,0,"H",1,0,"H",2.38,3.25,3,"1-0","2-0"
"139","E0",2010-11-21,"Fulham","Man City",1,4,"A",0,3,"A",2.88,3.25,2.4,"0-3","1-4"
"140","E0",2010-11-22,"Sunderland","Everton",2,2,"D",1,1,"D",2.4,3.25,2.88,"1-1","2-2"
"141","E0",2010-11-27,"Aston Villa","Arsenal",2,4,"A",0,2,"A",3.3,3.3,2.2,"0-2","2-4"
"142","E0",2010-11-27,"Bolton","Blackpool",2,2,"D",0,1,"A",1.62,3.75,5.5,"0-1","2-2"
"143","E0",2010-11-27,"Everton","West Brom",1,4,"A",1,2,"A",1.57,3.75,6,"1-2","1-4"
"144","E0",2010-11-27,"Fulham","Birmingham",1,1,"D",0,1,"A",2.1,3.3,3.5,"0-1","1-1"
"145","E0",2010-11-27,"Man United","Blackburn",7,1,"H",3,0,"H",1.29,5.5,10,"3-0","7-1"
"146","E0",2010-11-27,"Stoke","Man City",1,1,"D",0,0,"D",3.3,3.3,2.2,"0-0","1-1"
"147","E0",2010-11-27,"West Ham","Wigan",3,1,"H",1,0,"H",2,3.4,3.75,"1-0","3-1"
"148","E0",2010-11-27,"Wolves","Sunderland",3,2,"H",0,0,"D",2.62,3.3,2.62,"0-0","3-2"
"149","E0",2010-11-28,"Newcastle","Chelsea",1,1,"D",1,1,"D",5.5,3.75,1.62,"1-1","1-1"
"150","E0",2010-11-28,"Tottenham","Liverpool",2,1,"H",0,1,"A",2.1,3.3,3.5,"0-1","2-1"
"151","E0",2010-12-04,"Arsenal","Fulham",2,1,"H",1,1,"D",1.29,5,11,"1-1","2-1"
"152","E0",2010-12-04,"Birmingham","Tottenham",1,1,"D",0,1,"A",3.5,3.3,2.1,"0-1","1-1"
"153","E0",2010-12-04,"Blackburn","Wolves",3,0,"H",2,0,"H",1.8,3.5,4.5,"2-0","3-0"
"154","E0",2010-12-04,"Chelsea","Everton",1,1,"D",1,0,"H",1.36,5,7.5,"1-0","1-1"
"155","E0",2010-12-04,"Man City","Bolton",1,0,"H",1,0,"H",1.53,4,6,"1-0","1-0"
"156","E0",2010-12-04,"Wigan","Stoke",2,2,"D",2,2,"D",2.5,3.3,2.8,"2-2","2-2"
"157","E0",2010-12-05,"Sunderland","West Ham",1,0,"H",1,0,"H",1.91,3.4,4,"1-0","1-0"
"158","E0",2010-12-05,"West Brom","Newcastle",3,1,"H",1,0,"H",2.25,3.3,3.2,"1-0","3-1"
"159","E0",2010-12-06,"Liverpool","Aston Villa",3,0,"H",2,0,"H",1.62,3.75,5.5,"2-0","3-0"
"160","E0",2010-12-11,"Aston Villa","West Brom",2,1,"H",1,0,"H",2,3.4,3.75,"1-0","2-1"
"161","E0",2010-12-11,"Everton","Wigan",0,0,"D",0,0,"D",1.44,4.33,7,"0-0","0-0"
"162","E0",2010-12-11,"Fulham","Sunderland",0,0,"D",0,0,"D",2.25,3.25,3.25,"0-0","0-0"
"163","E0",2010-12-11,"Newcastle","Liverpool",3,1,"H",1,0,"H",3.75,3.4,2,"1-0","3-1"
"164","E0",2010-12-11,"Stoke","Blackpool",0,1,"A",0,0,"D",1.62,3.75,5.5,"0-0","0-1"
"165","E0",2010-12-11,"West Ham","Man City",1,3,"A",0,1,"A",4.33,3.5,1.83,"0-1","1-3"
"166","E0",2010-12-12,"Bolton","Blackburn",2,1,"H",0,0,"D",2.1,3.3,3.5,"0-0","2-1"
"167","E0",2010-12-12,"Tottenham","Chelsea",1,1,"D",1,0,"H",2.8,3.3,2.5,"1-0","1-1"
"168","E0",2010-12-12,"Wolves","Birmingham",1,0,"H",1,0,"H",2.38,3.25,3,"1-0","1-0"
"169","E0",2010-12-13,"Man United","Arsenal",1,0,"H",1,0,"H",2,3.4,3.75,"1-0","1-0"
"170","E0",2010-12-18,"Blackburn","West Ham",1,1,"D",0,0,"D",1.8,3.5,4.5,"0-0","1-1"
"171","E0",2010-12-18,"Sunderland","Bolton",1,0,"H",1,0,"H",2.2,3.3,3.3,"1-0","1-0"
"172","E0",2010-12-20,"Man City","Everton",1,2,"A",0,2,"A",1.73,3.5,5,"0-2","1-2"
"173","E0",2010-12-26,"Aston Villa","Tottenham",1,2,"A",0,1,"A",3,3.25,2.38,"0-1","1-2"
"174","E0",2010-12-26,"Blackburn","Stoke",0,2,"A",0,0,"D",2.2,3.2,3.4,"0-0","0-2"
