"","x"
"1","Liga Profesional"
"2","Admiral Bundesliga"
"3","Serie A"
"4","Super League"
"5","Superliga"
"6","Veikkausliiga"
"7","Premier Division"
"8","J1 League"
"9","Liga MX"
"10","Eliteserien"
"11","Ekstraklasa"
"12","Liga 1"
"13","Premier League"
"14","Allsvenskan"
"15","MLS"
"16","Swiss"
