"","final_first_column_t1div","final_second_column_t1div"
"1","Istanbulspor AS","Trabzonspor"
"2","Istanbulspor AS","Trabzonspor"
"3","Istanbulspor AS","Trabzonspor"
"4","Istanbulspor AS","Trabzonspor"
"5","Trabzonspor","Istanbulspor AS"
"6","Trabzonspor","Istanbulspor AS"
"7","Trabzonspor","Istanbulspor AS"
"8","Trabzonspor","Istanbulspor AS"
"9","Sivasspor","Gaziantep"
"10","Sivasspor","Gaziantep"
"11","Sivasspor","Gaziantep"
"12","Sivasspor","Gaziantep"
"13","Gaziantep","Sivasspor"
"14","Gaziantep","Sivasspor"
"15","Gaziantep","Sivasspor"
"16","Gaziantep","Sivasspor"
"17","Besiktas","Kayserispor"
"18","Besiktas","Kayserispor"
"19","Besiktas","Kayserispor"
"20","Besiktas","Kayserispor"
"21","Kayserispor","Besiktas"
"22","Kayserispor","Besiktas"
"23","Kayserispor","Besiktas"
"24","Kayserispor","Besiktas"
"25","Giresunspor","Ad. Demirspor"
"26","Giresunspor","Ad. Demirspor"
"27","Giresunspor","Ad. Demirspor"
"28","Giresunspor","Ad. Demirspor"
"29","Ad. Demirspor","Giresunspor"
"30","Ad. Demirspor","Giresunspor"
"31","Ad. Demirspor","Giresunspor"
"32","Ad. Demirspor","Giresunspor"
"33","Karagumruk","Alanyaspor"
"34","Karagumruk","Alanyaspor"
"35","Karagumruk","Alanyaspor"
"36","Karagumruk","Alanyaspor"
"37","Alanyaspor","Karagumruk"
"38","Alanyaspor","Karagumruk"
"39","Alanyaspor","Karagumruk"
"40","Alanyaspor","Karagumruk"
"41","Antalyaspor","Galatasaray"
"42","Antalyaspor","Galatasaray"
"43","Antalyaspor","Galatasaray"
"44","Antalyaspor","Galatasaray"
"45","Galatasaray","Antalyaspor"
"46","Galatasaray","Antalyaspor"
"47","Galatasaray","Antalyaspor"
"48","Galatasaray","Antalyaspor"
"49","Buyuksehyr","Kasimpasa"
"50","Buyuksehyr","Kasimpasa"
"51","Buyuksehyr","Kasimpasa"
"52","Buyuksehyr","Kasimpasa"
"53","Kasimpasa","Buyuksehyr"
"54","Kasimpasa","Buyuksehyr"
"55","Kasimpasa","Buyuksehyr"
"56","Kasimpasa","Buyuksehyr"
"57","Ankaragucu","Konyaspor"
"58","Ankaragucu","Konyaspor"
"59","Ankaragucu","Konyaspor"
"60","Ankaragucu","Konyaspor"
"61","Konyaspor","Ankaragucu"
"62","Konyaspor","Ankaragucu"
"63","Konyaspor","Ankaragucu"
"64","Konyaspor","Ankaragucu"
"65","Fenerbahce","Umraniyespor"
"66","Fenerbahce","Umraniyespor"
"67","Fenerbahce","Umraniyespor"
"68","Fenerbahce","Umraniyespor"
"69","Umraniyespor","Fenerbahce"
"70","Umraniyespor","Fenerbahce"
"71","Umraniyespor","Fenerbahce"
"72","Umraniyespor","Fenerbahce"
