"","final_first_column_d1","final_second_column_d1"
"1","Bayern Munich","Union Berlin"
"2","Union Berlin","Bayern Munich"
"3","Mainz","Ein Frankfurt"
"4","Ein Frankfurt","Mainz"
"5","Heidenheim","Leverkusen"
"6","Leverkusen","Heidenheim"
"7","Dortmund","Hamburg"
"8","Hamburg","Dortmund"
"9","Augsburg","Stuttgart"
"10","Stuttgart","Augsburg"
"11","Wolfsburg","Werder Bremen"
"12","Werder Bremen","Wolfsburg"
"13","FC Koln","Mgladbach"
"14","Mgladbach","FC Koln"
"15","St Pauli","Freiburg"
"16","Freiburg","St Pauli"
"17","RB Leipzig","Hoffenheim"
"18","Hoffenheim","RB Leipzig"
