"","final_first_column_e1","final_second_column_e1"
"1","Derby","Birmingham"
"2","Birmingham","Derby"
"3","QPR","Portsmouth"
"4","Portsmouth","QPR"
"5","Southampton","Oxford"
"6","Oxford","Southampton"
"7","Bristol City","West Brom"
"8","West Brom","Bristol City"
"9","Watford","Leicester"
"10","Leicester","Watford"
"11","Hull","Sheffield Weds"
"12","Sheffield Weds","Hull"
"13","Charlton","Norwich"
"14","Norwich","Charlton"
"15","Ipswich","Millwall"
"16","Millwall","Ipswich"
"17","Blackburn","Middlesbrough"
"18","Middlesbrough","Blackburn"
"19","Preston","Stoke"
"20","Stoke","Preston"
"21","Sheffield United","Wrexham"
"22","Wrexham","Sheffield United"
"23","Swansea","Coventry"
"24","Coventry","Swansea"
