MatchNumber,RoundNumber,Location,Date,Home_Team,Away_Team
1,1,stadium,8/13/2021,Huesca,Eibar
2,1,stadium,8/13/2021,Zaragoza,Ibiza
3,1,stadium,8/14/2021,Ponferradina,Alcorcon
4,1,stadium,8/14/2021,Sociedad B,Leganes
5,1,stadium,8/14/2021,Girona,Amorebieta
6,1,stadium,8/15/2021,Sp Gijon,Burgos
7,1,stadium,8/15/2021,Oviedo,Lugo
8,1,stadium,8/15/2021,Fuenlabrada,Tenerife
9,1,stadium,8/15/2021,Las Palmas,Valladolid
10,1,stadium,8/16/2021,Cartagena,Almeria
11,1,stadium,8/16/2021,Malaga,Mirandes
12,1,stadium,8/22/2021,Leganes,Burgos
13,1,stadium,8/22/2021,Huesca,Cartagena
14,1,stadium,8/22/2021,Alcorcon,Fuenlabrada
15,1,stadium,8/22/2021,Girona,Las Palmas
16,1,stadium,8/22/2021,Ibiza,Malaga
17,1,stadium,8/22/2021,Almeria,Oviedo
18,1,stadium,8/22/2021,Eibar,Ponferradina
19,1,stadium,8/22/2021,Lugo,Sociedad B
20,1,stadium,8/22/2021,Mirandes,Amorebieta
21,1,stadium,8/22/2021,Tenerife,Sp Gijon
22,1,stadium,8/22/2021,Valladolid,Zaragoza
23,1,stadium,8/29/2021,Malaga,Alcorcon
24,1,stadium,8/29/2021,Amorebieta,Almeria
25,1,stadium,8/29/2021,Zaragoza,Cartagena
26,1,stadium,8/29/2021,Sp Gijon,Mirandes
27,1,stadium,8/29/2021,Burgos,Eibar
28,1,stadium,8/29/2021,Sociedad B,Fuenlabrada
29,1,stadium,8/29/2021,Ponferradina,Girona
30,1,stadium,8/29/2021,Las Palmas,Huesca
31,1,stadium,8/29/2021,Oviedo,Tenerife
32,1,stadium,8/29/2021,Leganes,Ibiza
33,1,stadium,8/29/2021,Lugo,Valladolid
34,1,stadium,9/5/2021,Mirandes,Las Palmas
35,1,stadium,9/5/2021,Eibar,Leganes
36,1,stadium,9/5/2021,Fuenlabrada,Lugo
37,1,stadium,9/5/2021,Almeria,Malaga
38,1,stadium,9/5/2021,Huesca,Oviedo
39,1,stadium,9/5/2021,Tenerife,Ponferradina
40,1,stadium,9/5/2021,Cartagena,Sociedad B
41,1,stadium,9/5/2021,Ibiza,Amorebieta
42,1,stadium,9/5/2021,Girona,Sp Gijon
43,1,stadium,9/5/2021,Burgos,Valladolid
44,1,stadium,9/5/2021,Alcorcon,Zaragoza
45,1,stadium,9/12/2021,Mirandes,Alcorcon
46,1,stadium,9/12/2021,Ponferradina,Almeria
47,1,stadium,9/12/2021,Amorebieta,Burgos
48,1,stadium,9/12/2021,Oviedo,Cartagena
49,1,stadium,9/12/2021,Sociedad B,Eibar
50,1,stadium,9/12/2021,Malaga,Girona
51,1,stadium,9/12/2021,Lugo,Huesca
52,1,stadium,9/12/2021,Sp Gijon,Leganes
53,1,stadium,9/12/2021,Valladolid,Tenerife
54,1,stadium,9/12/2021,Las Palmas,Ibiza
55,1,stadium,9/12/2021,Fuenlabrada,Zaragoza
56,1,stadium,9/19/2021,Alcorcon,Almeria
57,1,stadium,9/19/2021,Tenerife,Mirandes
58,1,stadium,9/19/2021,Huesca,Fuenlabrada
59,1,stadium,9/19/2021,Burgos,Las Palmas
60,1,stadium,9/19/2021,Cartagena,Lugo
61,1,stadium,9/19/2021,Ponferradina,Malaga
62,1,stadium,9/19/2021,Ibiza,Oviedo
63,1,stadium,9/19/2021,Zaragoza,Sociedad B
64,1,stadium,9/19/2021,Leganes,Amorebieta
65,1,stadium,9/19/2021,Eibar,Sp Gijon
66,1,stadium,9/19/2021,Girona,Valladolid
67,1,stadium,9/26/2021,Valladolid,Alcorcon
68,1,stadium,9/26/2021,Ibiza,Burgos
69,1,stadium,9/26/2021,Fuenlabrada,Cartagena
70,1,stadium,9/26/2021,Amorebieta,Eibar
71,1,stadium,9/26/2021,Oviedo,Girona
72,1,stadium,9/26/2021,Sociedad B,Huesca
73,1,stadium,9/26/2021,Mirandes,Leganes
74,1,stadium,9/26/2021,Sp Gijon,Malaga
75,1,stadium,9/26/2021,Las Palmas,Ponferradina
76,1,stadium,9/26/2021,Almeria,Tenerife
77,1,stadium,9/26/2021,Lugo,Zaragoza
78,1,stadium,10/3/2021,Girona,Almeria
79,1,stadium,10/3/2021,Las Palmas,Cartagena
80,1,stadium,10/3/2021,Burgos,Mirandes
81,1,stadium,10/3/2021,Malaga,Fuenlabrada
82,1,stadium,10/3/2021,Leganes,Lugo
83,1,stadium,10/3/2021,Zaragoza,Oviedo
84,1,stadium,10/3/2021,Alcorcon,Sociedad B
85,1,stadium,10/3/2021,Amorebieta,Sp Gijon
86,1,stadium,10/3/2021,Huesca,Tenerife
87,1,stadium,10/3/2021,Eibar,Ibiza
88,1,stadium,10/3/2021,Ponferradina,Valladolid
89,1,stadium,10/10/2021,Alcorcon,Burgos
90,1,stadium,10/10/2021,Mirandes,Eibar
91,1,stadium,10/10/2021,Lugo,Girona
92,1,stadium,10/10/2021,Zaragoza,Huesca
93,1,stadium,10/10/2021,Almeria,Las Palmas
94,1,stadium,10/10/2021,Fuenlabrada,Leganes
95,1,stadium,10/10/2021,Valladolid,Malaga
96,1,stadium,10/10/2021,Sociedad B,Ponferradina
97,1,stadium,10/10/2021,Tenerife,Amorebieta
98,1,stadium,10/10/2021,Oviedo,Sp Gijon
99,1,stadium,10/10/2021,Cartagena,Ibiza
100,1,stadium,10/17/2021,Sp Gijon,Alcorcon
101,1,stadium,10/17/2021,Eibar,Almeria
102,1,stadium,10/17/2021,Amorebieta,Cartagena
103,1,stadium,10/17/2021,Ibiza,Mirandes
104,1,stadium,10/17/2021,Ponferradina,Fuenlabrada
105,1,stadium,10/17/2021,Girona,Huesca
106,1,stadium,10/17/2021,Burgos,Lugo
107,1,stadium,10/17/2021,Sociedad B,Oviedo
108,1,stadium,10/17/2021,Las Palmas,Tenerife
109,1,stadium,10/17/2021,Leganes,Valladolid
110,1,stadium,10/17/2021,Malaga,Zaragoza
111,1,stadium,10/20/2021,Oviedo,Burgos
112,1,stadium,10/20/2021,Tenerife,Eibar
113,1,stadium,10/20/2021,Mirandes,Girona
114,1,stadium,10/20/2021,Lugo,Las Palmas
115,1,stadium,10/20/2021,Alcorcon,Leganes
116,1,stadium,10/20/2021,Huesca,Malaga
117,1,stadium,10/20/2021,Zaragoza,Ponferradina
118,1,stadium,10/20/2021,Almeria,Sociedad B
119,1,stadium,10/20/2021,Fuenlabrada,Amorebieta
120,1,stadium,10/20/2021,Cartagena,Sp Gijon
121,1,stadium,10/20/2021,Valladolid,Ibiza
122,1,stadium,10/24/2021,Las Palmas,Alcorcon
123,1,stadium,10/24/2021,Mirandes,Almeria
124,1,stadium,10/24/2021,Eibar,Cartagena
125,1,stadium,10/24/2021,Ibiza,Fuenlabrada
126,1,stadium,10/24/2021,Burgos,Huesca
127,1,stadium,10/24/2021,Malaga,Lugo
128,1,stadium,10/24/2021,Ponferradina,Oviedo
129,1,stadium,10/24/2021,Amorebieta,Sociedad B
130,1,stadium,10/24/2021,Leganes,Tenerife
131,1,stadium,10/24/2021,Sp Gijon,Valladolid
132,1,stadium,10/24/2021,Girona,Zaragoza
133,1,stadium,10/31/2021,Tenerife,Burgos
134,1,stadium,10/31/2021,Zaragoza,Mirandes
135,1,stadium,10/31/2021,Valladolid,Eibar
136,1,stadium,10/31/2021,Fuenlabrada,Girona
137,1,stadium,10/31/2021,Sociedad B,Las Palmas
138,1,stadium,10/31/2021,Almeria,Leganes
139,1,stadium,10/31/2021,Oviedo,Malaga
140,1,stadium,10/31/2021,Cartagena,Ponferradina
141,1,stadium,10/31/2021,Huesca,Amorebieta
142,1,stadium,10/31/2021,Lugo,Sp Gijon
143,1,stadium,10/31/2021,Alcorcon,Ibiza
144,1,stadium,11/3/2021,Girona,Alcorcon
145,1,stadium,11/3/2021,Sp Gijon,Almeria
146,1,stadium,11/3/2021,Leganes,Cartagena
147,1,stadium,11/3/2021,Las Palmas,Fuenlabrada
148,1,stadium,11/3/2021,Ponferradina,Huesca
149,1,stadium,11/3/2021,Mirandes,Lugo
150,1,stadium,11/3/2021,Eibar,Oviedo
151,1,stadium,11/3/2021,Malaga,Sociedad B
152,1,stadium,11/3/2021,Ibiza,Tenerife
153,1,stadium,11/3/2021,Amorebieta,Valladolid
154,1,stadium,11/3/2021,Burgos,Zaragoza
155,1,stadium,11/7/2021,Almeria,Burgos
156,1,stadium,11/7/2021,Valladolid,Mirandes
157,1,stadium,11/7/2021,Fuenlabrada,Eibar
158,1,stadium,11/7/2021,Tenerife,Girona
159,1,stadium,11/7/2021,Oviedo,Las Palmas
160,1,stadium,11/7/2021,Huesca,Leganes
161,1,stadium,11/7/2021,Cartagena,Malaga
162,1,stadium,11/7/2021,Lugo,Ponferradina
163,1,stadium,11/7/2021,Alcorcon,Amorebieta
164,1,stadium,11/7/2021,Zaragoza,Sp Gijon
165,1,stadium,11/7/2021,Sociedad B,Ibiza
166,1,stadium,11/14/2021,Eibar,Alcorcon
167,1,stadium,11/14/2021,Ibiza,Almeria
168,1,stadium,11/14/2021,Girona,Cartagena
169,1,stadium,11/14/2021,Valladolid,Fuenlabrada
170,1,stadium,11/14/2021,Mirandes,Huesca
171,1,stadium,11/14/2021,Amorebieta,Lugo
172,1,stadium,11/14/2021,Leganes,Oviedo
173,1,stadium,11/14/2021,Burgos,Ponferradina
174,1,stadium,11/14/2021,Sp Gijon,Sociedad B
175,1,stadium,11/14/2021,Malaga,Tenerife
176,1,stadium,11/14/2021,Las Palmas,Zaragoza
177,1,stadium,11/21/2021,Tenerife,Alcorcon
178,1,stadium,11/21/2021,Cartagena,Burgos
179,1,stadium,11/21/2021,Fuenlabrada,Mirandes
180,1,stadium,11/21/2021,Lugo,Eibar
181,1,stadium,11/21/2021,Sociedad B,Girona
182,1,stadium,11/21/2021,Malaga,Las Palmas
183,1,stadium,11/21/2021,Zaragoza,Leganes
184,1,stadium,11/21/2021,Oviedo,Amorebieta
185,1,stadium,11/21/2021,Ponferradina,Sp Gijon
186,1,stadium,11/21/2021,Huesca,Ibiza
187,1,stadium,11/21/2021,Almeria,Valladolid
188,1,stadium,11/28/2021,Valladolid,Cartagena
189,1,stadium,11/28/2021,Sp Gijon,Fuenlabrada
190,1,stadium,11/28/2021,Eibar,Girona
191,1,stadium,11/28/2021,Almeria,Huesca
192,1,stadium,11/28/2021,Leganes,Las Palmas
193,1,stadium,11/28/2021,Alcorcon,Lugo
194,1,stadium,11/28/2021,Burgos,Malaga
195,1,stadium,11/28/2021,Mirandes,Oviedo
196,1,stadium,11/28/2021,Ibiza,Ponferradina
197,1,stadium,11/28/2021,Tenerife,Sociedad B
198,1,stadium,11/28/2021,Amorebieta,Zaragoza
199,1,stadium,12/5/2021,Oviedo,Alcorcon
200,1,stadium,12/5/2021,Fuenlabrada,Almeria
201,1,stadium,12/5/2021,Sociedad B,Burgos
202,1,stadium,12/5/2021,Ponferradina,Mirandes
203,1,stadium,12/5/2021,Zaragoza,Eibar
204,1,stadium,12/5/2021,Girona,Leganes
205,1,stadium,12/5/2021,Malaga,Amorebieta
206,1,stadium,12/5/2021,Las Palmas,Sp Gijon
207,1,stadium,12/5/2021,Cartagena,Tenerife
208,1,stadium,12/5/2021,Lugo,Ibiza
209,1,stadium,12/5/2021,Huesca,Valladolid
210,1,stadium,12/12/2021,Alcorcon,Cartagena
211,1,stadium,12/12/2021,Burgos,Fuenlabrada
212,1,stadium,12/12/2021,Ibiza,Girona
213,1,stadium,12/12/2021,Sp Gijon,Huesca
214,1,stadium,12/12/2021,Amorebieta,Las Palmas
215,1,stadium,12/12/2021,Tenerife,Lugo
216,1,stadium,12/12/2021,Eibar,Malaga
217,1,stadium,12/12/2021,Valladolid,Oviedo
218,1,stadium,12/12/2021,Leganes,Ponferradina
219,1,stadium,12/12/2021,Mirandes,Sociedad B
220,1,stadium,12/12/2021,Almeria,Zaragoza
221,1,stadium,12/19/2021,Huesca,Alcorcon
222,1,stadium,12/19/2021,Lugo,Almeria
223,1,stadium,12/19/2021,Girona,Burgos
224,1,stadium,12/19/2021,Cartagena,Mirandes
225,1,stadium,12/19/2021,Las Palmas,Eibar
226,1,stadium,12/19/2021,Malaga,Leganes
