"","Div","HomeTeam","AwayTeam","Date"
"1","P1","Casa Pia","Sp Lisbon",2025-08-08
"2","P1","Nacional","Gil Vicente",2025-08-09
"3","P1","Arouca","AVS",2025-08-09
"4","P1","Famalicao","Santa Clara",2025-08-10
"5","P1","Sp Braga","Tondela",2025-08-10
"6","P1","Moreirense","Alverca",2025-08-10
"7","P1","Estoril","Estrela",2025-08-11
"8","P1","Porto","Guimaraes",2025-08-11
"9","P1","Benfica","Rio Ave",2025-09-23
"10","P1","Sp Lisbon","Alverca",2025-10-31
"11","P1","Rio Ave","Estoril",2025-11-01
"12","P1","Guimaraes","Benfica",2025-11-01
"13","P1","Casa Pia","Estrela",2025-11-01
"14","P1","Nacional","Famalicao",2025-11-01
"15","P1","AVS","Tondela",2025-11-02
"16","P1","Arouca","Moreirense",2025-11-02
"17","P1","Porto","Sp Braga",2025-11-02
"18","P1","Gil Vicente","Santa Clara",2025-11-03
"19","P1","Estoril","Arouca",2025-11-07
"20","P1","Alverca","Rio Ave",2025-11-08
"21","P1","Tondela","Guimaraes",2025-11-08
"22","P1","Santa Clara","Sp Lisbon",2025-11-08
"23","P1","AVS","Gil Vicente",2025-11-09
"24","P1","Estrela","Nacional",2025-11-09
"25","P1","Famalicao","Porto",2025-11-09
"26","P1","Sp Braga","Moreirense",2025-11-09
"27","P1","Benfica","Casa Pia",2025-11-09
"28","P1","Guimaraes","AVS",2025-11-28
"29","P1","Moreirense","Famalicao",2025-11-29
"30","P1","Casa Pia","Alverca",2025-11-29
"31","P1","Nacional","Benfica",2025-11-29
"32","P1","Gil Vicente","Tondela",2025-11-29
"33","P1","Rio Ave","Santa Clara",2025-11-30
"34","P1","Sp Lisbon","Estrela",2025-11-30
"35","P1","Porto","Estoril",2025-11-30
"36","P1","Arouca","Sp Braga",2025-12-01
"37","P1","Benfica","Sp Lisbon",2025-12-05
"38","P1","Santa Clara","Casa Pia",2025-12-06
"39","P1","AVS","Rio Ave",2025-12-06
"40","P1","Famalicao","Sp Braga",2025-12-06
"41","P1","Estoril","Moreirense",2025-12-07
"42","P1","Estrela","Arouca",2025-12-07
"43","P1","Alverca","Nacional",2025-12-07
"44","P1","Tondela","Porto",2025-12-07
"45","P1","Guimaraes","Gil Vicente",2025-12-08
"46","P1","Famalicao","Estoril",2025-12-14
"47","P1","Rio Ave","Guimaraes",2025-12-14
"48","P1","Porto","Estrela",2025-12-14
"49","P1","Sp Lisbon","AVS",2025-12-14
"50","P1","Casa Pia","Gil Vicente",2025-12-14
"51","P1","Moreirense","Benfica",2025-12-14
"52","P1","Sp Braga","Santa Clara",2025-12-14
"53","P1","Arouca","Alverca",2025-12-14
"54","P1","Nacional","Tondela",2025-12-14
"55","P1","Benfica","Famalicao",2025-12-21
"56","P1","Guimaraes","Sp Lisbon",2025-12-21
"57","P1","Gil Vicente","Rio Ave",2025-12-21
"58","P1","AVS","Nacional",2025-12-21
"59","P1","Tondela","Casa Pia",2025-12-21
"60","P1","Santa Clara","Arouca",2025-12-21
"61","P1","Estoril","Sp Braga",2025-12-21
"62","P1","Estrela","Moreirense",2025-12-21
"63","P1","Alverca","Porto",2025-12-21
"64","P1","Sp Braga","Benfica",2025-12-28
"65","P1","Nacional","Santa Clara",2025-12-28
"66","P1","Casa Pia","Guimaraes",2025-12-28
"67","P1","Porto","AVS",2025-12-28
"68","P1","Estoril","Alverca",2025-12-28
"69","P1","Moreirense","Tondela",2025-12-28
"70","P1","Sp Lisbon","Rio Ave",2025-12-28
"71","P1","Arouca","Gil Vicente",2025-12-28
"72","P1","Famalicao","Estrela",2025-12-28
"73","P1","Guimaraes","Nacional",2026-01-04
"74","P1","Gil Vicente","Sp Lisbon",2026-01-04
"75","P1","AVS","Moreirense",2026-01-04
"76","P1","Tondela","Arouca",2026-01-04
"77","P1","Alverca","Famalicao",2026-01-04
"78","P1","Estrela","Sp Braga",2026-01-04
"79","P1","Rio Ave","Casa Pia",2026-01-04
"80","P1","Santa Clara","Porto",2026-01-04
"81","P1","Benfica","Estoril",2026-01-04
"82","P1","Tondela","Sp Braga",2026-01-18
"83","P1","Gil Vicente","Nacional",2026-01-18
"84","P1","Guimaraes","Porto",2026-01-18
"85","P1","Rio Ave","Benfica",2026-01-18
"86","P1","Estrela","Estoril",2026-01-18
"87","P1","Alverca","Moreirense",2026-01-18
"88","P1","AVS","Arouca",2026-01-18
"89","P1","Sp Lisbon","Casa Pia",2026-01-18
"90","P1","Santa Clara","Famalicao",2026-01-18
"91","P1","Moreirense","Santa Clara",2026-01-25
"92","P1","Arouca","Sp Lisbon",2026-01-25
"93","P1","Sp Braga","Alverca",2026-01-25
"94","P1","Casa Pia","AVS",2026-01-25
"95","P1","Benfica","Estrela",2026-01-25
"96","P1","Famalicao","Tondela",2026-01-25
"97","P1","Estoril","Guimaraes",2026-01-25
"98","P1","Porto","Gil Vicente",2026-01-25
"99","P1","Nacional","Rio Ave",2026-01-25
"100","P1","AVS","Casa Pia",2025-08-15
"101","P1","Tondela","Famalicao",2025-08-16
"102","P1","Guimaraes","Estoril",2025-08-16
"103","P1","Estrela","Benfica",2025-08-16
"104","P1","Rio Ave","Nacional",2025-08-17
"105","P1","Santa Clara","Moreirense",2025-08-17
"106","P1","Alverca","Sp Braga",2025-08-17
"107","P1","Sp Lisbon","Arouca",2025-08-17
"108","P1","Gil Vicente","Porto",2025-08-18
"109","P1","AVS","Sp Braga",2026-02-01
"110","P1","Tondela","Benfica",2026-02-01
