"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","OV15","OV25","OV35","TY","TR","matchid","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"25","F1",2022-08-21,"Clermont","Nice",1,0,"H",1,0,"H",3.65,3.6,2.12,"1-0","1-0",7,2,13,4,1,2,0,2,3,6,1,9,"N","N","N",3,2,"Clermont-Nice",6,1,10,80,700,80,720,800,9,10,90,54,720
"35","F1",2022-08-28,"Lorient","Clermont",2,1,"H",2,0,"H",2.06,3.52,3.94,"2-0","2-1",22,9,9,2,1,3,0,1,3,4,3,7,"Y","Y","N",4,1,"Lorient-Clermont",127,3,96,65,550,195,455,6240,21,288,672,889,1365
"47","F1",2022-08-31,"Marseille","Clermont",1,0,"H",0,0,"D",1.4,5.25,8.38,"0-0","1-0",21,7,3,0,2,2,0,0,7,1,1,8,"N","N","N",4,0,"Marseille-Clermont",49,1,22,40,400,40,320,880,8,22,176,392,320
"56","F1",2022-09-04,"Clermont","Toulouse",2,0,"H",0,0,"D",3.12,3.3,2.51,"0-0","2-0",12,3,14,4,4,1,0,0,4,6,2,10,"Y","N","N",5,0,"Clermont-Toulouse",136,2,0,50,400,100,500,0,20,0,0,1360,1000
"64","F1",2022-09-11,"Strasbourg","Clermont",0,0,"D",0,0,"D",1.7,3.75,5.85,"0-0","0-0",12,4,10,4,4,2,1,0,3,5,0,8,"N","N","N",6,1,"Strasbourg-Clermont",0,0,0,85,1300,0,680,0,0,0,0,0,0
"76","F1",2022-09-18,"Clermont","Troyes",1,3,"A",1,1,"D",2.36,3.41,3.28,"1-1","1-3",14,2,9,4,0,3,0,0,5,1,4,6,"Y","Y","Y",3,0,"Clermont-Troyes",163,4,59,30,0,120,180,1770,24,236,354,978,720
"85","F1",2022-10-02,"Ajaccio","Clermont",1,3,"A",0,1,"A",2.26,3.21,3.73,"0-1","1-3",12,3,7,3,3,3,0,0,4,4,4,8,"Y","Y","Y",6,0,"Ajaccio-Clermont",260,4,154,60,900,240,480,9240,32,616,1232,2080,1920
"97","F1",2022-10-09,"Clermont","Auxerre",2,1,"H",0,0,"D",2.17,3.43,3.69,"0-0","2-1",10,6,14,5,0,0,0,0,4,4,3,8,"Y","Y","N",0,0,"Clermont-Auxerre",203,3,109,0,0,0,0,0,24,327,872,1624,0
"109","F1",2022-10-16,"Monaco","Clermont",1,1,"D",1,0,"H",1.38,4.91,10.25,"1-0","1-1",6,4,21,7,2,4,1,0,3,4,2,7,"Y","N","N",6,1,"Monaco-Clermont",84,2,45,85,1800,170,595,3825,14,90,315,588,1190
"115","F1",2022-10-23,"Clermont","Brest",1,3,"A",0,1,"A",2.36,3.44,3.25,"0-1","1-3",14,4,19,11,4,1,0,0,7,4,4,11,"Y","Y","Y",5,0,"Clermont-Brest",227,4,52,50,400,200,550,2600,44,208,572,2497,2200
"127","F1",2022-10-30,"Nantes","Clermont",1,1,"D",0,0,"D",2.05,3.71,3.77,"0-0","1-1",13,4,10,6,0,2,0,0,2,2,2,4,"Y","N","N",2,0,"Nantes-Clermont",127,2,34,20,0,40,80,680,8,68,136,508,160
"135","F1",2022-11-06,"Clermont","Montpellier",1,1,"D",0,1,"A",2.46,3.53,3.01,"0-1","1-1",16,7,7,3,1,2,0,0,5,1,2,6,"Y","N","N",3,0,"Clermont-Montpellier",72,2,20,30,200,60,180,600,12,40,120,432,360
"1421","F1",2022-11-12,"Lens","Clermont",2,1,"H",0,1,"A",1.43,5.03,7.96,"0-1","2-1",16,3,5,2,1,3,0,0,5,3,3,8,"Y","Y","N",4,0,"Lens-Clermont",167,3,56,40,300,120,320,2240,24,168,448,1336,960
"154","F1",2022-12-28,"Clermont","Lille",0,2,"A",0,0,"D",4.5,3.84,1.85,"0-0","0-2",9,3,14,3,4,2,1,0,3,3,2,6,"Y","N","N",6,1,"Clermont-Lille",158,2,47,85,1300,170,510,3995,12,94,282,948,1020
"165","F1",2023-01-01,"Lyon","Clermont",0,1,"A",0,0,"D",1.56,4.45,6.2,"0-0","0-1",13,2,13,3,1,3,0,0,7,4,1,11,"N","N","N",4,0,"Lyon-Clermont",87,1,70,40,300,40,440,2800,11,70,770,957,440
"174","F1",2023-01-11,"Clermont","Rennes",2,1,"H",1,0,"H",4.1,3.66,1.97,"1-0","2-1",11,5,9,2,0,2,0,2,4,1,3,5,"Y","Y","N",2,2,"Clermont-Rennes",195,3,129,70,0,210,350,9030,15,387,645,975,1050
"185","F1",2023-01-15,"Angers","Clermont",1,2,"A",0,1,"A",2.48,3.59,2.94,"0-1","1-2",5,1,10,6,2,2,0,0,3,1,3,4,"Y","Y","N",4,0,"Angers-Clermont",167,3,28,40,400,120,160,1120,12,84,112,668,480
"197","F1",2023-01-29,"Clermont","Nantes",0,0,"D",0,0,"D",2.44,3.34,3.19,"0-0","0-0",9,0,4,0,2,1,0,0,9,1,0,10,"N","N","N",3,0,"Clermont-Nantes",0,0,0,30,200,0,300,0,0,0,0,0,0
"41","F1",2023-01-29,"Clermont","Nantes",0,0,"D",0,0,"D",2.44,3.34,3.19,"0-0","0-0",9,0,4,0,2,1,0,0,9,1,0,10,"N","N","N",3,0,"Clermont-Nantes",131.875,2.45,41.15,48.5,530,115.625,409.75,1898.5,19.95,137.05,331.65,1092.25,941.75
