,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS,HS,HST,AS,AST,HY,AY,HR,AR,HCO,ACO,HF,AF,TG,TC,TF,COSC,OV15,OV25,OV35,TY,TR,matchid,ligueone_goalmins,n,ligueone_shirts,Bookings,Crossbookings,GoalsXbookings,CornersXbookings,ShirtsXbookings,GoalsXcorners,GoalsXshirts,ShirtsXcorners,TGMXcorners,GoalsXcornerXbookings
130,F1,10/30/2022,Lyon,Lille,1,0,H,0,0,D,2.06,3.91,3.57,0-0,Jan-00,6,3,15,5,3,1,0,0,3,6,11,15,1,9,26,6-Mar,N,N,N,4,0,Lyon-Lille,74,1,10,40,300,40,360,400,9,10,90,666,360
139,F1,11/6/2022,Lille,Rennes,1,1,D,1,0,H,2.46,3.65,2.93,Jan-00,1-Jan,19,7,3,2,4,1,0,1,6,2,9,14,2,8,23,2-Jun,Y,N,N,5,1,Lille-Rennes,74,2,20,75,1400,150,600,1500,16,40,160,592,1200
146,F1,11/13/2022,Lille,Angers,1,0,H,1,0,H,1.32,5.8,10.51,Jan-00,Jan-00,9,4,8,2,3,1,1,0,2,6,18,12,1,8,30,6-Feb,N,N,N,4,1,Lille-Angers,36,1,3,65,550,65,520,195,8,3,24,288,520
154,F1,12/28/2022,Clermont,Lille,0,2,A,0,0,D,4.5,3.84,1.85,0-0,0-2,9,3,14,3,4,2,1,0,3,3,9,17,2,6,26,3-Mar,Y,N,N,6,1,Clermont-Lille,158,2,47,85,1300,170,510,3995,12,94,282,948,1020
168,F1,1/2/2023,Lille,Reims,1,1,D,1,0,H,1.7,4.14,5.09,Jan-00,1-Jan,14,5,9,6,1,1,0,0,5,1,8,12,2,6,20,1-May,Y,N,N,2,0,Lille-Reims,111,2,17,20,100,40,120,340,12,34,102,666,240
173,F1,1/11/2023,Brest,Lille,0,0,D,0,0,D,4.05,3.7,1.98,0-0,0-0,5,0,11,4,0,1,0,0,0,8,15,12,0,8,27,0-8,N,N,N,1,0,Brest-Lille,0,0,0,10,0,0,80,0,0,0,0,0,0
184,F1,1/15/2023,Lille,Troyes,5,1,H,2,0,H,1.42,5.23,7.71,Feb-00,1-May,23,13,10,2,1,0,0,0,7,2,12,5,6,9,17,2-Jul,Y,Y,Y,1,0,Lille-Troyes,336,6,105,10,0,60,90,1050,54,630,945,3024,540
194,F1,1/29/2023,Nice,Lille,1,0,H,1,0,H,2.98,3.35,2.58,Jan-00,Jan-00,12,6,16,7,3,2,0,0,5,7,12,11,1,12,23,7-May,N,N,N,5,0,Nice-Lille,34,1,24,50,600,50,600,1200,12,24,288,408,600
202,F1,2/1/2023,Lille,Clermont,0,0,D,0,0,D,1.52,4.5,7,0-0,0-0,22,5,13,5,0,1,0,0,8,3,15,11,0,11,26,3-Aug,N,N,N,1,0,Lille-Clermont,0,0,0,10,0,0,110,0,0,0,0,0,0
213,F1,2/4/2023,Rennes,Lille,1,3,A,1,0,H,2.36,3.47,3.22,Jan-00,3-Jan,10,6,15,6,1,2,0,0,2,1,16,9,4,3,25,1-Feb,Y,Y,Y,3,0,Rennes-Lille,235,4,0,30,200,120,90,0,12,0,0,705,360
226,F1,2/12/2023,Lille,Strasbourg,2,0,H,2,0,H,1.49,4.51,7.57,Feb-00,Feb-00,14,10,5,0,1,2,0,0,5,4,13,13,2,9,26,4-May,Y,N,N,3,0,Lille-Strasbourg,51,2,0,30,200,60,270,0,18,0,0,459,540
234,F1,2/19/2023,Paris SG,Lille,4,3,H,2,1,H,1.65,4.33,5.32,1-Feb,3-Apr,12,10,16,7,2,4,0,0,3,6,9,19,7,9,28,6-Mar,Y,Y,Y,6,0,Paris SG-Lille,356,7,88,60,800,420,540,5280,63,616,792,3204,3780
241,F1,2/24/2023,Lille,Brest,2,1,H,0,1,A,1.37,5.25,8.91,0-1,1-Feb,18,4,3,0,2,2,0,1,11,2,8,11,3,13,19,2-Nov,Y,Y,N,4,1,Lille-Brest,148,3,25,65,900,195,845,1625,39,75,325,1924,2535
252,F1,3/4/2023,Lens,Lille,1,1,D,1,0,H,2.41,3.45,3.1,Jan-00,1-Jan,10,1,11,6,2,4,0,0,10,3,18,14,2,13,32,3-Oct,Y,N,N,6,0,Lens-Lille,110,2,0,60,800,120,780,0,26,0,0,1430,1560
1,F1,8/5/2022,Lyon,Ajaccio,2,1,H,2,1,H,1.33,5.53,10.75,1-Feb,1-Feb,11,6,8,4,1,6,1,1,4,3,10,18,3,7,28,3-Apr,Y,Y,N,7,2,Lyon-Ajaccio,65,3,134,120,2975,360,840,16080,21,402,938,455,2520
20,F1,8/19/2022,Lyon,Troyes,4,1,H,1,1,D,1.3,6.19,9.6,1-Jan,1-Apr,16,8,4,1,0,1,0,0,4,5,9,7,5,9,16,5-Apr,Y,Y,Y,1,0,Lyon-Troyes,213,5,144,10,0,50,90,1440,45,720,1296,1917,450
38,F1,8/28/2022,Reims,Lyon,1,1,D,1,0,H,4.29,4.13,1.82,Jan-00,1-Jan,8,5,18,5,1,1,1,0,2,7,12,12,2,9,24,7-Feb,Y,N,N,2,1,Reims-Lyon,110,2,48,45,350,90,405,2160,18,96,432,990,810
41,F1,8/31/2022,Lyon,Auxerre,2,1,H,1,0,H,1.3,6.4,9.32,Jan-00,1-Feb,20,8,6,2,0,2,0,0,9,3,13,13,3,12,26,3-Sep,Y,Y,N,2,0,Lyon-Auxerre,181,3,47,20,0,60,240,940,36,141,564,2172,720
51,F1,9/3/2022,Lyon,Angers,5,0,H,2,0,H,1.32,6.23,9.49,Feb-00,May-00,16,9,8,3,2,1,0,0,13,3,5,9,5,16,14,13-3,Y,Y,Y,3,0,Lyon-Angers,278,5,37,30,200,150,480,1110,80,185,592,4448,2400
60,F1,9/7/2022,Lorient,Lyon,3,1,H,2,1,H,4.64,4.42,1.72,1-Feb,1-Mar,11,6,15,7,1,3,0,0,1,6,8,18,4,7,26,6-Jan,Y,Y,Y,4,0,Lorient-Lyon,116,4,44,40,300,160,280,1760,28,176,308,812,1120
70,F1,9/11/2022,Monaco,Lyon,2,1,H,0,0,D,2.55,3.72,2.77,0-0,1-Feb,11,4,20,6,1,2,0,0,1,6,12,9,3,7,21,6-Jan,Y,Y,N,3,0,Monaco-Lyon,199,3,0,30,200,90,210,0,21,0,0,1393,630
80,F1,9/18/2022,Lyon,Paris SG,0,1,A,0,1,A,4.53,4.9,1.67,0-1,0-1,12,3,15,8,0,2,0,0,3,7,14,4,1,10,18,7-Mar,N,N,N,2,0,Lyon-Paris SG,5,1,30,20,0,20,200,600,10,30,300,50,200
90,F1,10/2/2022,Lens,Lyon,1,0,H,0,0,D,2.57,3.87,2.67,0-0,Jan-00,21,6,4,0,2,2,0,0,6,2,19,16,1,8,35,2-Jun,N,N,N,4,0,Lens-Lyon,82,1,7,40,400,40,320,280,8,7,56,656,320
91,F1,10/7/2022,Lyon,Toulouse,1,1,D,1,0,H,1.51,4.96,6.13,Jan-00,1-Jan,19,8,5,2,2,2,0,0,4,5,13,11,2,9,24,5-Apr,Y,N,N,4,0,Lyon-Toulouse,69,2,32,40,400,80,360,1280,18,64,288,621,720
107,F1,10/16/2022,Rennes,Lyon,3,2,H,1,1,D,2.37,3.59,3.11,1-Jan,2-Mar,14,5,7,5,2,2,0,0,3,2,13,14,5,5,27,2-Mar,Y,Y,Y,4,0,Rennes-Lyon,257,5,53,40,400,200,200,2120,25,265,265,1285,1000
112,F1,10/22/2022,Montpellier,Lyon,1,2,A,0,1,A,4.07,4.13,1.86,0-1,2-Jan,10,4,21,10,2,2,1,1,4,7,9,18,3,11,27,7-Apr,Y,Y,N,4,2,Montpellier-Lyon,193,3,39,90,2025,270,990,3510,33,117,429,2123,2970
1301,F1,10/30/2022,Lyon,Lille,1,0,H,0,0,D,2.06,3.91,3.57,0-0,Jan-00,6,3,15,5,3,1,0,0,3,6,11,15,1,9,26,6-Mar,N,N,N,4,0,Lyon-Lille,74,1,10,40,300,40,360,400,9,10,90,666,360
140,F1,11/6/2022,Marseille,Lyon,1,0,H,1,0,H,2.28,3.59,3.27,Jan-00,Jan-00,6,2,11,4,0,1,0,0,6,4,9,13,1,10,22,4-Jun,N,N,N,1,0,Marseille-Lyon,43,1,4,10,0,10,100,40,10,4,40,430,100
141,F1,11/11/2022,Lyon,Nice,1,1,D,0,1,A,1.79,4.01,4.6,0-1,1-Jan,9,3,13,3,1,0,0,0,3,4,7,7,2,7,14,4-Mar,Y,N,N,1,0,Lyon-Nice,127,2,39,10,0,20,70,390,14,78,273,889,140
155,F1,12/28/2022,Brest,Lyon,2,4,A,1,3,A,3.7,3.91,2.01,3-Jan,4-Feb,17,5,17,10,2,2,0,0,6,6,8,19,6,12,27,6-Jun,Y,Y,Y,4,0,Brest-Lyon,238,6,89,40,400,240,480,3560,72,534,1068,2856,2880
165,F1,1/1/2023,Lyon,Clermont,0,1,A,0,0,D,1.56,4.45,6.2,0-0,0-1,13,2,13,3,1,3,0,0,7,4,21,13,1,11,34,4-Jul,N,N,N,4,0,Lyon-Clermont,87,1,70,40,300,40,440,2800,11,70,770,957,440
