"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","OV15","OV25","OV35","TY","TR","matchid","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"10","F1",2022-08-07,"Marseille","Reims",4,1,"H",2,0,"H",1.61,4.1,6.32,"2-0","4-1",16,6,16,6,2,0,0,0,6,7,5,13,"Y","Y","Y",2,0,"Marseille-Reims",307,5,0,20,0,100,260,0,65,0,0,3991,1300
"19","F1",2022-08-14,"Brest","Marseille",1,1,"D",0,1,"A",4.16,4.02,1.87,"0-1","1-1",17,5,5,2,1,4,0,0,7,5,2,12,"Y","N","N",5,0,"Brest-Marseille",99,2,50,50,400,100,600,2500,24,100,600,1188,1200
"22","F1",2022-08-20,"Marseille","Nantes",2,1,"H",0,0,"D",1.61,4.37,5.74,"0-0","2-1",16,5,12,3,5,1,1,0,7,4,3,11,"Y","Y","N",6,1,"Marseille-Nantes",230,3,113,85,750,255,935,9605,33,339,1243,2530,2805
"36","F1",2022-08-28,"Nice","Marseille",0,3,"A",0,3,"A",2.85,3.54,2.58,"0-3","0-3",16,2,13,4,1,1,0,0,7,5,3,12,"Y","Y","N",2,0,"Nice-Marseille",89,3,170,20,100,60,240,3400,36,510,2040,1068,720
"47","F1",2022-08-31,"Marseille","Clermont",1,0,"H",0,0,"D",1.4,5.25,8.38,"0-0","1-0",21,7,3,0,2,2,0,0,7,1,1,8,"N","N","N",4,0,"Marseille-Clermont",49,1,22,40,400,40,320,880,8,22,176,392,320
"50","F1",2022-09-03,"Auxerre","Marseille",0,2,"A",0,1,"A",4.88,4.14,1.73,"0-1","0-2",8,2,15,7,1,1,0,0,4,1,2,5,"Y","N","N",2,0,"Auxerre-Marseille",91,2,78,20,100,40,100,1560,10,156,390,455,200
"63","F1",2022-09-10,"Marseille","Lille",2,1,"H",1,1,"D",2.03,3.61,3.93,"1-1","2-1",14,7,7,3,5,1,0,0,4,3,3,7,"Y","Y","N",6,0,"Marseille-Lille",99,3,105,60,500,180,420,6300,21,315,735,693,1260
"77","F1",2022-09-18,"Marseille","Rennes",1,1,"D",0,1,"A",2.11,3.58,3.7,"0-1","1-1",15,4,12,4,3,4,0,0,11,7,2,18,"Y","N","N",7,0,"Marseille-Rennes",77,2,12,70,1200,140,1260,840,36,24,216,1386,2520
"81","F1",2022-09-30,"Angers","Marseille",0,3,"A",0,1,"A",4.64,3.97,1.79,"0-1","0-3",16,5,15,7,0,0,0,0,6,3,3,9,"Y","Y","N",0,0,"Angers-Marseille",144,3,26,0,0,0,0,0,27,78,234,1296,0
"92","F1",2022-10-08,"Marseille","Ajaccio",1,2,"A",1,1,"D",1.39,4.69,10.86,"1-1","1-2",10,2,6,1,0,2,0,0,11,2,3,13,"Y","Y","N",2,0,"Marseille-Ajaccio",87,3,26,20,0,60,260,520,39,78,338,1131,780
"110","F1",2022-10-16,"Paris SG","Marseille",1,0,"H",1,0,"H",1.36,5.72,8.51,"1-0","1-0",23,8,18,7,1,0,0,1,7,6,1,13,"N","N","N",1,1,"Paris SG-Marseille",45,1,10,35,250,35,455,350,13,10,130,585,455
"113","F1",2022-10-22,"Marseille","Lens",0,1,"A",0,0,"D",2.21,3.57,3.45,"0-0","0-1",13,3,12,4,3,3,0,0,7,3,1,10,"N","N","N",6,0,"Marseille-Lens",78,1,20,60,900,60,600,1200,10,20,200,780,600
"123","F1",2022-10-29,"Strasbourg","Marseille",2,2,"D",0,2,"A",3.09,3.56,2.39,"0-2","2-2",12,5,13,5,0,2,0,0,3,0,4,3,"Y","Y","Y",2,0,"Strasbourg-Marseille",209,4,62,20,0,80,60,1240,12,248,186,627,240
"140","F1",2022-11-06,"Marseille","Lyon",1,0,"H",1,0,"H",2.28,3.59,3.27,"1-0","1-0",6,2,11,4,0,1,0,0,6,4,1,10,"N","N","N",1,0,"Marseille-Lyon",43,1,4,10,0,10,100,40,10,4,40,430,100
"150","F1",2022-11-13,"Monaco","Marseille",2,3,"A",1,1,"D",2.38,3.74,2.99,"1-1","2-3",11,6,11,3,3,1,0,0,5,4,5,9,"Y","Y","Y",4,0,"Monaco-Marseille",325,5,161,40,300,200,360,6440,45,805,1449,2925,1800
"159","F1",2022-12-29,"Marseille","Toulouse",6,1,"H",2,0,"H",1.54,4.65,6.19,"2-0","6-1",13,7,10,6,1,2,0,0,1,6,7,7,"Y","Y","Y",3,0,"Marseille-Toulouse",394,7,0,30,200,210,210,0,49,0,0,2758,1470
"169","F1",2023-01-02,"Montpellier","Marseille",1,2,"A",0,0,"D",4.41,4.09,1.81,"0-0","1-2",8,1,18,9,2,2,0,1,5,7,3,12,"Y","Y","N",4,1,"Montpellier-Marseille",198,3,55,65,900,195,780,3575,36,165,660,2376,2340
"180","F1",2023-01-11,"Troyes","Marseille",0,2,"A",0,1,"A",5.03,4.18,1.7,"0-1","0-2",5,1,13,4,2,3,0,0,4,7,2,11,"Y","N","N",5,0,"Troyes-Marseille",56,2,126,50,600,100,550,6300,22,252,1386,616,1100
"182","F1",2023-01-14,"Marseille","Lorient",3,1,"H",1,1,"D",1.41,5.24,7.96,"1-1","3-1",16,8,11,3,1,0,0,0,6,3,4,9,"Y","Y","Y",1,0,"Marseille-Lorient",179,4,133,10,0,40,90,1330,36,532,1197,1611,360
"193","F1",2023-01-28,"Marseille","Monaco",1,1,"D",0,1,"A",2.12,3.79,3.49,"0-1","1-1",22,6,11,4,2,2,0,0,6,3,2,9,"Y","N","N",4,0,"Marseille-Monaco",64,2,97,40,400,80,360,3880,18,194,873,576,720
"4","F1",2022-08-07,"Toulouse","Nice",1,1,"D",1,0,"H",2.93,3.43,2.57,"1-0","1-1",6,4,11,4,1,2,0,0,6,3,2,9,"Y","N","N",3,0,"Toulouse-Nice",98,2,0,30,200,60,270,0,18,0,0,882,540
"18","F1",2022-08-14,"Nice","Strasbourg",1,1,"D",1,0,"H",2.22,3.37,3.63,"1-0","1-1",13,3,9,5,1,4,0,0,7,3,2,10,"Y","N","N",5,0,"Nice-Strasbourg",90,2,16,50,400,100,500,800,20,32,160,900,1000
"25","F1",2022-08-21,"Clermont","Nice",1,0,"H",1,0,"H",3.65,3.6,2.12,"1-0","1-0",7,2,13,4,1,2,0,2,3,6,1,9,"N","N","N",3,2,"Clermont-Nice",6,1,10,80,700,80,720,800,9,10,90,54,720
"361","F1",2022-08-28,"Nice","Marseille",0,3,"A",0,3,"A",2.85,3.54,2.58,"0-3","0-3",16,2,13,4,1,1,0,0,7,5,3,12,"Y","Y","N",2,0,"Nice-Marseille",89,3,170,20,100,60,240,3400,36,510,2040,1068,720
"46","F1",2022-08-31,"Lille","Nice",1,2,"A",1,2,"A",2.09,3.6,3.74,"1-2","1-2",18,6,3,2,1,4,0,0,6,3,3,9,"Y","Y","N",5,0,"Lille-Nice",71,3,43,50,400,150,450,2150,27,129,387,639,1350
"59","F1",2022-09-04,"Nice","Monaco",0,1,"A",0,0,"D",2.82,3.73,2.51,"0-0","0-1",12,5,14,2,2,1,0,0,3,6,1,9,"N","N","N",3,0,"Nice-Monaco",69,1,36,30,200,30,270,1080,9,36,324,621,270
"65","F1",2022-09-11,"Ajaccio","Nice",0,1,"A",0,0,"D",3.4,3.06,2.49,"0-0","0-1",9,3,12,3,1,5,0,0,2,3,1,5,"N","N","N",6,0,"Ajaccio-Nice",65,1,7,60,500,60,300,420,5,7,35,325,300
"78","F1",2022-09-18,"Nice","Angers",0,1,"A",0,1,"A",1.67,4.09,5.52,"0-1","0-1",18,5,16,3,0,4,1,1,5,4,1,9,"N","N","N",4,2,"Nice-Angers",43,1,6,90,1625,90,810,540,9,6,54,387,810
"83","F1",2022-10-01,"Paris SG","Nice",2,1,"H",1,0,"H",1.18,8.41,14.98,"1-0","2-1",12,4,4,1,1,1,0,0,4,0,3,4,"Y","Y","N",2,0,"Paris SG-Nice",159,3,61,20,100,60,80,1220,12,183,244,636,240
"98","F1",2022-10-09,"Nice","Troyes",3,2,"H",2,0,"H",1.78,3.77,5.06,"2-0","3-2",14,6,17,6,1,1,0,0,5,5,5,10,"Y","Y","Y",2,0,"Nice-Troyes",261,5,114,20,100,100,200,2280,50,570,1140,2610,1000
"105","F1",2022-10-16,"Auxerre","Nice",1,1,"D",1,1,"D",3.65,3.57,2.13,"1-1","1-1",11,3,9,2,0,0,0,0,2,6,2,8,"Y","N","N",0,0,"Auxerre-Nice",62,2,16,0,0,0,0,0,16,32,128,496,0
"119","F1",2022-10-23,"Nice","Nantes",1,1,"D",0,0,"D",1.91,3.66,4.4,"0-0","1-1",11,5,11,4,3,4,0,2,7,3,2,10,"Y","N","N",7,2,"Nice-Nantes",139,2,43,120,2700,240,1200,5160,20,86,430,1390,2400
"129","F1",2022-10-30,"Lorient","Nice",1,2,"A",1,0,"H",2.58,3.47,2.89,"1-0","1-2",14,8,16,5,0,1,0,0,8,3,3,11,"Y","Y","N",1,0,"Lorient-Nice",148,3,55,10,0,30,110,550,33,165,605,1628,330
"136","F1",2022-11-06,"Nice","Brest",1,0,"H",0,0,"D",1.85,3.82,4.47,"0-0","1-0",14,9,12,2,1,1,0,0,2,6,1,8,"N","N","N",2,0,"Nice-Brest",54,1,24,20,100,20,160,480,8,24,192,432,160
