"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","OV15","OV25","OV35","TY","TR","matchid","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","F1",2022-08-05,"Lyon","Ajaccio",2,1,"H",2,1,"H",1.33,5.53,10.75,"2-1","2-1",11,6,8,4,1,6,1,1,4,3,3,7,"Y","Y","N",7,2,"Lyon-Ajaccio",65,3,134,120,2975,360,840,16080,21,402,938,455,2520
"14","F1",2022-08-14,"Ajaccio","Lens",0,0,"D",0,0,"D",3.31,3.29,2.4,"0-0","0-0",9,2,12,3,5,2,0,0,1,3,0,4,"N","N","N",7,0,"Ajaccio-Lens",0,0,0,70,1000,0,280,0,0,0,0,0,0
"28","F1",2022-08-21,"Rennes","Ajaccio",2,1,"H",1,0,"H",1.43,4.68,8.97,"1-0","2-1",16,7,10,3,5,2,2,0,4,8,3,12,"Y","Y","N",7,2,"Rennes-Ajaccio",137,3,19,120,2000,360,1440,2280,36,57,228,1644,4320
"30","F1",2022-08-26,"Ajaccio","Lille",1,3,"A",0,2,"A",3.64,3.2,2.3,"0-2","1-3",13,2,7,4,3,2,0,0,6,0,4,6,"Y","Y","Y",5,0,"Ajaccio-Lille",210,4,35,50,600,200,300,1750,24,140,210,1260,1200
"43","F1",2022-08-31,"Montpellier","Ajaccio",2,0,"H",1,0,"H",2.15,3.41,3.79,"1-0","2-0",9,4,15,0,2,4,1,1,3,8,2,11,"Y","N","N",6,2,"Montpellier-Ajaccio",105,2,28,110,2925,220,1210,3080,22,56,308,1155,2420
"54","F1",2022-09-04,"Ajaccio","Lorient",0,1,"A",0,0,"D",2.53,3.25,3.14,"0-0","0-1",16,3,7,4,4,1,0,0,3,3,1,6,"N","N","N",5,0,"Ajaccio-Lorient",51,1,11,50,400,50,300,550,6,11,66,306,300
"65","F1",2022-09-11,"Ajaccio","Nice",0,1,"A",0,0,"D",3.4,3.06,2.49,"0-0","0-1",9,3,12,3,1,5,0,0,2,3,1,5,"N","N","N",6,0,"Ajaccio-Nice",65,1,7,60,500,60,300,420,5,7,35,325,300
"75","F1",2022-09-18,"Brest","Ajaccio",0,1,"A",0,0,"D",2.13,3.22,4.13,"0-0","0-1",8,4,6,4,2,2,0,0,6,2,1,8,"N","N","N",4,0,"Brest-Ajaccio",65,1,17,40,400,40,320,680,8,17,136,520,320
"85","F1",2022-10-02,"Ajaccio","Clermont",1,3,"A",0,1,"A",2.26,3.21,3.73,"0-1","1-3",12,3,7,3,3,3,0,0,4,4,4,8,"Y","Y","Y",6,0,"Ajaccio-Clermont",260,4,154,60,900,240,480,9240,32,616,1232,2080,1920
"92","F1",2022-10-08,"Marseille","Ajaccio",1,2,"A",1,1,"D",1.39,4.69,10.86,"1-1","1-2",10,2,6,1,0,2,0,0,11,2,3,13,"Y","Y","N",2,0,"Marseille-Ajaccio",87,3,26,20,0,60,260,520,39,78,338,1131,780
"108","F1",2022-10-16,"Troyes","Ajaccio",1,1,"D",0,0,"D",2.25,3.08,3.94,"0-0","1-1",9,2,15,7,2,1,0,0,3,5,2,8,"Y","N","N",3,0,"Troyes-Ajaccio",164,2,9,30,200,60,240,270,16,18,72,1312,480
"111","F1",2022-10-21,"Ajaccio","Paris SG",0,3,"A",0,1,"A",11.81,5.6,1.31,"0-1","0-3",8,1,11,6,0,1,0,0,3,8,3,11,"Y","Y","N",1,0,"Ajaccio-Paris SG",184,3,44,10,0,30,110,440,33,132,484,2024,330
