"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","COSC","OV15","OV25","OV35","TY","TR","matchid","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"2","F1",2022-08-06,"Strasbourg","Monaco",1,2,"A",0,1,"A",2.64,3.4,2.86,"0-1","1-2",11,7,24,11,0,2,0,0,3,7,3,10,"3-7","Y","Y","N",2,0,"Strasbourg-Monaco",161,3,54,20,0,60,200,1080,30,162,540,1610,600
"18","F1",2022-08-14,"Nice","Strasbourg",1,1,"D",1,0,"H",2.22,3.37,3.63,"1-0","1-1",13,3,9,5,1,4,0,0,7,3,2,10,"7-3","Y","N","N",5,0,"Nice-Strasbourg",90,2,16,50,400,100,500,800,20,32,160,900,1000
"23","F1",2022-08-21,"Strasbourg","Reims",1,1,"D",1,0,"H",1.84,3.52,5.09,"1-0","1-1",12,3,12,6,1,4,0,0,5,4,2,9,"5-4","Y","N","N",5,0,"Strasbourg-Reims",126,2,0,50,400,100,450,0,18,0,0,1134,900
"31","F1",2022-08-27,"Auxerre","Strasbourg",1,0,"H",1,0,"H",3.79,3.5,2.11,"1-0","1-0",7,3,14,4,0,1,0,0,2,5,1,7,"2-5","N","N","N",1,0,"Auxerre-Strasbourg",29,1,10,10,0,10,70,100,7,10,70,203,70
"44","F1",2022-08-31,"Strasbourg","Nantes",1,1,"D",1,0,"H",1.93,3.76,4.15,"1-0","1-1",5,2,12,3,0,3,0,0,3,6,2,9,"3-6","Y","N","N",3,0,"Strasbourg-Nantes",113,2,51,30,0,60,270,1530,18,102,459,1017,540
"55","F1",2022-09-04,"Brest","Strasbourg",1,1,"D",1,1,"D",2.87,3.43,2.62,"1-1","1-1",11,2,10,3,3,1,0,1,7,3,2,10,"7-3","Y","N","N",4,1,"Brest-Strasbourg",34,2,45,65,1050,130,650,2925,20,90,450,340,1300
"64","F1",2022-09-11,"Strasbourg","Clermont",0,0,"D",0,0,"D",1.7,3.75,5.85,"0-0","0-0",12,4,10,4,4,2,1,0,3,5,0,8,"3-5","N","N","N",6,1,"Strasbourg-Clermont",0,0,0,85,1300,0,680,0,0,0,0,0,0
"72","F1",2022-09-17,"Montpellier","Strasbourg",2,1,"H",1,0,"H",2.55,3.61,2.84,"1-0","2-1",10,4,8,2,4,4,0,0,8,6,3,14,"8-6","Y","Y","N",8,0,"Montpellier-Strasbourg",192,3,38,80,1600,240,1120,3040,42,114,532,2688,3360
"82","F1",2022-10-01,"Strasbourg","Rennes",1,3,"A",0,1,"A",3.09,3.56,2.4,"0-1","1-3",9,3,17,7,0,2,1,0,1,5,4,6,"1-5","Y","Y","Y",2,1,"Strasbourg-Rennes",220,4,55,45,500,180,270,2475,24,220,330,1320,1080
"95","F1",2022-10-09,"Angers","Strasbourg",2,3,"A",1,2,"A",2.69,3.41,2.8,"1-2","2-3",14,8,15,7,1,1,0,0,6,6,5,12,"6-6","Y","Y","Y",2,0,"Angers-Strasbourg",196,5,62,20,100,100,240,1240,60,310,744,2352,1200
