"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"295","I1","2023-04-15","Inter","Monza",0,1,"A",0,0,"D",1.45,4.67,7.7,"0-0","0-1",25,6,7,2,2,2,0,0,5,2,13,4,1,7,17,"5-2","N","N","N",4,0,"Inter-Monza",78,1,5,40,400,40,280,200,7,5,35,546,280
"305","I1","2023-04-23","Empoli","Inter",0,3,"A",0,0,"D",6.44,4.49,1.53,"0-0","0-3",11,3,16,4,1,1,0,0,5,4,6,13,3,9,19,"5-4","Y","Y","N",2,0,"Empoli-Inter",212,3,190,20,100,60,180,3800,27,570,1710,1908,540
"315","I1","2023-04-30","Inter","Lazio",3,1,"H",0,1,"A",1.83,3.62,4.8,"0-1","3-1",25,9,9,5,2,3,0,0,2,3,13,14,4,5,27,"2-3","Y","Y","Y",5,0,"Inter-Lazio",280,4,35,50,600,200,250,1750,20,140,175,1400,1000
"328","I1","2023-05-03","Verona","Inter",0,6,"A",0,3,"A",5.65,3.87,1.68,"0-3","0-6",7,2,20,10,0,0,0,0,2,7,4,11,6,9,15,"2-7","Y","Y","Y",0,0,"Verona-Inter",310,6,96,0,0,0,0,0,54,576,864,2790,0
"332","I1","2023-05-06","Roma","Inter",0,2,"A",0,1,"A",3.24,3.22,2.48,"0-1","0-2",15,3,10,4,3,2,0,0,12,5,8,12,2,17,20,"12-5","Y","N","N",5,0,"Roma-Inter",107,2,122,50,600,100,850,6100,34,244,2074,1819,1700
"344","I1","2023-05-13","Inter","Sassuolo",4,2,"H",1,0,"H",1.41,5.36,7.23,"1-0","4-2",11,3,16,5,2,3,0,0,1,5,12,8,6,6,20,"1-5","Y","Y","Y",5,0,"Inter-Sassuolo",383,6,0,50,600,300,300,0,36,0,0,2298,1800
"298","I1","2023-04-16","Sassuolo","Juventus",1,0,"H",0,0,"D",3.77,3.54,2.08,"0-0","1-0",11,4,13,3,0,1,0,0,10,13,10,5,1,23,15,"10-13","N","N","N",1,0,"Sassuolo-Juventus",64,1,92,10,0,10,230,920,23,92,2116,1472,230
"302","I1","2023-04-22","Salernitana","Sassuolo",3,0,"H",2,0,"H",3.15,3.61,2.31,"2-0","3-0",13,5,11,2,1,2,0,0,4,8,11,15,3,12,26,"4-8","Y","Y","N",3,0,"Salernitana-Sassuolo",94,3,145,30,200,90,360,4350,36,435,1740,1128,1080
"318","I1","2023-04-30","Sassuolo","Empoli",2,1,"H",0,1,"A",1.78,3.99,4.59,"0-1","2-1",13,4,7,1,2,1,1,0,7,5,12,10,3,12,22,"7-5","Y","Y","N",3,1,"Sassuolo-Empoli",183,3,48,55,450,165,660,2640,36,144,576,2196,1980
"325","I1","2023-05-03","Lazio","Sassuolo",2,0,"H",1,0,"H",1.69,4.11,5.08,"1-0","2-0",13,5,13,2,3,5,0,0,1,2,13,13,2,3,26,"1-2","Y","N","N",8,0,"Lazio-Sassuolo",104,2,95,80,1500,160,240,7600,6,190,285,312,480
"340","I1","2023-05-08","Sassuolo","Bologna",1,1,"D",1,1,"D",2.39,3.53,3.06,"1-1","1-1",6,2,12,3,1,1,0,0,4,4,12,14,2,8,26,"4-4","Y","N","N",2,0,"Sassuolo-Bologna",57,2,18,20,100,40,160,360,16,36,144,456,320
"3441","I1","2023-05-13","Inter","Sassuolo",4,2,"H",1,0,"H",1.41,5.36,7.23,"1-0","4-2",11,3,16,5,2,3,0,0,1,5,12,8,6,6,20,"1-5","Y","Y","Y",5,0,"Inter-Sassuolo",383,6,0,50,600,300,300,0,36,0,0,2298,1800
"13","I1","2023-05-13","Inter","Sassuolo",4,2,"H",1,0,"H",1.41,5.36,7.23,"1-0","4-2",11,3,16,5,2,3,0,0,1,5,12,8,6,6,20,"1-5","Y","Y","Y",5,0,"Inter-Sassuolo",187.916666666667,3.25,70.5,37.9166666666667,429.166666666667,122.083333333333,317.5,2310,27.5833333333333,202.666666666667,809.916666666667,1551.91666666667,934.166666666667
