"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"265","I1","2023-03-18","Udinese","Milan",3,1,"H",2,1,"H",3.53,3.53,2.17,"2-1","3-1",14,5,10,6,4,2,0,0,5,6,16,9,4,11,25,"5-6","Y","Y","Y",6,0,"Udinese-Milan",169,4,0,60,800,240,660,0,44,0,0,1859,2640
"278","I1","2023-04-02","Napoli","Milan",0,4,"A",0,2,"A",1.78,3.75,4.96,"0-2","0-4",20,4,14,8,1,2,0,0,10,4,11,9,4,14,20,"10-4","Y","Y","Y",3,0,"Napoli-Milan",168,4,100,30,200,120,420,3000,56,400,1400,2352,1680
"283","I1","2023-04-07","Milan","Empoli",0,0,"D",0,0,"D",1.38,5.04,9.12,"0-0","0-0",23,4,2,1,2,2,0,0,9,0,11,8,0,9,19,"9-0","N","N","N",4,0,"Milan-Empoli",0,0,0,40,400,0,360,0,0,0,0,0,0
"293","I1","2023-04-15","Bologna","Milan",1,1,"D",1,1,"D",3.2,3.17,2.5,"1-1","1-1",6,2,19,5,3,4,0,0,2,6,12,17,2,8,29,"2-6","Y","N","N",7,0,"Bologna-Milan",41,2,42,70,1200,140,560,2940,16,84,336,328,1120
"308","I1","2023-04-23","Milan","Lecce",2,0,"H",1,0,"H",1.51,4.22,7.65,"1-0","2-0",8,5,9,4,1,0,0,0,4,2,6,10,2,6,16,"4-2","Y","N","N",1,0,"Milan-Lecce",114,2,34,10,0,20,60,340,12,68,204,684,120
"313","I1","2023-04-29","Roma","Milan",1,1,"D",0,0,"D",2.81,3.09,2.87,"0-0","1-1",11,1,11,1,3,2,0,0,1,5,9,6,2,6,15,"1-5","Y","N","N",5,0,"Roma-Milan",180,2,65,50,600,100,300,3250,12,130,390,1080,600
"269","I1","2023-03-19","Lazio","Roma",1,0,"H",0,0,"D",2.91,3.1,2.77,"0-0","1-0",12,5,8,3,4,4,1,2,5,2,18,13,1,7,31,"5-2","N","N","N",8,3,"Lazio-Roma",65,1,0,155,5850,155,1085,0,7,0,0,455,1085
"275","I1","2023-04-02","Monza","Lazio",0,2,"A",0,1,"A",3.89,3.37,2.11,"0-1","0-2",11,3,8,4,5,2,0,0,8,3,13,8,2,11,21,"8-3","Y","N","N",7,0,"Monza-Lazio",69,2,0,70,1000,140,770,0,22,0,0,759,1540
"290","I1","2023-04-08","Lazio","Juventus",2,1,"H",1,1,"D",2.8,3.03,2.94,"1-1","2-1",9,4,11,4,2,5,0,0,6,6,11,15,3,12,26,"6-6","Y","Y","N",7,0,"Lazio-Juventus",133,3,66,70,1000,210,840,4620,36,198,792,1596,2520
"292","I1","2023-04-14","Spezia","Lazio",0,3,"A",0,1,"A",5.47,3.65,1.75,"0-1","0-3",6,2,13,7,3,4,1,0,2,3,12,7,3,5,19,"2-3","Y","Y","N",7,1,"Spezia-Lazio",177,3,30,95,2200,285,475,2850,15,90,150,885,1425
"303","I1","2023-04-22","Lazio","Torino",0,1,"A",0,1,"A",1.88,3.33,5.12,"0-1","0-1",10,5,7,3,2,4,0,0,3,4,13,13,1,7,26,"3-4","N","N","N",6,0,"Lazio-Torino",43,1,8,60,800,60,420,480,7,8,56,301,420
"315","I1","2023-04-30","Inter","Lazio",3,1,"H",0,1,"A",1.83,3.62,4.8,"0-1","3-1",25,9,9,5,2,3,0,0,2,3,13,14,4,5,27,"2-3","Y","Y","Y",5,0,"Inter-Lazio",280,4,35,50,600,200,250,1750,20,140,175,1400,1000
"13","I1","2023-04-30","Inter","Lazio",3,1,"H",0,1,"A",1.83,3.62,4.8,"0-1","3-1",25,9,9,5,2,3,0,0,2,3,13,14,4,5,27,"2-3","Y","Y","Y",5,0,"Inter-Lazio",119.916666666667,2.33333333333333,31.6666666666667,63.3333333333333,1220.83333333333,139.166666666667,516.666666666667,1602.5,20.5833333333333,93.1666666666667,291.916666666667,974.916666666667,1179.16666666667
