"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","n","Home_xG","Away_xG","Total_Goalmins","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","TGMXcorners","GoalsXcornerXbookings","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","B1",2024-04-24,"Anderlecht","Cercle Brugge",3,0,"H",2,0,"H",1.93,3.67,3.98,"2-0","3-0",12,5,7,4,1,4,0,0,4,2,6,12,3,6,18,"4-2","Y","Y","N",5,0,"2024-04-24-Anderlecht-Cercle Brugge","Bram Van Driessche",3,2,0.6,119,50,400,150,300,18,714,900,0,2,0,0,1,2,0,0,0,20,20,10,20,30,600,90,0,225,0,90,225,315,90,37,37,0,88
"2","B1",2024-04-28,"Cercle Brugge","Anderlecht",1,1,"D",0,1,"A",2.91,3.47,2.4,"0-1","1-1",18,4,9,5,1,1,0,0,4,3,9,9,2,7,18,"4-3","Y","N","N",2,0,"2024-04-28-Cercle Brugge-Anderlecht","Erik Lambrechts",2,1.3,2.3,62,20,100,40,140,14,434,280,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,73,0,89,0,73,89,162,73,89,73,0,61
"3","B1",2024-05-05,"St. Gilloise","Anderlecht",0,0,"D",0,0,"D",1.7,3.96,4.66,"0-0","0-0",19,8,12,9,4,1,0,0,8,3,12,8,0,11,20,"8-3","N","N","N",5,0,"2024-05-05-St. Gilloise-Anderlecht","Bram Van Driessche",0,1.1,1,0,50,400,0,550,0,0,0,2,1,0,0,2,1,0,0,20,10,30,20,10,30,900,171,0,94,0,171,94,265,10,33,10,0,58
"4","B1",2024-05-11,"Anderlecht","Genk",2,1,"H",1,0,"H",2.06,3.6,3.61,"1-0","2-1",17,4,19,3,1,2,0,0,4,3,5,14,3,7,19,"4-3","Y","Y","N",3,0,"2024-05-11-Anderlecht-Genk","Lawrence Visser",3,1.1,1.4,189,30,200,90,210,21,1323,630,1,1,0,0,0,1,0,0,10,10,20,0,10,10,200,42,0,102,0,42,102,144,42,47,42,0,81
"5","B1",2024-05-19,"Anderlecht","Club Brugge",0,1,"A",0,1,"A",2.91,3.48,2.38,"0-1","0-1",13,4,14,2,1,3,0,0,4,4,10,10,1,8,20,"4-4","N","N","N",4,0,"2024-05-19-Anderlecht-Club Brugge","Erik Lambrechts",1,0.8,1.4,29,40,300,40,320,8,232,320,0,1,0,0,2,3,0,0,0,10,10,20,30,50,500,160,0,253,0,160,253,413,72,4,4,0,59
"6","B1",2024-05-26,"Antwerp","Anderlecht",3,1,"H",0,1,"A",3.94,4,1.82,"0-1","3-1",21,5,15,5,3,0,0,0,4,2,8,9,4,6,17,"4-2","Y","Y","Y",3,0,"2024-05-26-Antwerp-Anderlecht","Bram Van Driessche",4,1.4,1.6,294,30,0,120,180,24,1764,720,0,0,0,0,4,1,0,0,0,0,0,40,10,50,0,276,0,96,0,276,96,372,47,96,47,0,93
"7","B1",2024-04-20,"Westerlo","Standard",3,3,"D",1,1,"D",2.66,3.57,2.61,"1-1","3-3",19,6,17,8,1,1,0,0,6,7,8,12,6,13,20,"6-7","Y","Y","Y",2,0,"2024-04-20-Westerlo-Standard","Simon Bourdeaud'hui",6,3.1,1.1,331,20,100,120,260,78,4303,1560,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,62,0,73,0,62,73,135,62,73,62,1,149
"8","B1",2024-04-23,"Westerlo","Oud-Heverlee Leuven",1,1,"D",1,0,"H",2.53,3.55,2.77,"1-0","1-1",15,3,20,7,2,3,0,0,9,4,7,14,2,13,21,"9-4","Y","N","N",5,0,"2024-04-23-Westerlo-Oud-Heverlee Leuven","Wesli De Cremer",2,1,1.1,101,50,600,100,650,26,1313,1300,1,0,0,0,1,3,0,0,10,0,10,10,30,40,400,91,0,223,0,91,223,314,10,70,10,0,94
"9","B1",2024-04-27,"Gent","Westerlo",3,2,"H",2,2,"D",1.35,5.72,7.81,"2-2","3-2",15,6,23,7,2,3,0,0,3,10,9,12,5,13,21,"3-10","Y","Y","Y",5,0,"2024-04-27-Gent-Westerlo","Brent Staessens",5,2.3,1.8,140,50,600,250,650,65,1820,3250,0,0,0,0,2,3,0,0,0,0,0,20,30,50,0,159,0,188,0,159,188,347,75,54,54,0,139
"10","B1",2024-05-03,"Westerlo","St Truiden",2,2,"D",1,1,"D",2.39,3.8,2.79,"1-1","2-2",19,6,8,4,2,2,0,0,6,4,4,11,4,10,15,"6-4","Y","Y","Y",4,0,"2024-05-03-Westerlo-St Truiden","Simon Bourdeaud'hui",4,2.1,1.9,156,40,400,160,400,40,1560,1600,1,1,0,0,1,1,0,0,10,10,20,10,10,20,400,110,0,85,0,110,85,195,42,21,21,0,110
