"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","n","Home_xG","Away_xG","Total_Goalmins","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","TGMXcorners","GoalsXcornerXbookings","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","B1",2024-04-27,"Gent","Westerlo",3,2,"H",2,2,"D",1.35,5.72,7.81,"2-2","3-2",15,6,23,7,2,3,0,0,3,10,9,12,5,13,21,"3-10","Y","Y","Y",5,0,"2024-04-27-Gent-Westerlo","Brent Staessens",5,2.3,1.8,140,50,600,250,650,65,1820,3250,0,0,0,0,2,3,0,0,0,0,0,20,30,50,0,159,0,188,0,159,188,347,75,54,54,0,139
"2","B1",2024-05-04,"Mechelen","Gent",2,4,"A",2,3,"A",3.38,3.84,2.07,"2-3","2-4",15,8,13,5,2,0,0,0,6,2,11,10,6,8,21,"6-2","Y","Y","Y",2,0,"2024-05-04-Mechelen-Gent","Jan Boterberg",6,0.8,1.5,253,20,0,120,160,48,2024,960,2,0,0,0,0,0,0,0,20,0,20,0,0,0,0,72,0,0,0,72,0,72,31,0,31,0,124
"3","B1",2024-05-12,"Gent","Oud-Heverlee Leuven",0,1,"A",0,1,"A",1.4,5.38,6.88,"0-1","0-1",12,2,8,4,2,3,0,0,10,1,10,12,1,11,22,"10-1","N","N","N",5,0,"2024-05-12-Gent-Oud-Heverlee Leuven","Nathan Verboomen",1,1.7,1,6,50,600,50,550,11,66,550,0,0,0,0,2,3,0,0,0,0,0,20,30,50,0,147,0,267,0,147,267,414,51,80,51,0,73
"4","B1",2024-05-18,"Standard","Gent",1,4,"A",1,1,"D",3.78,4.1,1.88,"1-1","1-4",9,2,18,6,1,0,0,0,5,11,11,6,5,16,17,"5-11","Y","Y","Y",1,0,"2024-05-18-Standard-Gent","Kevin Van Damme",5,0.7,2.3,260,10,0,50,160,80,4160,800,1,0,0,0,0,0,0,0,10,0,10,0,0,0,0,17,0,0,0,17,0,17,17,0,17,0,128
"5","B1",2024-05-25,"Gent","St Truiden",2,0,"H",0,0,"D",1.52,4.74,5.3,"0-0","2-0",7,4,15,2,0,0,0,0,4,4,9,12,2,8,21,"4-4","Y","N","N",0,0,"2024-05-25-Gent-St Truiden","Matonga Simonini",2,1.3,1.1,133,0,0,0,0,16,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
"6","B1",2024-06-02,"Genk","Gent",0,1,"A",0,0,"D",2.37,3.54,2.89,"0-0","0-1",10,4,13,5,5,2,0,0,4,2,20,12,1,6,32,"4-2","N","N","N",7,0,"2024-06-02-Genk-Gent","Nicolas Laforge",1,0.5,0.7,60,70,1000,70,420,6,360,420,2,1,0,0,3,1,0,0,20,10,30,30,10,40,1200,304,0,106,0,304,106,410,17,21,17,0,68
"7","B1",2024-04-23,"Standard","Mechelen",0,0,"D",0,0,"D",2.48,3.44,2.89,"0-0","0-0",21,6,6,1,0,2,0,0,8,4,9,6,0,12,15,"8-4","N","N","N",2,0,"2024-04-23-Standard-Mechelen","Michiel Allaerts",0,1.5,0.2,0,20,0,0,240,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20,20,0,0,0,170,0,0,170,170,0,80,80,0,46
"8","B1",2024-04-27,"Mechelen","Oud-Heverlee Leuven",3,0,"H",0,0,"D",1.98,3.83,3.64,"0-0","3-0",17,7,17,4,1,1,0,0,4,3,10,12,3,7,22,"4-3","Y","Y","N",2,0,"2024-04-27-Mechelen-Oud-Heverlee Leuven","Bram Van Driessche",3,2.8,1.6,197,20,100,60,140,21,1379,420,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,70,0,75,0,70,75,145,70,75,70,1,86
"9","B1",2024-05-04,"Mechelen","Gent",2,4,"A",2,3,"A",3.38,3.84,2.07,"2-3","2-4",15,8,13,5,2,0,0,0,6,2,11,10,6,8,21,"6-2","Y","Y","Y",2,0,"2024-05-04-Mechelen-Gent","Jan Boterberg",6,0.8,1.5,253,20,0,120,160,48,2024,960,2,0,0,0,0,0,0,0,20,0,20,0,0,0,0,72,0,0,0,72,0,72,31,0,31,0,124
"10","B1",2024-05-12,"St Truiden","Mechelen",2,1,"H",2,1,"H",2.34,3.69,2.84,"2-1","2-1",11,5,7,3,1,0,0,0,2,1,9,12,3,3,21,"2-1","Y","Y","N",1,0,"2024-05-12-St Truiden-Mechelen","Ken Vermeiren",3,1.2,0.9,65,10,0,30,30,9,195,90,0,0,0,0,1,0,0,0,0,0,0,10,0,10,0,90,0,0,0,90,0,90,90,0,90,0,59
"11","B1",2024-05-18,"Westerlo","Mechelen",0,2,"A",0,1,"A",2.65,3.83,2.5,"0-1","0-2",10,2,17,7,0,1,0,0,10,5,8,10,2,15,18,"10-5","Y","N","N",1,0,"2024-05-18-Westerlo-Mechelen","Matonga Simonini",2,1.2,2.8,115,10,0,20,150,30,1725,300,0,1,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,28,0,0,28,28,0,28,28,0,80
"12","B1",2024-05-25,"Mechelen","Standard",3,2,"H",2,0,"H",1.88,3.89,3.79,"2-0","3-2",20,9,7,4,2,0,0,0,9,4,8,6,5,13,14,"9-4","Y","Y","Y",2,0,"2024-05-25-Mechelen-Standard","Wim Smet",5,1.6,0.9,257,20,0,100,260,65,3341,1300,0,0,0,0,2,0,0,0,0,0,0,20,0,20,0,164,0,0,0,164,0,164,68,0,68,0,124
"13","B1",2024-05-25,"Mechelen","Standard",3,2,"H",2,0,"H",1.88,3.89,3.79,"2-0","3-2",20,9,7,4,2,0,0,0,9,4,8,6,5,13,14,"9-4","Y","Y","Y",2,0,"2024-05-25-Mechelen-Standard","Wim Smet",3.25,1.36666666666667,1.35833333333333,144.916666666667,25,191.666666666667,72.5,243.333333333333,33.25,1513.16666666667,754.166666666667,0.583333333333333,0.166666666666667,0,0,0.916666666666667,0.833333333333333,0,0,5.83333333333333,1.66666666666667,7.5,9.16666666666667,8.33333333333333,17.5,100,91.25,0,69.5,0,91.25,69.5,160.75,37.5,28.1666666666667,44.75,0.0833333333333333,92.0833333333333
