"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","bundesliga_goalmins","n","bundesliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"222","D1","2023-03-18","Dortmund","FC Koln",6,1,"H",4,1,"H",1.47,4.99,6.61,"4-1","6-1",11,8,11,5,1,0,0,0,1,6,7,10,7,7,17,"1-6","Y","Y","Y",1,0,"Dortmund-FC Koln",281,7,0,10,0,70,70,0,49,0,0,1967,490
"232","D1","2023-04-01","Bayern Munich","Dortmund",4,2,"H",3,0,"H",1.51,5.26,5.62,"3-0","4-2",16,9,10,4,1,1,0,0,6,2,11,7,6,8,18,"6-2","Y","Y","Y",2,0,"Bayern Munich-Dortmund",266,6,0,20,100,120,160,0,48,0,0,2128,960
"236","D1","2023-04-08","Dortmund","Union Berlin",2,1,"H",1,0,"H",1.61,4.11,6.07,"1-0","2-1",14,6,7,2,5,2,0,0,8,0,8,11,3,8,19,"8-0","Y","Y","N",7,0,"Dortmund-Union Berlin",168,3,56,70,1000,210,560,3920,24,168,448,1344,1680
"248","D1","2023-04-15","Stuttgart","Dortmund",3,3,"D",0,2,"A",3.53,3.96,2.03,"0-2","3-3",12,5,15,6,5,3,1,0,5,7,7,14,6,12,21,"5-7","Y","Y","Y",8,1,"Stuttgart-Dortmund",401,6,62,105,2250,630,1260,6510,72,372,744,4812,7560
"258","D1","2023-04-22","Dortmund","Ein Frankfurt",4,0,"H",3,0,"H",1.62,4.67,5.03,"3-0","4-0",14,7,9,2,2,3,0,0,5,2,10,13,4,7,23,"5-2","Y","Y","Y",5,0,"Dortmund-Ein Frankfurt",150,4,79,50,600,200,350,3950,28,316,553,1050,1400
"262","D1","2023-04-28","Bochum","Dortmund",1,1,"D",1,1,"D",6.55,5.26,1.47,"1-1","1-1",10,4,21,6,1,2,0,0,4,11,13,9,2,15,22,"4-11","Y","N","N",3,0,"Bochum-Dortmund",12,2,35,30,200,60,450,1050,30,70,525,180,900
"221","D1","2023-03-18","Stuttgart","Wolfsburg",0,1,"A",0,0,"D",2.46,3.47,3,"0-0","0-1",12,2,9,3,1,0,0,0,3,8,10,8,1,11,18,"3-8","N","N","N",1,0,"Stuttgart-Wolfsburg",56,1,0,10,0,10,110,0,11,0,0,616,110
"231","D1","2023-04-01","Wolfsburg","Augsburg",2,2,"D",0,2,"A",1.63,4.31,5.36,"0-2","2-2",23,5,5,2,3,2,0,0,4,7,9,15,4,11,24,"4-7","Y","Y","Y",5,0,"Wolfsburg-Augsburg",207,4,67,50,600,200,550,3350,44,268,737,2277,2200
"241","D1","2023-04-09","Mgladbach","Wolfsburg",2,0,"H",1,0,"H",2.43,3.72,2.88,"1-0","2-0",13,6,9,2,0,1,0,0,5,8,12,11,2,13,23,"5-8","Y","N","N",1,0,"Mgladbach-Wolfsburg",97,2,29,10,0,20,130,290,26,58,377,1261,260
"252","D1","2023-04-16","Wolfsburg","Leverkusen",0,0,"D",0,0,"D",2.82,3.78,2.45,"0-0","0-0",11,3,13,4,0,5,0,0,2,6,10,17,0,8,27,"2-6","N","N","N",5,0,"Wolfsburg-Leverkusen",0,0,0,50,0,0,400,0,0,0,0,0,0
"254","D1","2023-04-22","Bochum","Wolfsburg",1,5,"A",0,3,"A",3.07,3.65,2.34,"0-3","1-5",23,6,15,7,3,3,0,0,10,3,11,8,6,13,19,"10-3","Y","Y","Y",6,0,"Bochum-Wolfsburg",265,6,155,60,900,360,780,9300,78,930,2015,3445,4680
"270","D1","2023-04-30","Wolfsburg","Mainz",3,0,"H",3,0,"H",2.35,3.48,3.17,"3-0","3-0",10,4,10,2,1,3,0,0,3,5,6,10,3,8,16,"3-5","Y","Y","N",4,0,"Wolfsburg-Mainz",0,0,0,40,300,120,320,0,24,0,0,0,960
"13","D1","2023-04-30","Wolfsburg","Mainz",3,0,"H",3,0,"H",2.35,3.48,3.17,"3-0","3-0",10,4,10,2,1,3,0,0,3,5,6,10,3,8,16,"3-5","Y","Y","N",4,0,"Wolfsburg-Mainz",158.583333333333,3.41666666666667,40.25,42.0833333333333,495.833333333333,166.666666666667,428.333333333333,2364.16666666667,36.1666666666667,181.833333333333,449.916666666667,1590,1766.66666666667
