"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","bundesliga_goalmins","n","bundesliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"185","D1","2023-02-18","Wolfsburg","RB Leipzig",0,3,"A",0,1,"A",3.34,3.68,2.22,"0-1","0-3",7,2,17,5,1,1,0,0,2,5,16,15,3,7,31,"2-5","Y","Y","N",2,0,"Wolfsburg-RB Leipzig",189,3,0,20,100,60,140,0,21,0,0,1323,420
"191","D1","2023-02-25","FC Koln","Wolfsburg",0,2,"A",0,1,"A",2.4,3.6,3.06,"0-1","0-2",11,5,6,4,1,2,0,0,10,2,9,16,2,12,25,"10-2","Y","N","N",3,0,"FC Koln-Wolfsburg",72,2,0,30,200,60,360,0,24,0,0,864,720
"207","D1","2023-03-05","Wolfsburg","Ein Frankfurt",2,2,"D",2,2,"D",2.49,3.57,2.9,"2-2","2-2",13,8,10,2,3,3,0,0,4,5,11,16,4,9,27,"4-5","Y","Y","Y",6,0,"Wolfsburg-Ein Frankfurt",101,4,0,60,900,240,540,0,36,0,0,909,2160
"216","D1","2023-03-12","Wolfsburg","Union Berlin",1,1,"D",0,0,"D",2.28,3.22,3.59,"0-0","1-1",15,6,11,2,1,4,0,0,3,5,11,14,2,8,25,"3-5","Y","N","N",5,0,"Wolfsburg-Union Berlin",156,2,0,50,400,100,400,0,16,0,0,1248,800
"221","D1","2023-03-18","Stuttgart","Wolfsburg",0,1,"A",0,0,"D",2.46,3.47,3,"0-0","0-1",12,2,9,3,1,0,0,0,3,8,10,8,1,11,18,"3-8","N","N","N",1,0,"Stuttgart-Wolfsburg",56,1,0,10,0,10,110,0,11,0,0,616,110
"231","D1","2023-04-01","Wolfsburg","Augsburg",2,2,"D",0,2,"A",1.63,4.31,5.36,"0-2","2-2",23,5,5,2,3,2,0,0,4,7,9,15,4,11,24,"4-7","Y","Y","Y",5,0,"Wolfsburg-Augsburg",207,4,67,50,600,200,550,3350,44,268,737,2277,2200
"189","D1","2023-02-19","Leverkusen","Mainz",2,3,"A",1,2,"A",1.85,4,4.27,"1-2","2-3",17,7,12,7,5,5,1,0,4,5,14,19,5,9,33,"4-5","Y","Y","Y",10,1,"Leverkusen-Mainz",243,5,0,125,3750,625,1125,0,45,0,0,2187,5625
"197","D1","2023-02-26","Freiburg","Leverkusen",1,1,"D",1,0,"H",2.24,3.66,3.3,"1-0","1-1",9,4,16,4,2,1,0,0,1,3,14,13,2,4,27,"1-3","Y","N","N",3,0,"Freiburg-Leverkusen",96,2,0,30,200,60,120,0,8,0,0,384,240
"206","D1","2023-03-05","Leverkusen","Hertha",4,1,"H",2,0,"H",1.58,4.36,5.95,"2-0","4-1",18,9,7,2,1,2,0,0,9,2,11,14,5,11,25,"9-2","Y","Y","Y",3,0,"Leverkusen-Hertha",233,5,0,30,200,150,330,0,55,0,0,2563,1650
"215","D1","2023-03-12","Werder Bremen","Leverkusen",2,3,"A",1,1,"D",3.32,3.82,2.15,"1-1","2-3",12,6,13,5,2,1,0,0,2,3,12,12,5,5,24,"2-3","Y","Y","Y",3,0,"Werder Bremen-Leverkusen",289,5,0,30,200,150,150,0,25,0,0,1445,750
"224","D1","2023-03-19","Leverkusen","Bayern Munich",2,1,"H",0,1,"A",4.73,5.04,1.61,"0-1","2-1",12,6,11,6,2,3,0,0,5,3,10,11,3,8,21,"5-3","Y","Y","N",5,0,"Leverkusen-Bayern Munich",150,3,0,50,600,150,400,0,24,0,0,1200,1200
"229","D1","2023-04-01","Schalke 04","Leverkusen",0,3,"A",0,0,"D",4.1,3.73,1.93,"0-0","0-3",12,3,18,10,2,1,0,0,7,5,20,13,3,12,33,"7-5","Y","Y","N",3,0,"Schalke 04-Leverkusen",201,3,66,30,200,90,360,1980,36,198,792,2412,1080
"13","D1","2023-04-01","Schalke 04","Leverkusen",0,3,"A",0,0,"D",4.1,3.73,1.93,"0-0","0-3",12,3,18,10,2,1,0,0,7,5,20,13,3,12,33,"7-5","Y","Y","N",3,0,"Schalke 04-Leverkusen",166.083333333333,3.25,11.0833333333333,42.9166666666667,612.5,157.916666666667,382.083333333333,444.166666666667,28.75,38.8333333333333,127.416666666667,1452.33333333333,1412.91666666667
