"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","COSC","OV15","OV25","OV35","TY","TR","matchid","bundesliga_goalmins","n","bundesliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"36","D1",2022-08-28,"Werder Bremen","Ein Frankfurt",3,4,"A",2,3,"A",2.58,3.55,2.83,"2-3","3-4",10,4,12,7,1,3,0,0,5,7,7,12,"5-7","Y","Y","Y",4,0,"Werder Bremen-Ein Frankfurt",242,7,0,40,300,280,480,0,84,0,0,2904,3360
"38","D1",2022-09-03,"Bochum","Werder Bremen",0,2,"A",0,0,"D",2.99,3.71,2.39,"0-0","0-2",19,6,16,6,2,2,0,0,7,3,2,10,"7-3","Y","N","N",4,0,"Bochum-Werder Bremen",176,2,0,40,400,80,400,0,20,0,0,1760,800
"46","D1",2022-09-09,"Werder Bremen","Augsburg",0,1,"A",0,0,"D",1.56,4.71,5.9,"0-0","0-1",11,6,14,5,4,5,0,0,3,7,1,10,"3-7","N","N","N",9,0,"Werder Bremen-Augsburg",63,1,0,90,2000,90,900,0,10,0,0,630,900
"58","D1",2022-09-17,"Leverkusen","Werder Bremen",1,1,"D",0,0,"D",1.67,4.6,4.83,"0-0","1-1",19,7,19,7,2,3,0,0,9,6,2,15,"9-6","Y","N","N",5,0,"Leverkusen-Werder Bremen",139,2,0,50,600,100,750,0,30,0,0,2085,1500
"70","D1",2022-10-01,"Werder Bremen","Mgladbach",5,1,"H",4,0,"H",2.62,3.84,2.63,"4-0","5-1",14,9,13,9,0,1,0,0,4,5,6,9,"4-5","Y","Y","Y",1,0,"Werder Bremen-Mgladbach",199,6,0,10,0,60,90,0,54,0,0,1791,540
"73","D1",2022-10-07,"Hoffenheim","Werder Bremen",1,2,"A",1,1,"D",2.05,4.02,3.48,"1-1","1-2",16,6,8,3,3,3,0,0,3,3,3,6,"3-3","Y","Y","N",6,0,"Hoffenheim-Werder Bremen",137,3,0,60,900,180,360,0,18,0,0,822,1080
"85","D1",2022-10-15,"Werder Bremen","Mainz",0,2,"A",0,1,"A",2.38,3.68,3.02,"0-1","0-2",14,4,11,5,1,2,0,0,3,3,2,6,"3-3","Y","N","N",3,0,"Werder Bremen-Mainz",102,2,0,30,200,60,180,0,12,0,0,612,360
"94","D1",2022-10-22,"Freiburg","Werder Bremen",2,0,"H",0,0,"D",1.94,3.86,4,"0-0","2-0",25,7,10,2,2,2,0,1,6,2,2,8,"6-2","Y","N","N",4,1,"Freiburg-Werder Bremen",136,2,0,65,900,130,520,0,16,0,0,1088,1040
"100","D1",2022-10-28,"Werder Bremen","Hertha",1,0,"H",0,0,"D",2.06,3.99,3.49,"0-0","1-0",15,4,9,1,2,3,0,0,4,5,1,9,"4-5","N","N","N",5,0,"Werder Bremen-Hertha",85,1,0,50,600,50,450,0,9,0,0,765,450
"115","D1",2022-11-05,"Werder Bremen","Schalke 04",2,1,"H",1,0,"H",1.66,4.42,5.11,"1-0","2-1",11,5,19,3,3,2,0,0,3,3,3,6,"3-3","Y","Y","N",5,0,"Werder Bremen-Schalke 04",195,3,0,50,600,150,300,0,18,0,0,1170,900
"119","D1",2022-11-08,"Bayern Munich","Werder Bremen",6,1,"H",4,1,"H",1.16,8.84,17.46,"4-1","6-1",21,10,4,1,0,0,0,0,8,4,7,12,"8-4","Y","Y","Y",0,0,"Bayern Munich-Werder Bremen",258,7,0,0,0,0,0,0,84,0,0,3096,0
"132","D1",2022-11-12,"Werder Bremen","RB Leipzig",1,2,"A",0,1,"A",3.7,4.12,1.96,"0-1","1-2",7,5,14,3,1,2,0,0,0,4,3,4,"0-4","Y","Y","N",3,0,"Werder Bremen-RB Leipzig",139,3,0,30,200,90,120,0,12,0,0,556,360
"142","D1",2023-01-21,"FC Koln","Werder Bremen",7,1,"H",5,1,"H",2.25,3.89,3.11,"5-1","7-1",15,7,4,2,0,0,0,0,2,2,8,4,"2-2","Y","Y","Y",0,0,"FC Koln-Werder Bremen",279,8,0,0,0,0,0,0,32,0,0,1116,0
"153","D1",2023-01-25,"Werder Bremen","Union Berlin",1,2,"A",1,1,"D",2.94,3.33,2.62,"1-1","1-2",8,3,11,5,0,0,0,0,5,7,3,12,"5-7","Y","Y","N",0,0,"Werder Bremen-Union Berlin",77,3,0,0,0,0,0,0,36,0,0,924,0
"1591","D1",2023-01-28,"Werder Bremen","Wolfsburg",2,1,"H",1,0,"H",3.41,3.75,2.16,"1-0","2-1",14,5,7,3,3,3,0,0,2,6,3,8,"2-6","Y","Y","N",6,0,"Werder Bremen-Wolfsburg",191,3,0,60,900,180,480,0,24,0,0,1528,1440
"170","D1",2023-02-05,"Stuttgart","Werder Bremen",0,2,"A",0,0,"D",2.09,3.77,3.57,"0-0","0-2",16,5,9,4,2,5,0,0,8,4,2,12,"8-4","Y","N","N",7,0,"Stuttgart-Werder Bremen",136,2,13,70,1000,140,840,910,24,26,156,1632,1680
"39","D1",2023-02-05,"Stuttgart","Werder Bremen",0,2,"A",0,0,"D",2.09,3.77,3.57,"0-0","0-2",16,5,9,4,2,5,0,0,8,4,2,12,"8-4","Y","N","N",7,0,"Stuttgart-Werder Bremen",165.157894736842,3.47368421052632,31.7631578947368,43.6842105263158,552.631578947368,137.368421052632,448.552631578947,1412.5,31.7368421052632,135.605263157895,313.526315789474,1502.55263157895,1345.78947368421
