"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","COSC","OV15","OV25","OV35","TY","TR","matchid","bundesliga_goalmins","n","bundesliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"8","D1",2022-08-07,"Stuttgart","RB Leipzig",1,1,"D",1,1,"D",4.44,4.12,1.8,"1-1","1-1",11,2,27,9,2,1,0,0,1,9,2,10,"1-9","Y","N","N",3,0,"Stuttgart-RB Leipzig",39,2,50,30,200,60,300,1500,20,100,500,390,600
"14","D1",2022-08-13,"RB Leipzig","FC Koln",2,2,"D",1,1,"D",1.44,4.91,7.76,"1-1","2-2",9,5,12,3,1,4,1,0,2,7,4,9,"2-7","Y","Y","Y",5,1,"RB Leipzig-FC Koln",204,4,94,75,1400,300,675,7050,36,376,846,1836,2700
"25","D1",2022-08-20,"Union Berlin","RB Leipzig",2,1,"H",2,0,"H",3.7,3.63,2.1,"2-0","2-1",9,4,16,2,2,1,0,0,1,13,3,14,"1-13","Y","Y","N",3,0,"Union Berlin-RB Leipzig",153,3,76,30,200,90,420,2280,42,228,1064,2142,1260
"32","D1",2022-08-27,"RB Leipzig","Wolfsburg",2,0,"H",1,0,"H",1.5,4.73,6.89,"1-0","2-0",16,7,9,4,3,3,0,0,8,4,2,12,"8-4","Y","N","N",6,0,"RB Leipzig-Wolfsburg",95,2,36,60,900,120,720,2160,24,72,432,1140,1440
"43","D1",2022-09-03,"Ein Frankfurt","RB Leipzig",4,0,"H",2,0,"H",3.68,3.78,2.06,"2-0","4-0",14,9,5,0,1,1,0,0,4,3,4,7,"4-3","Y","Y","Y",2,0,"Ein Frankfurt-RB Leipzig",189,4,86,20,100,80,140,1720,28,344,602,1323,560
"51","D1",2022-09-10,"RB Leipzig","Dortmund",3,0,"H",2,0,"H",2.39,3.94,2.86,"2-0","3-0",14,5,4,0,2,1,0,0,5,8,3,13,"5-8","Y","Y","N",3,0,"RB Leipzig-Dortmund",135,3,29,30,200,90,390,870,39,87,377,1755,1170
"60","D1",2022-09-17,"Mgladbach","RB Leipzig",3,0,"H",2,0,"H",3.16,3.67,2.31,"2-0","3-0",21,10,13,6,2,2,0,0,8,3,3,11,"8-3","Y","Y","N",4,0,"Mgladbach-RB Leipzig",98,3,71,40,400,120,440,2840,33,213,781,1078,1320
"68","D1",2022-10-01,"RB Leipzig","Bochum",4,0,"H",2,0,"H",1.25,7.21,11.05,"2-0","4-0",17,9,2,1,0,2,0,0,7,2,4,9,"7-2","Y","Y","Y",2,0,"RB Leipzig-Bochum",176,4,58,20,0,80,180,1160,36,232,522,1584,720
"77","D1",2022-10-08,"Mainz","RB Leipzig",1,1,"D",1,0,"H",3.07,3.66,2.36,"1-0","1-1",9,3,12,3,1,1,0,0,4,2,2,6,"4-2","Y","N","N",2,0,"Mainz-RB Leipzig",125,2,29,20,100,40,120,580,12,58,174,750,240
"87","D1",2022-10-15,"RB Leipzig","Hertha",3,2,"H",3,0,"H",1.43,5.03,7.84,"3-0","3-2",14,5,16,5,2,3,0,0,8,4,5,12,"8-4","Y","Y","Y",5,0,"RB Leipzig-Hertha",226,5,84,50,600,250,600,4200,60,420,1008,2712,3000
"92","D1",2022-10-22,"Augsburg","RB Leipzig",3,3,"D",1,0,"H",5.75,4.4,1.6,"1-0","3-3",11,3,19,8,7,1,1,0,3,6,6,9,"3-6","Y","Y","Y",8,1,"Augsburg-RB Leipzig",400,6,111,105,950,630,945,11655,54,666,999,3600,5670
"102","D1",2022-10-29,"RB Leipzig","Leverkusen",2,0,"H",1,0,"H",1.83,4.12,4.27,"1-0","2-0",10,6,4,1,3,3,0,0,3,3,2,6,"3-3","Y","N","N",6,0,"RB Leipzig-Leverkusen",115,2,29,60,900,120,360,1740,12,58,174,690,720
"113","D1",2022-11-05,"Hoffenheim","RB Leipzig",1,3,"A",0,1,"A",3.06,3.75,2.33,"0-1","1-3",11,3,17,8,4,2,0,0,6,3,4,9,"6-3","Y","Y","Y",6,0,"Hoffenheim-RB Leipzig",193,4,76,60,800,240,540,4560,36,304,684,1737,2160
"124","D1",2022-11-09,"RB Leipzig","Freiburg",3,1,"H",0,0,"D",1.8,4.2,4.36,"0-0","3-1",18,8,4,2,1,4,0,0,6,2,4,8,"6-2","Y","Y","Y",5,0,"RB Leipzig-Freiburg",254,4,47,50,400,200,400,2350,32,188,376,2032,1600
"132","D1",2022-11-12,"Werder Bremen","RB Leipzig",1,2,"A",0,1,"A",3.7,4.12,1.96,"0-1","1-2",7,5,14,3,1,2,0,0,0,4,3,4,"0-4","Y","Y","N",3,0,"Werder Bremen-RB Leipzig",139,3,0,30,200,90,120,0,12,0,0,556,360
"136","D1",2023-01-20,"RB Leipzig","Bayern Munich",1,1,"D",0,1,"A",3.93,4.24,1.88,"0-1","1-1",10,3,7,2,2,3,0,0,3,2,2,5,"3-2","Y","N","N",5,0,"RB Leipzig-Bayern Munich",89,2,36,50,600,100,250,1800,10,72,180,445,500
"145","D1",2023-01-24,"Schalke 04","RB Leipzig",1,6,"A",0,4,"A",5.91,4.41,1.59,"0-4","1-6",9,1,21,14,1,1,0,0,1,6,7,7,"1-6","Y","Y","Y",2,0,"Schalke 04-RB Leipzig",339,7,142,20,100,140,140,2840,49,994,994,2373,980
"154","D1",2023-01-27,"RB Leipzig","Stuttgart",2,1,"H",1,0,"H",1.38,5.27,9.19,"1-0","2-1",9,4,10,3,0,0,0,0,3,6,3,9,"3-6","Y","Y","N",0,0,"RB Leipzig-Stuttgart",142,3,56,0,0,0,0,0,27,168,504,1278,0
"167","D1",2023-02-04,"FC Koln","RB Leipzig",0,0,"D",0,0,"D",4.11,3.79,1.93,"0-0","0-0",9,0,7,2,3,4,0,0,5,1,0,6,"5-1","N","N","N",7,0,"FC Koln-RB Leipzig",0,0,0,70,1200,0,420,0,0,0,0,0,0
"5","D1",2022-08-06,"Union Berlin","Hertha",3,1,"H",1,0,"H",1.79,3.78,4.97,"1-0","3-1",18,8,9,3,2,3,0,0,5,4,4,9,"5-4","Y","Y","Y",5,0,"Union Berlin-Hertha",220,4,72,50,600,200,450,3600,36,288,648,1980,1800
"17","D1",2022-08-14,"Mainz","Union Berlin",0,0,"D",0,0,"D",2.3,3.23,3.6,"0-0","0-0",10,5,10,2,1,0,0,0,4,4,0,8,"4-4","N","N","N",1,0,"Mainz-Union Berlin",0,0,0,10,0,0,80,0,0,0,0,0,0
"251","D1",2022-08-20,"Union Berlin","RB Leipzig",2,1,"H",2,0,"H",3.7,3.63,2.1,"2-0","2-1",9,4,16,2,2,1,0,0,1,13,3,14,"1-13","Y","Y","N",3,0,"Union Berlin-RB Leipzig",153,3,76,30,200,90,420,2280,42,228,1064,2142,1260
"33","D1",2022-08-27,"Schalke 04","Union Berlin",1,6,"A",1,3,"A",3.16,3.48,2.39,"1-3","1-6",12,4,12,7,1,0,0,0,8,2,7,10,"8-2","Y","Y","Y",1,0,"Schalke 04-Union Berlin",341,7,108,10,0,70,100,1080,70,756,1080,3410,700
"41","D1",2022-09-03,"Union Berlin","Bayern Munich",1,1,"D",1,1,"D",7.55,5.74,1.39,"1-1","1-1",10,3,21,6,1,2,0,0,5,7,2,12,"5-7","Y","N","N",3,0,"Union Berlin-Bayern Munich",27,2,33,30,200,60,360,990,24,66,396,324,720
"53","D1",2022-09-11,"FC Koln","Union Berlin",0,1,"A",0,1,"A",2.54,3.53,2.89,"0-1","0-1",7,2,12,3,4,1,1,0,7,8,1,15,"7-8","N","N","N",5,1,"FC Koln-Union Berlin",3,1,4,75,650,75,1125,300,15,4,60,45,1125
"61","D1",2022-09-18,"Union Berlin","Wolfsburg",2,0,"H",0,0,"D",2.07,3.43,4.02,"0-0","2-0",16,4,5,0,0,0,0,0,4,1,2,5,"4-1","Y","N","N",0,0,"Union Berlin-Wolfsburg",131,2,72,0,0,0,0,0,10,144,360,655,0
"65","D1",2022-10-01,"Ein Frankfurt","Union Berlin",2,0,"H",2,0,"H",2.31,3.52,3.27,"2-0","2-0",14,4,14,5,3,4,1,0,4,7,2,11,"4-7","Y","N","N",7,1,"Ein Frankfurt-Union Berlin",54,2,56,95,2200,190,1045,5320,22,112,616,594,2090
