"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","OV15","OV25","OV35","TY","TR","matchid","bundesliga_goalmins","n","bundesliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"3","D1",2022-08-06,"Bochum","Mainz",1,2,"A",1,1,"D",3.34,3.43,2.32,"1-1","1-2",16,3,13,6,2,3,0,0,3,5,3,8,"Y","Y","N",5,0,"Bochum-Mainz",142,3,25,50,600,150,400,1250,24,75,200,1136,1200
"12","D1",2022-08-13,"Hoffenheim","Bochum",3,2,"H",2,2,"D",1.61,4.5,5.48,"2-2","3-2",24,13,11,5,1,1,0,0,8,2,5,10,"Y","Y","Y",2,0,"Hoffenheim-Bochum",148,5,47,20,100,100,200,940,50,235,470,1480,1000
"27","D1",2022-08-21,"Bochum","Bayern Munich",0,7,"A",0,4,"A",13.39,8.03,1.2,"0-4","0-7",13,7,22,12,1,0,0,0,5,5,7,10,"Y","Y","Y",1,0,"Bochum-Bayern Munich",0,0,0,10,0,70,100,0,70,0,0,0,700
"28","D1",2022-08-26,"Freiburg","Bochum",1,0,"H",0,0,"D",1.53,4.81,6.12,"0-0","1-0",28,12,15,5,2,2,0,0,2,5,1,7,"N","N","N",4,0,"Freiburg-Bochum",0,0,0,40,400,40,280,0,7,0,0,0,280
"38","D1",2022-09-03,"Bochum","Werder Bremen",0,2,"A",0,0,"D",2.99,3.71,2.39,"0-0","0-2",19,6,16,6,2,2,0,0,7,3,2,10,"Y","N","N",4,0,"Bochum-Werder Bremen",0,0,0,40,400,80,400,0,20,0,0,0,800
"52","D1",2022-09-10,"Schalke 04","Bochum",3,1,"H",1,0,"H",2.07,3.69,3.73,"1-0","3-1",20,8,9,2,2,3,0,0,3,8,4,11,"Y","Y","Y",5,0,"Schalke 04-Bochum",0,0,0,50,600,200,550,0,44,0,0,0,2200
"62","D1",2022-09-18,"Bochum","FC Koln",1,1,"D",1,0,"H",3.09,3.75,2.31,"1-0","1-1",7,0,18,3,0,1,0,0,4,8,2,12,"Y","N","N",1,0,"Bochum-FC Koln",0,0,0,10,0,20,120,0,24,0,0,0,240
"68","D1",2022-10-01,"RB Leipzig","Bochum",4,0,"H",2,0,"H",1.25,7.21,11.05,"2-0","4-0",17,9,2,1,0,2,0,0,7,2,4,9,"Y","Y","Y",2,0,"RB Leipzig-Bochum",0,0,0,20,0,80,180,0,36,0,0,0,720
"75","D1",2022-10-08,"Bochum","Ein Frankfurt",3,0,"H",0,0,"D",4.01,4.01,1.91,"0-0","3-0",11,6,11,2,2,1,0,0,9,4,3,13,"Y","Y","N",3,0,"Bochum-Ein Frankfurt",0,0,0,30,200,90,390,0,39,0,0,0,1170
"84","D1",2022-10-15,"Stuttgart","Bochum",4,1,"H",2,1,"H",1.68,4.03,5.5,"2-1","4-1",16,7,14,4,0,3,0,0,3,3,5,6,"Y","Y","Y",3,0,"Stuttgart-Bochum",0,0,0,30,0,150,180,0,30,0,0,0,900
