"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","bundesliga_goalmins","n","bundesliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"179","D1","2023-02-12","Hertha","Mgladbach",4,1,"H",1,1,"D",2.9,3.68,2.47,"1-1","4-1",17,7,7,3,1,1,0,0,4,6,12,11,5,10,23,"4-6","Y","Y","Y",2,0,"Hertha-Mgladbach",279,5,0,20,100,100,200,0,50,0,0,2790,1000
"188","D1","2023-02-19","Dortmund","Hertha",4,1,"H",2,0,"H",1.36,5.89,8.41,"2-0","4-1",12,5,15,8,1,2,0,0,3,4,8,15,5,7,23,"3-4","Y","Y","Y",3,0,"Dortmund-Hertha",270,5,0,30,200,150,210,0,35,0,0,1890,1050
"192","D1","2023-02-25","Hertha","Augsburg",2,0,"H",0,0,"D",2.16,3.73,3.43,"0-0","2-0",11,3,9,2,1,3,0,0,1,6,16,19,2,7,35,"1-6","Y","N","N",4,0,"Hertha-Augsburg",131,2,37,40,300,80,280,1480,14,74,259,917,560
"206","D1","2023-03-05","Leverkusen","Hertha",4,1,"H",2,0,"H",1.58,4.36,5.95,"2-0","4-1",18,9,7,2,1,2,0,0,9,2,11,14,5,11,25,"9-2","Y","Y","Y",3,0,"Leverkusen-Hertha",233,5,0,30,200,150,330,0,55,0,0,2563,1650
"211","D1","2023-03-11","Hertha","Mainz",1,1,"D",1,0,"H",2.97,3.5,2.47,"1-0","1-1",9,4,6,3,2,1,0,0,7,8,10,15,2,15,25,"7-8","Y","N","N",3,0,"Hertha-Mainz",75,2,41,30,200,60,450,1230,30,82,615,1125,900
"220","D1","2023-03-18","Hoffenheim","Hertha",3,1,"H",2,0,"H",2.13,3.62,3.54,"2-0","3-1",15,7,11,5,0,3,1,0,8,9,10,11,4,17,21,"8-9","Y","Y","Y",3,1,"Hoffenheim-Hertha",202,4,82,55,750,220,935,4510,68,328,1394,3434,3740
"227","D1","2023-04-01","Freiburg","Hertha",1,1,"D",0,0,"D",1.69,3.98,5.33,"0-0","1-1",16,8,10,3,1,1,0,0,2,2,7,11,2,4,18,"2-2","Y","N","N",2,0,"Freiburg-Hertha",129,2,56,20,100,40,80,1120,8,112,224,516,160
"8","D1","2022-08-07","Stuttgart","RB Leipzig",1,1,"D",1,1,"D",4.44,4.12,1.8,"1-1","1-1",11,2,27,9,2,1,0,0,1,9,14,9,2,10,23,"1-9","Y","N","N",3,0,"Stuttgart-RB Leipzig",39,2,0,30,200,60,300,0,20,0,0,390,600
"14","D1","2022-08-13","RB Leipzig","FC Koln",2,2,"D",1,1,"D",1.44,4.91,7.76,"1-1","2-2",9,5,12,3,1,4,1,0,2,7,8,18,4,9,26,"2-7","Y","Y","Y",5,1,"RB Leipzig-FC Koln",204,4,0,75,1400,300,675,0,36,0,0,1836,2700
"25","D1","2022-08-20","Union Berlin","RB Leipzig",2,1,"H",2,0,"H",3.7,3.63,2.1,"2-0","2-1",9,4,16,2,2,1,0,0,1,13,14,8,3,14,22,"1-13","Y","Y","N",3,0,"Union Berlin-RB Leipzig",153,3,0,30,200,90,420,0,42,0,0,2142,1260
"32","D1","2022-08-27","RB Leipzig","Wolfsburg",2,0,"H",1,0,"H",1.5,4.73,6.89,"1-0","2-0",16,7,9,4,3,3,0,0,8,4,20,15,2,12,35,"8-4","Y","N","N",6,0,"RB Leipzig-Wolfsburg",95,2,0,60,900,120,720,0,24,0,0,1140,1440
"43","D1","2022-09-03","Ein Frankfurt","RB Leipzig",4,0,"H",2,0,"H",3.68,3.78,2.06,"2-0","4-0",14,9,5,0,1,1,0,0,4,3,14,10,4,7,24,"4-3","Y","Y","Y",2,0,"Ein Frankfurt-RB Leipzig",189,4,0,20,100,80,140,0,28,0,0,1323,560
"51","D1","2022-09-10","RB Leipzig","Dortmund",3,0,"H",2,0,"H",2.39,3.94,2.86,"2-0","3-0",14,5,4,0,2,1,0,0,5,8,12,6,3,13,18,"5-8","Y","Y","N",3,0,"RB Leipzig-Dortmund",135,3,0,30,200,90,390,0,39,0,0,1755,1170
"60","D1","2022-09-17","Mgladbach","RB Leipzig",3,0,"H",2,0,"H",3.16,3.67,2.31,"2-0","3-0",21,10,13,6,2,2,0,0,8,3,14,14,3,11,28,"8-3","Y","Y","N",4,0,"Mgladbach-RB Leipzig",98,3,0,40,400,120,440,0,33,0,0,1078,1320
"68","D1","2022-10-01","RB Leipzig","Bochum",4,0,"H",2,0,"H",1.25,7.21,11.05,"2-0","4-0",17,9,2,1,0,2,0,0,7,2,8,8,4,9,16,"7-2","Y","Y","Y",2,0,"RB Leipzig-Bochum",176,4,0,20,0,80,180,0,36,0,0,1584,720
"77","D1","2022-10-08","Mainz","RB Leipzig",1,1,"D",1,0,"H",3.07,3.66,2.36,"1-0","1-1",9,3,12,3,1,1,0,0,4,2,12,12,2,6,24,"4-2","Y","N","N",2,0,"Mainz-RB Leipzig",125,2,0,20,100,40,120,0,12,0,0,750,240
