"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","OV15","OV25","OV35","TY","TR","matchid","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"9","I1",2022-08-15,"Verona","Napoli",2,5,"A",1,2,"A",3.65,3.66,2.1,"1-2","2-5",6,3,25,8,2,2,0,0,4,8,7,12,"Y","Y","Y",4,0,"Verona-Napoli",358,7,0,40,400,280,480,0,84,0,0,4296,3360
"18","I1",2022-08-21,"Bologna","Verona",1,1,"D",1,1,"D",2.25,3.48,3.44,"1-1","1-1",17,5,19,3,3,3,1,0,9,8,2,17,"Y","N","N",6,1,"Bologna-Verona",64,2,18,85,1650,170,1445,1530,34,36,306,1088,2890
"28","I1",2022-08-28,"Verona","Atalanta",0,1,"A",0,0,"D",4.49,4.08,1.8,"0-0","0-1",14,2,15,7,3,3,0,0,7,6,1,13,"N","N","N",6,0,"Verona-Atalanta",50,1,7,60,900,60,780,420,13,7,91,650,780
"34","I1",2022-08-31,"Empoli","Verona",1,1,"D",1,0,"H",2.79,3.39,2.71,"1-0","1-1",16,4,9,3,0,4,0,0,7,10,2,17,"Y","N","N",4,0,"Empoli-Verona",95,2,65,40,0,80,680,2600,34,130,1105,1615,1360
"46","I1",2022-09-04,"Verona","Sampdoria",2,1,"H",2,1,"H",2.1,3.55,3.79,"2-1","2-1",17,9,11,3,2,2,0,0,7,2,3,9,"Y","Y","N",4,0,"Verona-Sampdoria",129,3,14,40,400,120,360,560,27,42,126,1161,1080
"58","I1",2022-09-11,"Lazio","Verona",2,0,"H",0,0,"D",1.61,4.35,5.74,"0-0","2-0",15,6,7,1,2,5,0,0,3,5,2,8,"Y","N","N",7,0,"Lazio-Verona",158,2,27,70,1000,140,560,1890,16,54,216,1264,1120
"67","I1",2022-09-18,"Fiorentina","Verona",2,0,"H",1,0,"H",1.84,3.86,4.53,"1-0","2-0",15,9,8,1,4,4,0,0,7,3,2,10,"Y","N","N",8,0,"Fiorentina-Verona",103,2,33,80,1600,160,800,2640,20,66,330,1030,1600
"80","I1",2022-10-03,"Verona","Udinese",1,2,"A",1,0,"H",3.26,3.59,2.29,"1-0","1-2",7,2,21,8,3,3,0,0,4,9,3,13,"Y","Y","N",6,0,"Verona-Udinese",183,3,41,60,900,180,780,2460,39,123,533,2379,2340
"86","I1",2022-10-09,"Salernitana","Verona",2,1,"H",1,0,"H",2.5,3.47,2.99,"1-0","2-1",14,4,12,2,3,3,1,1,1,6,3,7,"Y","Y","N",6,2,"Salernitana-Verona",164,3,157,110,3025,330,770,17270,21,471,1099,1148,2310
"98","I1",2022-10-16,"Verona","Milan",1,2,"A",1,1,"D",6.38,4.26,1.58,"1-1","1-2",19,5,16,6,3,2,0,0,9,3,3,12,"Y","Y","N",5,0,"Verona-Milan",109,3,33,50,600,150,600,1650,36,99,396,1308,1800
"110","I1",2022-10-24,"Sassuolo","Verona",2,1,"H",1,1,"D",1.99,3.75,3.92,"1-1","2-1",14,3,13,5,1,3,0,0,4,5,3,9,"Y","Y","N",4,0,"Sassuolo-Verona",108,3,78,40,300,120,360,3120,27,234,702,972,1080
"119","I1",2022-10-31,"Verona","Roma",1,3,"A",1,1,"D",4.52,3.61,1.9,"1-1","1-3",7,3,14,6,3,1,1,0,2,4,4,6,"Y","Y","Y",4,1,"Verona-Roma",249,4,203,65,550,260,390,13195,24,812,1218,1494,1560
"127","I1",2022-11-06,"Monza","Verona",2,0,"H",0,0,"D",2.25,3.44,3.47,"0-0","2-0",14,3,7,2,3,1,0,1,5,2,2,7,"Y","N","N",4,1,"Monza-Verona",158,2,58,65,1050,130,455,3770,14,116,406,1106,910
"139","I1",2022-11-10,"Verona","Juventus",0,1,"A",0,0,"D",5.63,3.82,1.71,"0-0","0-1",15,2,11,3,3,2,0,1,5,4,1,9,"N","N","N",5,1,"Verona-Juventus",60,1,18,75,1350,75,675,1350,9,18,162,540,675
"148","I1",2022-11-13,"Verona","Spezia",1,2,"A",1,0,"H",2.14,3.54,3.66,"1-0","1-2",18,5,16,9,2,4,0,0,2,10,3,12,"Y","Y","N",6,0,"Verona-Spezia",152,3,43,60,800,180,720,2580,36,129,516,1824,2160
"154","I1",2023-01-04,"Torino","Verona",1,1,"D",0,1,"A",1.85,3.69,4.68,"0-1","1-1",9,3,10,2,1,1,0,0,6,3,2,9,"Y","N","N",2,0,"Torino-Verona",109,2,78,20,100,40,180,1560,18,156,702,981,360
"169","I1",2023-01-09,"Verona","Cremonese",2,0,"H",2,0,"H",2.09,3.39,4,"2-0","2-0",9,4,15,5,3,4,0,0,3,5,2,8,"Y","N","N",7,0,"Verona-Cremonese",35,2,16,70,1200,140,560,1120,16,32,128,280,1120
"174","I1",2023-01-14,"Inter","Verona",1,0,"H",1,0,"H",1.31,6.24,9.9,"1-0","1-0",11,3,6,1,0,3,0,0,3,4,1,7,"N","N","N",3,0,"Inter-Verona",3,1,10,30,0,30,210,300,7,10,70,21,210
"181","I1",2023-01-21,"Verona","Lecce",2,0,"H",1,0,"H",2.46,3.07,3.44,"1-0","2-0",11,4,9,3,3,0,0,0,5,4,2,9,"Y","N","N",3,0,"Verona-Lecce",94,2,37,30,0,60,270,1110,18,74,333,846,540
"200","I1",2023-01-30,"Udinese","Verona",1,1,"D",1,1,"D",1.89,3.67,4.49,"1-1","1-1",26,8,10,2,1,3,0,0,14,6,2,20,"Y","N","N",4,0,"Udinese-Verona",25,2,74,40,300,80,800,2960,40,148,1480,500,1600
