"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"4","I1","2022-08-13","Monza","Torino",1,2,"A",0,1,"A",2.64,3.36,2.9,"0-1","1-2",15,4,13,6,1,2,0,0,2,7,6,17,3,9,23,"2-7","Y","Y","N",3,0,"Monza-Torino",199,3,0,30,200,90,270,0,27,0,0,1791,810
"11","I1","2022-08-20","Torino","Lazio",0,0,"D",0,0,"D",3.08,3.5,2.43,"0-0","0-0",10,1,7,2,0,5,0,0,6,4,11,12,0,10,23,"6-4","N","N","N",5,0,"Torino-Lazio",0,0,0,50,0,0,500,0,0,0,0,0,0
"23","I1","2022-08-27","Cremonese","Torino",1,2,"A",0,1,"A",3.34,3.46,2.31,"0-1","1-2",16,6,14,5,0,3,0,0,3,3,9,21,3,6,30,"3-3","Y","Y","N",3,0,"Cremonese-Torino",162,3,82,30,0,90,180,2460,18,246,492,972,540
"39","I1","2022-09-01","Atalanta","Torino",3,1,"H",1,0,"H",1.73,3.86,5.36,"1-0","3-1",12,5,8,2,1,3,0,0,7,2,14,13,4,9,27,"7-2","Y","Y","Y",4,0,"Atalanta-Torino",253,4,37,40,300,160,360,1480,36,148,333,2277,1440
"50","I1","2022-09-05","Torino","Lecce",1,0,"H",1,0,"H",1.77,3.61,5.51,"1-0","1-0",13,4,10,2,2,1,0,0,4,4,16,8,1,8,24,"4-4","N","N","N",3,0,"Torino-Lecce",40,1,16,30,200,30,240,480,8,16,128,320,240
"52","I1","2022-09-10","Inter","Torino",1,0,"H",0,0,"D",1.47,4.9,7.14,"0-0","1-0",16,3,9,7,1,2,0,0,6,5,8,17,1,11,25,"6-5","N","N","N",3,0,"Inter-Torino",89,1,0,30,200,30,330,0,11,0,0,979,330
"64","I1","2022-09-17","Torino","Sassuolo",0,1,"A",0,0,"D",1.85,3.81,4.49,"0-0","0-1",12,3,10,5,4,1,0,0,4,3,13,7,1,7,20,"4-3","N","N","N",5,0,"Torino-Sassuolo",90,1,11,50,400,50,350,550,7,11,77,630,350
"71","I1","2022-10-01","Napoli","Torino",3,1,"H",3,1,"H",1.62,4.24,5.85,"3-1","3-1",15,7,16,3,0,2,0,0,4,4,4,17,4,8,21,"4-4","Y","Y","Y",2,0,"Napoli-Torino",99,4,0,20,0,80,160,0,32,0,0,792,640
"84","I1","2022-10-09","Torino","Empoli",1,1,"D",0,0,"D",1.78,3.68,5.23,"0-0","1-1",20,7,6,2,2,4,0,0,6,1,15,9,2,7,24,"6-1","Y","N","N",6,0,"Torino-Empoli",139,2,33,60,800,120,420,1980,14,66,231,973,840
"92","I1","2022-10-15","Torino","Juventus",0,1,"A",0,0,"D",3.13,3.19,2.57,"0-0","0-1",15,2,14,8,2,0,0,0,3,6,11,8,1,9,19,"3-6","N","N","N",2,0,"Torino-Juventus",74,1,0,20,0,20,180,0,9,0,0,666,180
"105","I1","2022-10-23","Udinese","Torino",1,2,"A",1,1,"D",2.05,3.4,4.15,"1-1","1-2",16,4,15,4,3,4,0,0,7,4,12,15,3,11,27,"7-4","Y","Y","N",7,0,"Udinese-Torino",109,3,0,70,1200,210,770,0,33,0,0,1199,2310
"118","I1","2022-10-30","Torino","Milan",2,1,"H",2,0,"H",3.74,3.41,2.16,"2-0","2-1",7,4,12,1,5,2,0,0,6,1,11,16,3,7,27,"6-1","Y","Y","N",7,0,"Torino-Milan",139,3,0,70,1000,210,490,0,21,0,0,973,1470
"126","I1","2022-11-06","Bologna","Torino",2,1,"H",0,1,"A",3.18,3.14,2.57,"0-1","2-1",9,5,7,2,3,3,0,0,3,1,14,17,3,4,31,"3-1","Y","Y","N",6,0,"Bologna-Torino",163,3,20,60,900,180,240,1200,12,60,80,652,720
