"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","OV15","OV25","OV35","TY","TR","matchid","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"8","I1",2022-08-14,"Spezia","Empoli",1,0,"H",1,0,"H",2.61,3.26,3.01,"1-0","1-0",9,2,18,5,2,1,0,0,6,4,1,10,"N","N","N",3,0,"Spezia-Empoli",36,1,18,30,200,30,300,540,10,18,180,360,300
"13","I1",2022-08-20,"Inter","Spezia",3,0,"H",1,0,"H",1.18,8.03,17.56,"1-0","3-0",19,8,2,0,0,0,0,0,10,4,3,14,"Y","Y","N",0,0,"Inter-Spezia",169,3,41,0,0,0,0,0,42,123,574,2366,0
"26","I1",2022-08-27,"Spezia","Sassuolo",2,2,"D",2,1,"H",3.13,3.73,2.3,"2-1","2-2",7,2,21,8,2,1,1,0,2,6,4,8,"Y","Y","Y",3,1,"Spezia-Sassuolo",152,4,63,55,450,220,440,3465,32,252,504,1216,1760
"37","I1",2022-08-31,"Juventus","Spezia",2,0,"H",1,0,"H",1.29,5.91,11.23,"1-0","2-0",15,3,9,0,0,2,0,0,7,3,2,10,"Y","N","N",2,0,"Juventus-Spezia",99,2,23,20,0,40,200,460,20,46,230,990,400
"45","I1",2022-09-04,"Spezia","Bologna",2,2,"D",1,1,"D",3.18,3.24,2.5,"1-1","2-2",15,5,13,6,4,1,0,0,7,2,4,9,"Y","Y","Y",5,0,"Spezia-Bologna",169,4,68,50,400,200,450,3400,36,272,612,1521,1800
"51","I1",2022-09-10,"Napoli","Spezia",1,0,"H",0,0,"D",1.26,6.62,11.46,"0-0","1-0",28,6,10,1,1,2,0,0,10,5,1,15,"N","N","N",3,0,"Napoli-Spezia",89,1,0,30,200,30,450,0,15,0,0,1335,450
"63","I1",2022-09-17,"Spezia","Sampdoria",2,1,"H",1,1,"D",2.78,3.24,2.82,"1-1","2-1",6,3,11,8,4,5,0,0,3,6,3,9,"Y","Y","N",9,0,"Spezia-Sampdoria",95,3,50,90,2000,270,810,4500,27,150,450,855,2430
"74","I1",2022-10-02,"Lazio","Spezia",4,0,"H",2,0,"H",1.42,5.15,7.98,"2-0","4-0",13,6,14,2,0,2,0,0,3,6,4,9,"Y","Y","Y",2,0,"Lazio-Spezia",187,4,75,20,0,80,180,1500,36,300,675,1683,720
"85","I1",2022-10-09,"Monza","Spezia",2,0,"H",1,0,"H",1.94,3.64,4.27,"1-0","2-0",7,4,9,1,3,2,0,0,3,6,2,9,"Y","N","N",5,0,"Monza-Spezia",95,2,33,50,600,100,450,1650,18,66,297,855,900
"96","I1",2022-10-16,"Spezia","Cremonese",2,2,"D",2,1,"H",2.55,3.14,3.21,"2-1","2-2",15,6,24,4,2,0,0,0,6,8,4,14,"Y","Y","Y",2,0,"Spezia-Cremonese",95,4,116,20,0,80,280,2320,56,464,1624,1330,1120
"102","I1",2022-10-22,"Salernitana","Spezia",1,0,"H",0,0,"D",2.04,3.59,3.94,"0-0","1-0",17,4,14,2,2,4,0,0,4,7,1,11,"N","N","N",6,0,"Salernitana-Spezia",48,1,30,60,800,60,660,1800,11,30,330,528,660
"116","I1",2022-10-30,"Spezia","Fiorentina",1,2,"A",1,1,"D",4.39,3.64,1.92,"1-1","1-2",10,6,27,5,5,3,1,0,5,5,3,10,"Y","Y","N",8,1,"Spezia-Fiorentina",139,3,31,105,2250,315,1050,3255,30,93,310,1390,3150
"125","I1",2022-11-05,"Milan","Spezia",2,1,"H",1,0,"H",1.22,6.78,15.73,"1-0","2-1",23,11,13,5,6,4,1,0,3,6,3,9,"Y","Y","N",10,1,"Milan-Spezia",169,3,58,125,3400,375,1125,7250,27,174,522,1521,3375
"132","I1",2022-11-08,"Spezia","Udinese",1,1,"D",1,1,"D",4.13,3.6,1.99,"1-1","1-1",21,6,10,2,3,3,0,0,9,0,2,9,"Y","N","N",6,0,"Spezia-Udinese",76,2,17,60,900,120,540,1020,18,34,153,684,1080
"148","I1",2022-11-13,"Verona","Spezia",1,2,"A",1,0,"H",2.14,3.54,3.66,"1-0","1-2",18,5,16,9,2,4,0,0,2,10,3,12,"Y","Y","N",6,0,"Verona-Spezia",152,3,43,60,800,180,720,2580,36,129,516,1824,2160
"153","I1",2023-01-04,"Spezia","Atalanta",2,2,"D",2,0,"H",4.84,4.15,1.74,"2-0","2-2",7,3,19,3,3,3,0,0,3,8,4,11,"Y","Y","Y",6,0,"Spezia-Atalanta",206,4,134,60,900,240,660,8040,44,536,1474,2266,2640
"166","I1",2023-01-08,"Spezia","Lecce",0,0,"D",0,0,"D",2.7,3.09,3.05,"0-0","0-0",10,2,15,4,0,1,0,0,5,7,0,12,"N","N","N",1,0,"Spezia-Lecce",0,0,0,10,0,0,120,0,0,0,0,0,0
"176","I1",2023-01-15,"Torino","Spezia",0,1,"A",0,1,"A",1.65,3.97,5.96,"0-1","0-1",11,4,13,5,3,3,0,0,7,2,1,9,"N","N","N",6,0,"Torino-Spezia",28,1,18,60,900,60,540,1080,9,18,162,252,540
"186","I1",2023-01-22,"Spezia","Roma",0,2,"A",0,1,"A",4.73,3.67,1.85,"0-1","0-2",8,0,13,3,3,1,0,0,4,0,2,4,"Y","N","N",4,0,"Spezia-Roma",94,2,101,40,300,80,160,4040,8,202,404,376,320
"191","I1",2023-01-27,"Bologna","Spezia",2,0,"H",1,0,"H",1.9,3.47,4.8,"1-0","2-0",18,6,6,4,2,2,0,0,5,5,2,10,"Y","N","N",4,0,"Bologna-Spezia",114,2,10,40,400,80,400,400,20,20,100,1140,800
"9","I1",2022-08-15,"Verona","Napoli",2,5,"A",1,2,"A",3.65,3.66,2.1,"1-2","2-5",6,3,25,8,2,2,0,0,4,8,7,12,"Y","Y","Y",4,0,"Verona-Napoli",358,7,0,40,400,280,480,0,84,0,0,4296,3360
"16","I1",2022-08-21,"Napoli","Monza",4,0,"H",2,0,"H",1.35,5.69,9.07,"2-0","4-0",22,5,4,1,2,1,0,0,10,4,4,14,"Y","Y","Y",3,0,"Napoli-Monza",232,4,0,30,200,120,420,0,56,0,0,3248,1680
"29","I1",2022-08-28,"Fiorentina","Napoli",0,0,"D",0,0,"D",3.45,3.71,2.16,"0-0","0-0",10,5,13,2,2,3,0,0,2,3,0,5,"N","N","N",5,0,"Fiorentina-Napoli",0,0,0,50,600,0,250,0,0,0,0,0,0
"38","I1",2022-08-31,"Napoli","Lecce",1,1,"D",1,1,"D",1.27,6.48,11.48,"1-1","1-1",19,7,9,4,1,4,0,0,6,4,2,10,"Y","N","N",5,0,"Napoli-Lecce",58,2,0,50,400,100,500,0,20,0,0,580,1000
"43","I1",2022-09-03,"Lazio","Napoli",1,2,"A",1,1,"D",3.04,3.58,2.42,"1-1","1-2",8,2,19,7,4,0,0,0,6,8,3,14,"Y","Y","N",4,0,"Lazio-Napoli",103,3,0,40,0,120,560,0,42,0,0,1442,1680
"511","I1",2022-09-10,"Napoli","Spezia",1,0,"H",0,0,"D",1.26,6.62,11.46,"0-0","1-0",28,6,10,1,1,2,0,0,10,5,1,15,"N","N","N",3,0,"Napoli-Spezia",89,1,0,30,200,30,450,0,15,0,0,1335,450
"70","I1",2022-09-18,"Milan","Napoli",1,2,"A",0,0,"D",2.18,3.57,3.54,"0-0","1-2",22,5,9,4,4,3,0,0,9,4,3,13,"Y","Y","N",7,0,"Milan-Napoli",202,3,0,70,1200,210,910,0,39,0,0,2626,2730
"71","I1",2022-10-01,"Napoli","Torino",3,1,"H",3,1,"H",1.62,4.24,5.85,"3-1","3-1",15,7,16,3,0,2,0,0,4,4,4,8,"Y","Y","Y",2,0,"Napoli-Torino",99,4,0,20,0,80,160,0,32,0,0,792,640
"88","I1",2022-10-09,"Cremonese","Napoli",1,4,"A",0,1,"A",7.25,4.82,1.47,"0-1","1-4",12,1,21,10,2,0,0,0,5,2,5,7,"Y","Y","Y",2,0,"Cremonese-Napoli",329,5,0,20,0,100,140,0,35,0,0,2303,700
"97","I1",2022-10-16,"Napoli","Bologna",3,2,"H",1,1,"D",1.26,6.19,13.19,"1-1","3-2",30,11,16,3,0,4,0,0,6,4,5,10,"Y","Y","Y",4,0,"Napoli-Bologna",255,5,0,40,0,200,400,0,50,0,0,2550,2000
"108","I1",2022-10-23,"Roma","Napoli",0,1,"A",0,0,"D",2.95,3.61,2.47,"0-0","0-1",6,0,12,5,3,4,0,0,3,4,1,7,"N","N","N",7,0,"Roma-Napoli",80,1,0,70,1200,70,490,0,7,0,0,560,490
"111","I1",2022-10-29,"Napoli","Sassuolo",4,0,"H",3,0,"H",1.31,5.9,10.07,"3-0","4-0",18,6,10,6,0,3,0,1,11,5,4,16,"Y","Y","Y",3,1,"Napoli-Sassuolo",136,4,0,55,0,220,880,0,64,0,0,2176,3520
"124","I1",2022-11-05,"Atalanta","Napoli",1,2,"A",1,2,"A",3.48,3.81,2.11,"1-2","1-2",17,4,7,5,5,1,0,0,5,2,3,7,"Y","Y","N",6,0,"Atalanta-Napoli",77,3,0,60,500,180,420,0,21,0,0,539,1260
"131","I1",2022-11-08,"Napoli","Empoli",2,0,"H",0,0,"D",1.25,6.83,11.79,"0-0","2-0",18,4,6,1,1,6,0,1,5,0,2,5,"Y","N","N",7,1,"Napoli-Empoli",157,2,0,95,850,190,475,0,10,0,0,785,950
"142","I1",2022-11-12,"Napoli","Udinese",3,2,"H",2,0,"H",1.49,4.86,6.78,"2-0","3-2",15,5,10,4,2,3,0,0,5,3,5,8,"Y","Y","Y",5,0,"Napoli-Udinese",265,5,0,50,600,250,400,0,40,0,0,2120,2000
"159","I1",2023-01-04,"Inter","Napoli",1,0,"H",0,0,"D",2.36,3.46,3.23,"0-0","1-0",6,1,9,2,3,2,0,0,5,4,1,9,"N","N","N",5,0,"Inter-Napoli",56,1,0,50,600,50,450,0,9,0,0,504,450
"167","I1",2023-01-08,"Sampdoria","Napoli",0,2,"A",0,1,"A",8.94,5.04,1.4,"0-1","0-2",9,2,24,8,3,2,1,0,2,5,2,7,"Y","N","N",5,1,"Sampdoria-Napoli",101,2,0,75,1100,150,525,0,14,0,0,707,1050
"171","I1",2023-01-13,"Napoli","Juventus",5,1,"H",2,1,"H",1.99,3.54,4.2,"2-1","5-1",14,10,11,2,0,1,0,0,2,5,6,7,"Y","Y","Y",1,0,"Napoli-Juventus",287,6,0,10,0,60,70,0,42,0,0,2009,420
"182","I1",2023-01-21,"Salernitana","Napoli",0,2,"A",0,1,"A",9.36,5.7,1.34,"0-1","0-2",5,2,9,4,2,2,0,0,3,4,2,7,"Y","N","N",4,0,"Salernitana-Napoli",93,2,0,40,400,80,280,0,14,0,0,651,560
"199","I1",2023-01-29,"Napoli","Roma",2,1,"H",1,0,"H",1.77,3.83,5.05,"1-0","2-1",11,6,11,3,1,2,0,0,3,8,3,11,"Y","Y","N",3,0,"Napoli-Roma",178,3,119,30,200,90,330,3570,33,357,1309,1958,990
"41","I1",2023-01-29,"Napoli","Roma",2,1,"H",1,0,"H",1.77,3.83,5.05,"1-0","2-1",11,6,11,3,1,2,0,0,3,8,3,11,"Y","Y","N",3,0,"Napoli-Roma",134.175,2.8,26.2,47.75,573.75,128.5,453.125,1271.75,28.05,82.1,260.65,1341.825,1263.375
