,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS,HS,HST,AS,AST,HY,AY,HR,AR,HCO,ACO,HF,AF,TG,TC,TF,COSC,OV15,OV25,OV35,TY,TR,matchid,seriea_goalmins,n,seriea_shirts,Bookings,Crossbookings,GoalsXbookings,CornersXbookings,ShirtsXbookings,GoalsXcorners,GoalsXshirts,ShirtsXcorners,TGMXcorners,GoalsXcornerXbookings
4,I1,8/13/2022,Monza,Torino,1,2,A,0,1,A,2.64,3.36,2.9,0-1,2-Jan,15,4,13,6,1,2,0,0,2,7,6,17,3,9,23,7-Feb,Y,Y,N,3,0,Monza-Torino,199,3,115,30,200,90,270,3450,27,345,1035,1791,810
16,I1,8/21/2022,Napoli,Monza,4,0,H,2,0,H,1.35,5.69,9.07,Feb-00,Apr-00,22,5,4,1,2,1,0,0,10,4,11,13,4,14,24,4-Oct,Y,Y,Y,3,0,Napoli-Monza,232,4,0,30,200,120,420,0,56,0,0,3248,1680
21,I1,8/26/2022,Monza,Udinese,1,2,A,1,1,D,3.28,3.45,2.34,1-Jan,2-Jan,10,5,15,4,3,2,0,0,3,5,16,10,3,8,26,5-Mar,Y,Y,N,5,0,Monza-Udinese,145,3,50,50,600,150,400,2500,24,150,400,1160,1200
33,I1,8/30/2022,Roma,Monza,3,0,H,2,0,H,1.31,6.14,9.84,Feb-00,Mar-00,14,7,13,1,0,3,0,0,5,4,10,7,3,9,17,4-May,Y,Y,N,3,0,Roma-Monza,111,3,45,30,0,90,270,1350,27,135,405,999,810
48,I1,9/5/2022,Monza,Atalanta,0,2,A,0,0,D,5.51,4.39,1.63,0-0,0-2,11,3,13,6,1,1,0,0,4,9,9,10,2,13,19,9-Apr,Y,N,N,2,0,Monza-Atalanta,122,2,21,20,100,40,260,420,26,42,273,1586,520
56,I1,9/11/2022,Lecce,Monza,1,1,D,0,1,A,2.37,3.35,3.31,0-1,1-Jan,7,3,2,1,3,3,0,0,8,5,18,22,2,13,40,5-Aug,Y,N,N,6,0,Lecce-Monza,83,2,28,60,900,120,780,1680,26,56,364,1079,1560
68,I1,9/18/2022,Monza,Juventus,1,0,H,0,0,D,4.62,3.73,1.85,0-0,Jan-00,17,4,10,2,2,1,0,1,5,3,16,17,1,8,33,3-May,N,N,N,3,1,Monza-Juventus,74,1,9,55,700,55,440,495,8,9,72,592,440
76,I1,10/2/2022,Sampdoria,Monza,0,3,A,0,1,A,2.39,3.35,3.27,0-1,0-3,3,1,13,6,2,2,0,0,2,4,16,24,3,6,40,4-Feb,Y,Y,N,4,0,Sampdoria-Monza,168,3,61,40,400,120,240,2440,18,183,366,1008,720
85,I1,10/9/2022,Monza,Spezia,2,0,H,1,0,H,1.94,3.64,4.27,Jan-00,Feb-00,7,4,9,1,3,2,0,0,3,6,10,20,2,9,30,6-Mar,Y,N,N,5,0,Monza-Spezia,95,2,33,50,600,100,450,1650,18,66,297,855,900
91,I1,10/15/2022,Empoli,Monza,1,0,H,1,0,H,2.61,3.37,2.92,Jan-00,Jan-00,11,5,16,4,5,3,0,1,2,9,17,14,1,11,31,9-Feb,N,N,N,8,1,Empoli-Monza,11,1,32,105,2750,105,1155,3360,11,32,352,121,1155
