"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"175","I1",2023-01-15,"Sassuolo","Lazio",0,2,"A",0,1,"A",3.29,3.76,2.21,"0-1","0-2",12,2,12,3,5,3,0,0,7,3,17,10,2,10,27,"7-3","Y","N","N",8,0,"Sassuolo-Lazio",135,2,27,80,1500,160,800,2160,20,54,270,1350,1600
"185","I1",2023-01-22,"Monza","Sassuolo",1,1,"D",0,1,"A",2.25,3.45,3.47,"0-1","1-1",14,3,13,1,2,2,0,0,10,4,17,18,2,14,35,"10-4","Y","N","N",4,0,"Monza-Sassuolo",73,2,0,40,400,80,560,0,28,0,0,1022,1120
"196","I1",2023-01-29,"Milan","Sassuolo",2,5,"A",1,3,"A",1.5,4.88,6.45,"1-3","2-5",10,5,9,7,7,4,0,0,2,3,13,8,7,5,21,"2-3","Y","Y","Y",11,0,"Milan-Sassuolo",301,7,206,110,2800,770,550,22660,35,1442,1030,1505,3850
"203","I1",2023-02-04,"Sassuolo","Atalanta",1,0,"H",0,0,"D",3.84,3.95,1.96,"0-0","1-0",18,8,7,2,5,1,0,2,2,7,12,13,1,9,25,"2-7","N","N","N",6,2,"Sassuolo-Atalanta",55,1,45,110,3000,110,990,4950,9,45,405,495,990
"215","I1",2023-02-12,"Udinese","Sassuolo",2,2,"D",2,2,"D",2.11,3.54,3.76,"2-2","2-2",17,8,6,1,2,2,0,0,10,7,12,8,4,17,20,"10-7","Y","Y","Y",4,0,"Udinese-Sassuolo",80,4,0,40,400,160,680,0,68,0,0,1360,2720
"221","I1",2023-02-17,"Sassuolo","Napoli",0,2,"A",0,2,"A",5.54,4.24,1.65,"0-2","0-2",11,2,15,4,2,2,0,0,1,3,12,10,2,4,22,"1-3","Y","N","N",4,0,"Sassuolo-Napoli",45,2,0,40,400,80,160,0,8,0,0,180,320
"232","I1",2023-02-25,"Lecce","Sassuolo",0,1,"A",0,0,"D",2.59,3.08,3,"0-0","0-1",16,0,7,3,2,2,0,0,4,7,17,7,1,11,24,"4-7","N","N","N",4,0,"Lecce-Sassuolo",65,1,42,40,400,40,440,1680,11,42,462,715,440
"172","I1",2023-01-14,"Cremonese","Monza",2,3,"A",0,2,"A",2.91,3.39,2.61,"0-2","2-3",11,7,8,3,2,4,0,0,4,2,12,12,5,6,24,"4-2","Y","Y","Y",6,0,"Cremonese-Monza",232,5,0,60,800,300,360,0,30,0,0,1392,1800
"188","I1",2023-01-23,"Bologna","Cremonese",1,1,"D",0,0,"D",1.95,3.37,4.68,"0-0","1-1",21,8,9,2,2,5,0,0,4,1,11,13,2,5,24,"4-1","Y","N","N",7,0,"Bologna-Cremonese",104,2,98,70,1000,140,350,6860,10,196,490,520,700
"194","I1",2023-01-28,"Cremonese","Inter",1,2,"A",1,1,"D",6.88,4.57,1.51,"1-1","1-2",12,4,30,10,0,2,0,0,2,14,7,12,3,16,19,"2-14","Y","Y","N",2,0,"Cremonese-Inter",97,3,97,20,0,60,320,1940,48,291,1552,1552,960
"201","I1",2023-02-04,"Cremonese","Lecce",0,2,"A",0,0,"D",2.76,3.15,2.93,"0-0","0-2",12,3,9,4,1,2,0,0,4,8,12,15,2,12,27,"4-8","Y","N","N",3,0,"Cremonese-Lecce",127,2,33,30,200,60,360,990,24,66,396,1524,720
"218","I1",2023-02-12,"Napoli","Cremonese",3,0,"H",1,0,"H",1.19,7.51,17.21,"1-0","3-0",15,10,6,1,0,2,0,0,9,7,7,7,3,16,14,"9-7","Y","Y","N",2,0,"Napoli-Cremonese",165,3,0,20,0,60,320,0,48,0,0,2640,960
"230","I1",2023-02-20,"Torino","Cremonese",2,2,"D",1,0,"H",1.69,3.85,5.75,"1-0","2-2",16,6,11,2,3,1,0,0,5,1,9,12,4,6,21,"5-1","Y","Y","Y",4,0,"Torino-Cremonese",248,4,103,40,300,160,240,4120,24,412,618,1488,960
"239","I1",2023-02-28,"Cremonese","Roma",2,1,"H",1,0,"H",5.48,3.48,1.81,"1-0","2-1",6,2,10,3,3,2,0,0,3,3,17,11,3,6,28,"3-3","Y","Y","N",5,0,"Cremonese-Roma",171,3,120,50,600,150,300,6000,18,360,720,1026,900
"15","I1",2023-02-28,"Cremonese","Roma",2,1,"H",1,0,"H",5.48,3.48,1.81,"1-0","2-1",6,2,10,3,3,2,0,0,3,3,17,11,3,6,28,"3-3","Y","Y","N",5,0,"Cremonese-Roma",135.571428571429,2.92857142857143,55.0714285714286,53.5714285714286,842.857142857143,166.428571428571,459.285714285714,3668.57142857143,27.2142857142857,207.714285714286,424.5,1197.78571428571,1288.57142857143
