"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","OV15","OV25","OV35","TY","TR","matchid","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"5","I1",2022-08-14,"Fiorentina","Cremonese",3,2,"H",2,1,"H",1.39,5.33,8.49,"2-1","3-2",27,11,13,4,0,3,0,1,11,4,5,15,"Y","Y","Y",3,1,"Fiorentina-Cremonese",227,5,142,55,0,275,825,7810,75,710,2130,3405,4125
"19","I1",2022-08-22,"Roma","Cremonese",1,0,"H",0,0,"D",1.24,6.33,14.61,"0-0","1-0",27,12,14,3,0,3,0,0,5,6,1,11,"N","N","N",3,0,"Roma-Cremonese",65,1,6,30,0,30,330,180,11,6,66,715,330
"23","I1",2022-08-27,"Cremonese","Torino",1,2,"A",0,1,"A",3.34,3.46,2.31,"0-1","1-2",16,6,14,5,0,3,0,0,3,3,3,6,"Y","Y","N",3,0,"Cremonese-Torino",162,3,82,30,0,90,180,2460,18,246,492,972,540
"32","I1",2022-08-30,"Inter","Cremonese",3,1,"H",2,0,"H",1.16,9.52,16.85,"2-0","3-1",18,7,11,4,0,3,0,0,6,6,4,12,"Y","Y","Y",3,0,"Inter-Cremonese",216,4,121,30,0,120,360,3630,48,484,1452,2592,1440
"44","I1",2022-09-04,"Cremonese","Sassuolo",0,0,"D",0,0,"D",3.1,3.64,2.35,"0-0","0-0",10,0,17,7,1,1,0,0,2,3,0,5,"N","N","N",2,0,"Cremonese-Sassuolo",0,0,0,20,100,0,100,0,0,0,0,0,0
"54","I1",2022-09-11,"Atalanta","Cremonese",1,1,"D",0,0,"D",1.35,5.68,9.41,"0-0","1-1",14,6,7,4,2,5,0,0,3,3,2,6,"Y","N","N",7,0,"Atalanta-Cremonese",152,2,31,70,1000,140,420,2170,12,62,186,912,840
"66","I1",2022-09-18,"Cremonese","Lazio",0,4,"A",0,3,"A",4.25,4.01,1.85,"0-3","0-4",18,3,14,6,1,1,0,0,8,5,4,13,"Y","Y","Y",2,0,"Cremonese-Lazio",152,4,64,20,100,80,260,1280,52,256,832,1976,1040
"75","I1",2022-10-02,"Lecce","Cremonese",1,1,"D",1,1,"D",2.12,3.56,3.71,"1-1","1-1",6,1,13,4,3,1,0,0,1,8,2,9,"Y","N","N",4,0,"Lecce-Cremonese",61,2,36,40,300,80,360,1440,18,72,324,549,720
"88","I1",2022-10-09,"Cremonese","Napoli",1,4,"A",0,1,"A",7.25,4.82,1.47,"0-1","1-4",12,1,21,10,2,0,0,0,5,2,5,7,"Y","Y","Y",2,0,"Cremonese-Napoli",329,5,0,20,0,100,140,0,35,0,0,2303,700
"96","I1",2022-10-16,"Spezia","Cremonese",2,2,"D",2,1,"H",2.55,3.14,3.21,"2-1","2-2",15,6,24,4,2,0,0,0,6,8,4,14,"Y","Y","Y",2,0,"Spezia-Cremonese",95,4,116,20,0,80,280,2320,56,464,1624,1330,1120
