"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"305","E0","2023-04-16","Nottm Forest","Man United",0,2,"A",0,1,"A",5.07,4.01,1.71,"0-1","0-2",6,0,22,8,2,2,0,0,4,9,9,9,2,13,18,"4-9","Y","N","N",4,0,"Nottm Forest-Man United",108,2,41,40,400,80,520,1640,26,82,533,1404,1040
"324","E0","2023-04-27","Tottenham","Man United",2,2,"D",0,2,"A",2.81,3.72,2.48,"0-2","2-2",18,7,17,8,1,2,0,0,6,8,8,7,4,14,15,"6-8","Y","Y","Y",3,0,"Tottenham-Man United",186,4,65,30,200,120,420,1950,56,260,910,2604,1680
"330","E0","2023-04-30","Man United","Aston Villa",1,0,"H",1,0,"H",1.81,4.03,4.34,"1-0","1-0",14,6,7,1,2,0,0,0,1,4,16,7,1,5,23,"1-4","N","N","N",2,0,"Man United-Aston Villa",39,1,8,20,0,20,100,160,5,8,40,195,100
"337","E0","2023-05-04","Brighton","Man United",1,0,"H",0,0,"D",2.05,3.84,3.57,"0-0","1-0",22,6,16,5,4,4,0,0,8,6,10,14,1,14,24,"8-6","N","N","N",8,0,"Brighton-Man United",90,1,10,80,1600,80,1120,800,14,10,140,1260,1120
"344","E0","2023-05-07","West Ham","Man United",1,0,"H",1,0,"H",3.57,3.78,2.07,"1-0","1-0",15,4,19,4,0,2,0,0,5,6,4,9,1,11,13,"5-6","N","N","N",2,0,"West Ham-Man United",27,1,22,20,0,20,220,440,11,22,242,297,220
"352","E0","2023-05-13","Man United","Wolves",2,0,"H",1,0,"H",1.38,5.24,8.6,"1-0","2-0",27,9,5,0,3,2,0,0,11,7,9,9,2,18,18,"11-7","Y","N","N",5,0,"Man United-Wolves",122,2,0,50,600,100,900,0,36,0,0,2196,1800
"318","E0","2023-04-26","Nottm Forest","Brighton",3,1,"H",1,1,"D",6.12,4.42,1.56,"1-1","3-1",12,5,17,7,2,0,0,0,2,7,7,8,4,9,15,"2-7","Y","Y","Y",2,0,"Nottm Forest-Brighton",242,4,91,20,0,80,180,1820,36,364,819,2178,720
"327","E0","2023-04-29","Brighton","Wolves",6,0,"H",4,0,"H",1.51,4.48,6.75,"4-0","6-0",22,8,10,2,1,1,0,0,2,5,14,11,6,7,25,"2-5","Y","Y","Y",2,0,"Brighton-Wolves",198,6,104,20,100,120,140,2080,42,624,728,1386,840
"3371","E0","2023-05-04","Brighton","Man United",1,0,"H",0,0,"D",2.05,3.84,3.57,"0-0","1-0",22,6,16,5,4,4,0,0,8,6,10,14,1,14,24,"8-6","N","N","N",8,0,"Brighton-Man United",90,1,10,80,1600,80,1120,800,14,10,140,1260,1120
"346","E0","2023-05-08","Brighton","Everton",1,5,"A",0,3,"A",1.38,5.34,8.38,"0-3","1-5",23,5,10,5,1,5,0,0,15,1,11,13,6,16,24,"15-1","Y","Y","Y",6,0,"Brighton-Everton",310,6,79,60,500,360,960,4740,96,474,1264,4960,5760
"356","E0","2023-05-14","Arsenal","Brighton",0,3,"A",0,0,"D",1.78,4.36,4.21,"0-0","0-3",14,2,12,6,1,2,0,0,5,2,13,17,3,7,30,"5-2","Y","Y","N",3,0,"Arsenal-Brighton",227,3,0,30,200,90,210,0,21,0,0,1589,630
"358","E0","2023-05-18","Newcastle","Brighton",4,1,"H",2,0,"H",2.06,3.95,3.44,"2-0","4-1",22,9,8,2,2,4,0,0,6,1,17,16,5,7,33,"6-1","Y","Y","Y",6,0,"Newcastle-Brighton",297,5,0,60,800,300,420,0,35,0,0,2079,2100
"13","E0","2023-05-18","Newcastle","Brighton",4,1,"H",2,0,"H",2.06,3.95,3.44,"2-0","4-1",22,9,8,2,2,4,0,0,6,1,17,16,5,7,33,"6-1","Y","Y","Y",6,0,"Newcastle-Brighton",161.333333333333,3,35.8333333333333,42.5,500,120.833333333333,525.833333333333,1202.5,32.6666666666667,154.5,401.333333333333,1784,1427.5
