"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","COSC","OV15","OV25","OV35","TY","TR","matchid","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"146","E0",2022-11-13,"Fulham","Man United",1,2,"A",0,1,"A",4,4.02,1.91,"0-1","1-2",14,7,14,9,1,1,0,0,10,3,3,13,"10-3","Y","Y","N",2,0,"Fulham-Man United",165,3,84,20,100,60,260,1680,39,252,1092,2145,780
"155","E0",2022-12-27,"Man United","Nottm Forest",3,0,"H",2,0,"H",1.31,5.7,11.66,"2-0","3-0",17,8,8,3,3,1,0,0,9,9,3,18,"9-9","Y","Y","N",4,0,"Man United-Nottm Forest",129,3,36,40,300,120,720,1440,54,108,648,2322,2160
"159","E0",2022-12-31,"Wolves","Man United",0,1,"A",0,0,"D",4.16,3.71,1.94,"0-0","0-1",10,3,16,6,1,3,0,0,7,5,1,12,"7-5","N","N","N",4,0,"Wolves-Man United",76,1,10,40,300,40,480,400,12,10,120,912,480
"171","E0",2023-01-03,"Man United","Bournemouth",3,0,"H",1,0,"H",1.29,6.02,10.83,"1-0","3-0",18,6,7,4,0,3,0,0,6,5,3,11,"6-5","Y","Y","N",3,0,"Man United-Bournemouth",158,3,51,30,0,90,330,1530,33,153,561,1738,990
"179","E0",2023-01-14,"Man United","Man City",2,1,"H",0,0,"D",4.26,3.98,1.86,"0-0","2-1",8,4,5,1,3,0,0,0,1,2,3,3,"1-2","Y","Y","N",3,0,"Man United-Man City",220,3,28,30,0,90,90,840,9,84,84,660,270
"188","E0",2023-01-18,"Crystal Palace","Man United",1,1,"D",0,1,"A",4.62,3.87,1.82,"0-1","1-1",10,5,15,4,1,2,0,0,3,3,2,6,"3-3","Y","N","N",3,0,"Crystal Palace-Man United",134,2,15,30,200,60,180,450,12,30,90,804,360
"198","E0",2023-01-22,"Arsenal","Man United",3,2,"H",1,1,"D",1.88,3.92,4.19,"1-1","3-2",25,5,6,4,1,2,0,0,12,4,5,16,"12-4","Y","Y","Y",3,0,"Arsenal-Man United",243,5,51,30,200,150,480,1530,80,255,816,3888,2400
"205","E0",2023-02-04,"Man United","Crystal Palace",2,1,"H",1,0,"H",1.41,4.91,8.97,"1-0","2-1",14,5,10,3,1,2,1,0,5,5,3,10,"5-5","Y","Y","N",3,1,"Man United-Crystal Palace",145,3,33,55,700,165,550,1815,30,99,330,1450,1650
"131","E0",2022-11-05,"Everton","Leicester",0,2,"A",0,1,"A",2.48,3.36,3.12,"0-1","0-2",12,2,22,8,0,0,0,0,8,3,2,11,"8-3","Y","N","N",0,0,"Everton-Leicester",131,2,15,0,0,0,0,0,22,30,165,1441,0
"142","E0",2022-11-12,"West Ham","Leicester",0,2,"A",0,1,"A",2.14,3.56,3.64,"0-1","0-2",18,6,9,6,3,1,0,0,7,2,2,9,"7-2","Y","N","N",4,0,"West Ham-Leicester",86,2,17,40,300,80,360,680,18,34,153,774,720
"150","E0",2022-12-26,"Leicester","Newcastle",0,3,"A",0,3,"A",3.36,3.64,2.22,"0-3","0-3",8,2,12,5,0,0,0,0,5,5,3,10,"5-5","Y","Y","N",0,0,"Leicester-Newcastle",42,3,51,0,0,0,0,0,30,153,510,420,0
"158","E0",2022-12-30,"Liverpool","Leicester",2,1,"H",2,1,"H",1.31,6.08,9.55,"2-1","2-1",21,5,7,2,0,1,0,0,4,5,3,9,"4-5","Y","Y","N",1,0,"Liverpool-Leicester",87,3,28,10,0,30,90,280,27,84,252,783,270
"170","E0",2023-01-03,"Leicester","Fulham",0,1,"A",0,1,"A",2.26,3.73,3.2,"0-1","0-1",15,6,11,2,2,6,0,0,6,3,1,9,"6-3","N","N","N",8,0,"Leicester-Fulham",17,1,9,80,1200,80,720,720,9,9,81,153,720
"182","E0",2023-01-14,"Nottm Forest","Leicester",2,0,"H",0,0,"D",2.74,3.46,2.72,"0-0","2-0",15,5,6,1,1,2,0,0,3,5,2,8,"3-5","Y","N","N",3,0,"Nottm Forest-Leicester",141,2,40,30,200,60,240,1200,16,80,320,1128,480
"192","E0",2023-01-21,"Leicester","Brighton",2,2,"D",1,1,"D",3.61,3.71,2.1,"1-1","2-2",9,2,13,4,0,1,0,0,5,6,4,11,"5-6","Y","Y","Y",1,0,"Leicester-Brighton",216,4,68,10,0,40,110,680,44,272,748,2376,440
"202","E0",2023-02-04,"Aston Villa","Leicester",2,4,"A",2,3,"A",2.02,3.63,3.95,"2-3","2-4",19,4,9,5,0,2,0,0,11,3,6,14,"11-3","Y","Y","Y",2,0,"Aston Villa-Leicester",218,6,113,20,0,120,280,2260,84,678,1582,3052,1680
"17","E0",2023-02-04,"Aston Villa","Leicester",2,4,"A",2,3,"A",2.02,3.63,3.95,"2-3","2-4",19,4,9,5,0,2,0,0,11,3,6,14,"11-3","Y","Y","Y",2,0,"Aston Villa-Leicester",138,2.875,40.5625,29.0625,218.75,74.0625,305.625,969.0625,32.4375,145.6875,472,1502.875,837.5
