,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS,HS,HST,AS,AST,HY,AY,HR,AR,HCO,ACO,TG,TC,OV15,OV25,OV35,TY,TR,matchid,epl_goalmins,n,epl_shirts,Bookings,Crossbookings,GoalsXbookings,CornersXbookings,ShirtsXbookings,GoalsXcorners,GoalsXshirts,ShirtsXcorners,TGMXcorners,GoalsXcornerXbookings
110,E0,10/22/2022,Chelsea,Man United,1,1,D,0,0,D,2.15,3.54,3.64,0-0,1-Jan,6,2,13,6,1,4,0,0,6,4,2,10,Y,N,N,5,0,Chelsea-Man United,177,2,23,50,400,100,500,1150,20,46,230,1770,1000
120,E0,10/29/2022,Brighton,Chelsea,4,1,H,3,0,H,3.17,3.43,2.41,Mar-00,1-Apr,19,9,15,7,1,2,0,0,8,7,5,15,Y,Y,Y,3,0,Brighton-Chelsea,199,5,79,30,200,150,450,2370,75,395,1185,2985,2250
132,E0,11/6/2022,Chelsea,Arsenal,0,1,A,0,0,D,2.72,3.5,2.71,0-0,0-1,5,1,14,2,5,2,0,0,4,6,1,10,N,N,N,7,0,Chelsea-Arsenal,63,1,6,70,1000,70,700,420,10,6,60,630,700
143,E0,11/12/2022,Newcastle,Chelsea,1,0,H,0,0,D,2.36,3.53,3.18,0-0,Jan-00,10,3,5,2,3,2,0,0,5,3,1,8,N,N,N,5,0,Newcastle-Chelsea,67,1,28,50,600,50,400,1400,8,28,224,536,400
154,E0,12/27/2022,Chelsea,Bournemouth,2,0,H,2,0,H,1.32,5.72,10.69,Feb-00,Feb-00,15,5,9,4,0,0,0,0,6,8,2,14,Y,N,N,0,0,Chelsea-Bournemouth,40,2,48,0,0,0,0,0,28,96,672,560,0
166,E0,1/1/2023,Nottm Forest,Chelsea,1,1,D,0,1,A,5.43,3.98,1.7,0-1,1-Jan,12,5,7,2,2,2,0,0,1,2,2,3,Y,N,N,4,0,Nottm Forest-Chelsea,79,2,41,40,400,80,120,1640,6,82,123,237,240
176,E0,1/5/2023,Chelsea,Man City,0,1,A,0,0,D,5.6,4.19,1.65,0-0,0-1,8,2,12,3,2,0,0,0,3,2,1,5,N,N,N,2,0,Chelsea-Man City,63,1,26,20,0,20,100,520,5,26,130,315,100
177,E0,1/12/2023,Fulham,Chelsea,2,1,H,1,0,H,3.43,3.6,2.21,Jan-00,1-Feb,8,3,20,10,4,3,0,1,5,7,3,12,Y,Y,N,7,1,Fulham-Chelsea,145,3,76,95,2200,285,1140,7220,36,228,912,1740,3420
185,E0,1/15/2023,Chelsea,Crystal Palace,1,0,H,0,0,D,1.68,3.96,5.64,0-0,Jan-00,15,5,10,5,2,5,0,0,11,7,1,18,N,N,N,7,0,Chelsea-Crystal Palace,64,1,29,70,1000,70,1260,2030,18,29,522,1152,1260
190,E0,1/21/2023,Liverpool,Chelsea,0,0,D,0,0,D,1.89,3.88,4.2,0-0,0-0,15,3,11,2,3,1,0,0,5,5,0,10,N,N,N,4,0,Liverpool-Chelsea,0,0,0,40,300,0,400,0,0,0,0,0,0
