"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","OV15","OV25","OV35","TY","TR","matchid","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"6","E0",2022-08-06,"Tottenham","Southampton",4,1,"H",2,1,"H",1.37,5.39,9.11,"2-1","4-1",18,8,10,2,3,0,0,0,10,2,5,12,"Y","Y","Y",3,0,"Tottenham-Southampton",188,5,85,30,0,150,360,2550,60,425,1020,2256,1800
"15","E0",2022-08-13,"Southampton","Leeds",2,2,"D",0,0,"D",2.34,3.55,3.18,"0-0","2-2",14,4,13,5,1,3,0,0,2,5,4,7,"Y","Y","Y",4,0,"Southampton-Leeds",259,4,47,40,300,160,280,1880,28,188,329,1813,1120
"25","E0",2022-08-20,"Leicester","Southampton",1,2,"A",0,0,"D",1.86,4.09,4.12,"0-0","1-2",6,1,9,3,2,3,0,0,2,5,3,7,"Y","Y","N",5,0,"Leicester-Southampton",206,3,30,50,600,150,350,1500,21,90,210,1442,1050
"31","E0",2022-08-27,"Southampton","Man United",0,1,"A",0,0,"D",4.31,4,1.85,"0-0","0-1",17,5,11,6,0,3,0,0,5,3,1,8,"N","N","N",3,0,"Southampton-Man United",55,1,8,30,0,30,240,240,8,8,64,440,240
"43","E0",2022-08-30,"Southampton","Chelsea",2,1,"H",2,1,"H",5.28,4.24,1.67,"2-1","2-1",9,7,10,4,2,1,0,0,5,3,3,8,"Y","Y","N",3,0,"Southampton-Chelsea",96,3,71,30,200,90,240,2130,24,213,568,768,720
"57","E0",2022-09-03,"Wolves","Southampton",1,0,"H",1,0,"H",2.3,3.41,3.41,"1-0","1-0",7,2,12,1,4,2,0,0,5,6,1,11,"N","N","N",6,0,"Wolves-Southampton",45,1,10,60,800,60,660,600,11,10,110,495,660
"61","E0",2022-09-16,"Aston Villa","Southampton",1,0,"H",1,0,"H",2.14,3.62,3.6,"1-0","1-0",11,3,7,1,3,1,0,0,6,3,1,9,"N","N","N",4,0,"Aston Villa-Southampton",41,1,41,40,300,40,360,1640,9,41,369,369,360
"73","E0",2022-10-01,"Southampton","Everton",1,2,"A",0,0,"D",2.23,3.48,3.49,"0-0","1-2",22,6,12,5,2,2,0,0,7,6,3,13,"Y","Y","N",4,0,"Southampton-Everton",155,3,44,40,400,120,520,1760,39,132,572,2015,1560
"80","E0",2022-10-08,"Man City","Southampton",4,0,"H",2,0,"H",1.13,10.77,20.4,"2-0","4-0",21,8,5,0,0,1,0,0,9,1,4,10,"Y","Y","Y",1,0,"Man City-Southampton",166,4,89,10,0,40,100,890,40,356,890,1660,400
"96","E0",2022-10-16,"Southampton","West Ham",1,1,"D",1,0,"H",3.08,3.42,2.47,"1-0","1-1",10,8,25,4,1,1,0,0,4,14,2,18,"Y","N","N",2,0,"Southampton-West Ham",84,2,56,20,100,40,360,1120,36,112,1008,1512,720
"100","E0",2022-10-19,"Bournemouth","Southampton",0,1,"A",0,1,"A",2.76,3.4,2.74,"0-1","0-1",15,3,9,3,1,3,0,0,7,3,1,10,"N","N","N",4,0,"Bournemouth-Southampton",9,1,10,40,300,40,400,400,10,10,100,90,400
"113","E0",2022-10-23,"Southampton","Arsenal",1,1,"D",0,1,"A",6.2,4.31,1.58,"0-1","1-1",10,3,12,3,2,1,0,0,9,4,2,13,"Y","N","N",3,0,"Southampton-Arsenal",76,2,51,30,200,60,390,1530,26,102,663,988,780
"121","E0",2022-10-29,"Crystal Palace","Southampton",1,0,"H",1,0,"H",1.96,3.62,4.22,"1-0","1-0",12,3,14,4,3,3,0,0,8,4,1,12,"N","N","N",6,0,"Crystal Palace-Southampton",38,1,22,60,900,60,720,1320,12,22,264,456,720
"134","E0",2022-11-06,"Southampton","Newcastle",1,4,"A",0,1,"A",4.22,3.71,1.93,"0-1","1-4",16,5,7,4,1,0,0,0,8,2,5,10,"Y","Y","Y",1,0,"Southampton-Newcastle",334,5,126,10,0,50,100,1260,50,630,1260,3340,500
"139","E0",2022-11-12,"Liverpool","Southampton",3,1,"H",3,1,"H",1.26,6.49,11.55,"3-1","3-1",15,7,9,5,0,2,0,0,6,0,4,6,"Y","Y","Y",2,0,"Liverpool-Southampton",78,4,73,20,0,80,120,1460,24,292,438,468,480
"151","E0",2022-12-26,"Southampton","Brighton",1,3,"A",0,2,"A",3.5,3.6,2.18,"0-2","1-3",14,4,7,4,1,2,0,0,4,2,4,6,"Y","Y","Y",3,0,"Southampton-Brighton",178,4,44,30,200,120,180,1320,24,176,264,1068,720
"161","E0",2022-12-31,"Fulham","Southampton",2,1,"H",1,0,"H",2.04,3.59,3.95,"1-0","2-1",8,2,9,3,0,1,0,0,4,4,3,8,"Y","Y","N",1,0,"Fulham-Southampton",176,3,42,10,0,30,80,420,24,126,336,1408,240
"172","E0",2023-01-04,"Southampton","Nottm Forest",0,1,"A",0,1,"A",2.1,3.52,3.82,"0-1","0-1",8,0,11,1,2,2,0,0,6,2,1,8,"N","N","N",4,0,"Southampton-Nottm Forest",27,1,9,40,400,40,320,360,8,9,72,216,320
"181","E0",2023-01-14,"Everton","Southampton",1,2,"A",1,0,"H",2.28,3.48,3.36,"1-0","1-2",12,4,13,5,0,3,0,0,6,4,3,10,"Y","Y","N",3,0,"Everton-Southampton",163,3,24,30,0,90,300,720,30,72,240,1630,900
"193","E0",2023-01-21,"Southampton","Aston Villa",0,1,"A",0,0,"D",2.96,3.4,2.57,"0-0","0-1",8,5,16,5,1,2,0,0,2,2,1,4,"N","N","N",3,0,"Southampton-Aston Villa",77,1,11,30,200,30,120,330,4,11,44,308,120
"9","E0",2022-08-07,"Man United","Brighton",1,2,"A",0,2,"A",1.65,4.14,5.68,"0-2","1-2",17,5,15,4,4,1,0,0,6,2,3,8,"Y","Y","N",5,0,"Man United-Brighton",137,3,36,50,400,150,400,1800,24,108,288,1096,1200
"13","E0",2022-08-13,"Brighton","Newcastle",0,0,"D",0,0,"D",2.48,3.24,3.22,"0-0","0-0",13,7,4,1,2,3,0,0,7,3,0,10,"N","N","N",5,0,"Brighton-Newcastle",0,0,0,50,600,0,500,0,0,0,0,0,0
"28","E0",2022-08-21,"West Ham","Brighton",0,2,"A",0,1,"A",2.34,3.52,3.22,"0-1","0-2",13,3,11,2,2,0,0,0,5,4,2,9,"Y","N","N",2,0,"West Ham-Brighton",88,2,21,20,0,40,180,420,18,42,189,792,360
"33","E0",2022-08-27,"Brighton","Leeds",1,0,"H",0,0,"D",1.93,3.72,4.24,"0-0","1-0",13,4,10,2,2,3,0,0,5,3,1,8,"N","N","N",5,0,"Brighton-Leeds",66,1,13,50,600,50,400,650,8,13,104,528,400
"42","E0",2022-08-30,"Fulham","Brighton",2,1,"H",0,0,"D",3.26,3.44,2.36,"0-0","2-1",10,3,7,4,2,1,0,0,3,3,3,6,"Y","Y","N",3,0,"Fulham-Brighton",163,3,24,30,200,90,180,720,18,72,144,978,540
"59","E0",2022-09-04,"Brighton","Leicester",5,2,"H",2,2,"D",1.85,3.63,4.85,"2-2","5-2",23,11,6,4,1,1,0,0,10,1,7,11,"Y","Y","Y",2,0,"Brighton-Leicester",284,7,123,20,100,140,220,2460,77,861,1353,3124,1540
"72","E0",2022-10-01,"Liverpool","Brighton",3,3,"D",1,2,"A",1.38,5.49,8.42,"1-2","3-3",15,7,6,6,1,1,0,0,9,2,6,11,"Y","Y","Y",2,0,"Liverpool-Brighton",254,6,55,20,100,120,220,1100,66,330,605,2794,1320
"82","E0",2022-10-08,"Brighton","Tottenham",0,1,"A",0,1,"A",2.82,3.45,2.65,"0-1","0-1",14,4,8,3,1,2,0,0,6,2,1,8,"N","N","N",3,0,"Brighton-Tottenham",22,1,10,30,200,30,240,300,8,10,80,176,240
"88","E0",2022-10-14,"Brentford","Brighton",2,0,"H",1,0,"H",3.32,3.52,2.29,"1-0","2-0",7,3,21,7,3,1,0,0,2,11,2,13,"Y","N","N",4,0,"Brentford-Brighton",91,2,34,40,300,80,520,1360,26,68,442,1183,1040
