"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","n","Total_Goalmins","Home_first_GoalTime","Away_first_GoalTime","match_First_GoalTime","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","TGMXcorners","GoalsXcornerXbookings","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","SC0",2024-11-26,"Hibernian","Aberdeen",3,3,"D",1,0,"H",2.74,3.27,2.76,"1-0","3-3",21,4,15,6,3,1,0,0,9,6,14,10,6,15,24,"9-6","Y","Y","Y",4,0,"2024-11-26-Hibernian-Aberdeen","Calum Scott",6,454,40,55,40,40,300,240,600,90,6810,3600,2,0,0,0,1,1,0,0,20,0,20,10,10,20,400,162,0,71,0,162,71,233,44,71,44,0,155
"2","SC0",2024-12-01,"Hearts","Aberdeen",1,1,"D",0,1,"A",2.42,3.47,2.87,"0-1","1-1",16,2,8,3,1,5,0,0,9,6,9,17,2,15,26,"9-6","Y","N","N",6,0,"2024-12-01-Hearts-Aberdeen","Kevin Clancy",2,37,0,37,37,60,500,120,900,30,555,1800,1,2,0,0,0,3,0,0,10,20,30,0,30,30,900,42,0,306,0,42,306,348,42,45,42,0,105
"3","SC0",2024-12-04,"Aberdeen","Celtic",0,1,"A",0,0,"D",7.8,5.28,1.35,"0-0","0-1",8,4,15,4,3,1,0,0,2,10,12,11,1,12,23,"2-10","N","N","N",4,0,"2024-12-04-Aberdeen-Celtic","Don Robertson",1,78,0,78,78,40,300,40,480,12,936,480,3,1,0,0,0,0,0,0,30,10,40,0,0,0,0,114,0,34,0,114,34,148,24,34,24,0,71
"4","SC0",2024-12-07,"Aberdeen","St Johnstone",1,1,"D",0,1,"A",1.53,4.22,6.09,"0-1","1-1",7,2,6,3,5,4,0,0,6,1,10,19,2,7,29,"6-1","Y","N","N",9,0,"2024-12-07-Aberdeen-St Johnstone","Ross Hardie",2,81,56,25,25,90,2000,180,630,14,567,1260,2,1,0,0,3,3,0,0,20,10,30,30,30,60,1800,294,0,270,0,294,270,564,3,27,3,0,96
"5","SC0",2024-11-26,"Hibernian","Aberdeen",3,3,"D",1,0,"H",2.74,3.27,2.76,"1-0","3-3",21,4,15,6,3,1,0,0,9,6,14,10,6,15,24,"9-6","Y","Y","Y",4,0,"2024-11-26-Hibernian-Aberdeen","Calum Scott",6,454,40,55,40,40,300,240,600,90,6810,3600,2,0,0,0,1,1,0,0,20,0,20,10,10,20,400,162,0,71,0,162,71,233,44,71,44,0,155
"6","SC0",2024-11-30,"Motherwell","Hibernian",0,3,"A",0,2,"A",2.87,3.4,2.46,"0-2","0-3",7,3,17,8,0,0,0,0,3,4,10,14,3,7,24,"3-4","Y","Y","N",0,0,"2024-11-30-Motherwell-Hibernian","Grant Irvine",3,145,0,26,26,0,0,0,0,21,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
"7","SC0",2024-12-07,"Celtic","Hibernian",3,0,"H",1,0,"H",1.15,8.21,15.08,"1-0","3-0",21,11,14,9,1,2,0,0,14,7,8,7,3,21,15,"14-7","Y","Y","N",3,0,"2024-12-07-Celtic-Hibernian","Chris Graham",3,90,6,0,6,30,200,90,630,63,1890,1890,1,0,0,0,0,2,0,0,10,0,10,0,20,20,200,41,0,165,0,41,165,206,41,81,41,0,123
"8","SC0",2024-12-14,"Hibernian","Ross County",3,1,"H",1,1,"D",1.49,4.29,6.6,"1-1","3-1",19,7,13,4,1,4,0,0,9,15,7,9,4,24,16,"9-15","Y","Y","Y",5,0,"2024-12-14-Hibernian-Ross County","Lloyd Wilson",4,291,51,3,3,50,400,200,1200,96,6984,4800,1,0,0,0,0,4,0,0,10,0,10,0,40,40,400,39,0,282,0,39,282,321,39,67,39,2,177
"9","SC0",2024-12-14,"Hibernian","Ross County",3,1,"H",1,1,"D",1.49,4.29,6.6,"1-1","3-1",19,7,13,4,1,4,0,0,9,15,7,9,4,24,16,"9-15","Y","Y","Y",5,0,"2024-12-14-Hibernian-Ross County","Lloyd Wilson",3.375,203.75,24.125,34.875,31.875,43.75,500,138.75,630,52,3195.875,2178.75,1.5,0.5,0,0,0.625,1.75,0,0,15,5,20,6.25,17.5,23.75,512.5,106.75,0,149.875,0,106.75,149.875,256.625,29.625,49.5,29.625,0.25,118.5
