"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","n","Total_Goalmins","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","TGMXcorners","GoalsXcornerXbookings","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","SC0",2024-04-13,"St Johnstone","Kilmarnock",0,2,"A",0,1,"A",3.98,3.51,2.01,"0-1","0-2",11,3,17,5,0,0,0,0,2,6,8,14,2,8,22,"2-6","Y","N","N",0,0,"2024-04-13-St Johnstone-Kilmarnock","Calum Scott",2,104,0,0,0,0,16,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
"2","SC0",2024-04-27,"Kilmarnock","Hearts",0,0,"D",0,0,"D",2.31,3.26,3.41,"0-0","0-0",16,2,14,4,4,0,0,0,8,4,9,6,0,12,15,"8-4","N","N","N",4,0,"2024-04-27-Kilmarnock-Hearts","Ross Hardie",0,0,40,0,0,480,0,0,0,2,0,0,0,2,0,0,0,20,0,20,20,0,20,400,230,0,0,0,230,0,230,36,0,0,0,56
"3","SC0",2024-05-05,"Rangers","Kilmarnock",4,1,"H",1,1,"D",1.25,6.36,11.48,"1-1","4-1",41,15,5,2,0,2,0,1,16,1,11,9,5,17,20,"16-1","Y","Y","Y",2,1,"2024-05-05-Rangers-Kilmarnock","David Dickinson",5,303,45,0,225,765,85,5151,3825,0,1,0,1,0,2,0,0,0,35,35,0,20,20,700,0,0,128,44,0,172,172,0,9,0,1,161
"4","SC0",2024-05-11,"St Mirren","Kilmarnock",0,1,"A",0,1,"A",2.78,3.04,2.91,"0-1","0-1",10,2,15,4,0,2,0,0,8,5,10,13,1,13,23,"8-5","N","N","N",2,0,"2024-05-11-St Mirren-Kilmarnock","Euan Anderson",1,37,20,0,20,260,13,481,260,0,0,0,0,0,2,0,0,0,0,0,0,20,20,0,0,0,155,0,0,155,155,0,70,0,0,64
"5","SC0",2024-05-15,"Kilmarnock","Celtic",0,5,"A",0,3,"A",7.93,5.38,1.38,"0-3","0-5",12,2,30,12,2,0,0,0,2,9,7,12,5,11,19,"2-9","Y","Y","Y",2,0,"2024-05-15-Kilmarnock-Celtic","Don Robertson",5,174,20,0,100,220,55,1914,1100,1,0,0,0,1,0,0,0,10,0,10,10,0,10,100,79,0,0,0,79,0,79,30,0,0,0,118
"6","SC0",2024-05-18,"Dundee","Kilmarnock",1,1,"D",1,1,"D",2.99,3.4,2.47,"1-1","1-1",11,2,11,3,1,3,0,1,4,3,7,10,2,7,17,"4-3","Y","N","N",4,1,"2024-05-18-Dundee-Kilmarnock","Calum Scott",2,150,65,550,130,455,14,1050,910,0,0,0,0,1,2,0,0,0,0,0,10,20,30,0,72,0,125,0,72,125,197,72,49,49,1,96
"7","SC0",2024-04-13,"St Johnstone","Kilmarnock",0,2,"A",0,1,"A",3.98,3.51,2.01,"0-1","0-2",11,3,17,5,0,0,0,0,2,6,8,14,2,8,22,"2-6","Y","N","N",0,0,"2024-04-13-St Johnstone-Kilmarnock","Calum Scott",2,104,0,0,0,0,16,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
"8","SC0",2024-04-27,"St Johnstone","Hibernian",1,3,"A",0,2,"A",4.18,3.47,1.97,"0-2","1-3",9,3,16,8,0,1,0,0,1,7,11,8,4,8,19,"1-7","Y","Y","Y",1,0,"2024-04-27-St Johnstone-Hibernian","David Munro",4,215,10,0,40,80,32,1720,320,0,1,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,11,0,0,11,11,0,11,0,0,89
"9","SC0",2024-05-04,"Aberdeen","St Johnstone",1,0,"H",0,0,"D",1.72,3.78,5.25,"0-0","1-0",15,6,12,5,1,2,0,0,7,4,10,15,1,11,25,"7-4","N","N","N",3,0,"2024-05-04-Aberdeen-St Johnstone","Chris Graham",1,68,30,200,30,330,11,748,330,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,83,0,122,0,83,122,205,83,45,45,1,73
"10","SC0",2024-05-11,"Livingston","St Johnstone",2,1,"H",0,1,"A",3,3.14,2.63,"0-1","2-1",15,8,25,7,2,1,0,0,4,8,12,9,3,12,21,"4-8","Y","Y","N",3,0,"2024-05-11-Livingston-St Johnstone","John Beaton",3,175,30,200,90,360,36,2100,1080,0,1,0,0,2,0,0,0,0,10,10,20,0,20,200,175,0,45,0,175,45,220,84,45,45,0,96
"11","SC0",2024-05-15,"St Johnstone","Ross County",1,1,"D",0,1,"A",2.51,3.21,3.09,"0-1","1-1",9,3,10,5,1,4,0,0,4,4,6,11,2,8,17,"4-4","Y","N","N",5,0,"2024-05-15-St Johnstone-Ross County","Nick Walsh",2,118,50,400,100,400,16,944,800,0,2,0,0,1,2,0,0,0,20,20,10,20,30,600,82,0,260,0,82,260,342,82,40,40,0,79
"12","SC0",2024-05-19,"Motherwell","St Johnstone",1,2,"A",0,2,"A",2.47,3.75,2.77,"0-2","1-2",13,5,9,4,0,1,0,0,7,3,7,9,3,10,16,"7-3","Y","Y","N",1,0,"2024-05-19-Motherwell-St Johnstone","Colin Steven",3,190,10,0,30,100,30,1900,300,0,0,0,0,0,1,0,0,0,0,0,0,10,10,0,0,0,52,0,0,52,52,0,52,0,1,90
"13","SC0",2024-05-19,"Motherwell","St Johnstone",1,2,"A",0,2,"A",2.47,3.75,2.77,"0-2","1-2",13,5,9,4,0,1,0,0,7,3,7,9,3,10,16,"7-3","Y","Y","N",1,0,"2024-05-19-Motherwell-St Johnstone","Colin Steven",2.5,136.5,26.6666666666667,112.5,63.75,287.5,27,1472.66666666667,743.75,0.25,0.5,0,0.0833333333333333,0.666666666666667,0.833333333333333,0,0,2.5,7.08333333333333,9.58333333333333,6.66666666666667,8.33333333333333,15,183.333333333333,60.0833333333333,0,74.8333333333333,3.66666666666667,60.0833333333333,78.5,138.583333333333,32.25,26.75,14.9166666666667,0.333333333333333,85.8333333333333
