"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","n","Home_xG","Away_xG","Total_Goalmins","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","TGMXcorners","GoalsXcornerXbookings","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","E1",2024-04-06,"Sunderland","Bristol City",0,0,"D",0,0,"D",2.45,3.12,3.29,"0-0","0-0",20,7,8,2,1,1,0,0,4,4,12,10,0,8,22,"4-4","N","N","N",2,0,"2024-04-06-Sunderland-Bristol City","Leigh Doughty",0,1.6,0.8,0,20,100,0,160,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,62,0,70,0,62,70,132,62,70,62,0,34
"2","E1",2024-04-09,"Leeds","Sunderland",0,0,"D",0,0,"D",1.32,5.64,9.41,"0-0","0-0",12,1,6,3,2,4,0,0,13,2,10,13,0,15,23,"13-2","N","N","N",6,0,"2024-04-09-Leeds-Sunderland","Tim Robinson",0,0.5,0.2,0,60,800,0,900,0,0,0,0,1,0,0,2,3,0,0,0,10,10,20,30,50,500,139,0,186,0,139,186,325,69,21,21,0,75
"3","E1",2024-04-13,"West Brom","Sunderland",0,1,"A",0,1,"A",1.86,3.59,4.57,"0-1","0-1",8,3,9,3,3,3,1,0,1,5,15,12,1,6,27,"1-5","N","N","N",6,1,"2024-04-13-West Brom-Sunderland","Matt Donohue",1,0.3,0.4,47,85,1650,85,510,6,282,510,1,1,0,0,3,2,0,0,10,10,20,30,20,50,1000,259,0,196,0,259,196,455,42,31,31,0,78
"4","E1",2024-04-20,"Sunderland","Millwall",0,1,"A",0,0,"D",2.23,3.26,3.59,"0-0","0-1",13,3,4,1,3,2,0,0,11,4,11,9,1,15,20,"11-4","N","N","N",5,0,"2024-04-20-Sunderland-Millwall","Anthony Backhouse",1,0.8,0.1,71,50,600,50,750,15,1065,750,1,1,0,0,2,1,0,0,10,10,20,20,10,30,600,190,0,130,0,190,130,320,12,43,12,0,85
"5","E1",2024-04-27,"Watford","Sunderland",1,0,"H",0,0,"D",2.41,3.17,3.25,"0-0","1-0",10,3,11,6,2,1,0,0,3,3,11,9,1,6,20,"3-3","N","N","N",3,0,"2024-04-27-Watford-Sunderland","Oliver Langford",1,0.4,1.5,64,30,200,30,180,6,384,180,1,0,0,0,1,1,0,0,10,0,10,10,10,20,200,96,0,58,0,96,58,154,10,58,10,0,48
"6","E1",2024-05-04,"Sunderland","Sheffield Weds",0,2,"A",0,2,"A",2.82,3.18,2.7,"0-2","0-2",18,3,12,2,1,1,0,0,6,5,4,19,2,11,23,"6-5","Y","N","N",2,0,"2024-05-04-Sunderland-Sheffield Weds","Gavin Ward",2,1.7,1.3,67,20,100,40,220,22,737,440,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,49,0,78,0,49,78,127,49,78,49,0,73
"7","E1",2024-04-06,"Middlesbrough","Swansea",2,0,"H",1,0,"H",1.83,3.95,4.24,"1-0","2-0",12,4,7,1,2,2,0,0,4,6,16,16,2,10,32,"4-6","Y","N","N",4,0,"2024-04-06-Middlesbrough-Swansea","Rebecca Welch",2,1.2,0.7,125,40,400,80,400,20,1250,800,0,0,0,0,2,2,0,0,0,0,0,20,20,40,0,165,0,164,0,165,164,329,81,78,78,0,80
"8","E1",2024-04-10,"Hull","Middlesbrough",2,2,"D",2,1,"H",2.42,3.61,2.91,"2-1","2-2",18,7,13,6,3,0,0,0,9,3,8,7,4,12,15,"9-3","Y","Y","Y",3,0,"2024-04-10-Hull-Middlesbrough","Gavin Ward",4,1.7,1.8,145,30,0,120,360,48,1740,1440,0,0,0,0,3,0,0,0,0,0,0,30,0,30,0,261,0,0,0,261,0,261,84,0,84,0,111
"9","E1",2024-04-13,"Ipswich","Middlesbrough",1,1,"D",1,1,"D",1.83,4.04,4.16,"1-1","1-1",21,5,11,5,2,2,0,0,6,4,11,6,2,10,17,"6-4","Y","N","N",4,0,"2024-04-13-Ipswich-Middlesbrough","Samuel Allison",2,2.1,1.3,50,40,400,80,400,20,500,800,0,0,0,0,2,2,0,0,0,0,0,20,20,40,0,144,0,150,0,144,150,294,49,57,49,0,80
"10","E1",2024-04-22,"Middlesbrough","Leeds",3,4,"A",2,3,"A",4.31,3.94,1.8,"2-3","3-4",13,5,8,5,3,1,0,0,11,4,14,11,7,15,25,"11-4","Y","Y","Y",4,0,"2024-04-22-Middlesbrough-Leeds","Tony Harrington",7,1.1,2.5,256,40,300,280,600,105,3840,4200,1,1,0,0,2,0,0,0,10,10,20,20,0,20,400,193,0,47,0,193,47,240,35,47,35,1,180
