"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","n","Home_xG","Away_xG","Total_Goalmins","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","TGMXcorners","GoalsXcornerXbookings","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","E1",2024-04-06,"Blackburn","Southampton",0,0,"D",0,0,"D",4.09,4.15,1.82,"0-0","0-0",11,3,7,2,3,2,0,0,1,5,17,8,0,6,25,"1-5","N","N","N",5,0,"2024-04-06-Blackburn-Southampton","Craig Pawson",0,1,1.1,0,50,600,0,300,0,0,0,0,0,0,0,3,2,0,0,0,0,0,30,20,50,0,241,0,157,0,241,157,398,59,62,59,0,43
"2","E1",2024-04-10,"Bristol City","Blackburn",5,0,"H",2,0,"H",2.56,3.26,2.99,"2-0","5-0",15,7,9,4,0,2,0,0,6,8,7,15,5,14,22,"6-8","Y","Y","Y",2,0,"2024-04-10-Bristol City-Blackburn","Robert Madley",5,3.4,0.6,303,20,0,100,280,70,4242,1400,0,1,0,0,0,1,0,0,0,10,10,0,10,10,100,0,0,106,0,0,106,106,0,29,29,2,147
"3","E1",2024-04-13,"Leeds","Blackburn",0,1,"A",0,0,"D",1.35,5.46,8.57,"0-0","0-1",19,5,3,2,1,4,0,0,12,1,5,15,1,13,20,"12-1","N","N","N",5,0,"2024-04-13-Leeds-Blackburn","James Bell",1,1.4,0.6,82,50,400,50,650,13,1066,650,0,2,0,0,1,2,0,0,0,20,20,10,20,30,600,97,0,202,0,97,202,299,97,28,28,0,79
"4","E1",2024-04-21,"Blackburn","Sheffield Weds",1,3,"A",1,1,"D",2.09,3.54,3.68,"1-1","1-3",8,3,11,5,3,3,0,0,6,2,9,12,4,8,21,"6-2","Y","Y","Y",6,0,"2024-04-21-Blackburn-Sheffield Weds","Joshua Smith",4,1,1.7,73,60,900,240,480,32,584,1920,0,0,0,0,3,3,0,0,0,0,0,30,30,60,0,230,0,229,0,230,229,459,61,67,61,0,114
"5","E1",2024-04-27,"Blackburn","Coventry",0,0,"D",0,0,"D",2.16,3.71,3.3,"0-0","0-0",30,8,6,1,0,1,0,1,10,2,10,9,0,12,19,"10-2","N","N","N",1,1,"2024-04-27-Blackburn-Coventry","Anthony Backhouse",0,2.6,0.3,0,35,0,0,420,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,35,35,0,0,0,50,124,0,174,174,0,50,50,0,56
"6","E1",2024-05-04,"Leicester","Blackburn",0,2,"A",0,0,"D",1.69,3.83,5.28,"0-0","0-2",14,7,9,2,2,2,0,0,7,4,5,7,2,11,12,"7-4","Y","N","N",4,0,"2024-05-04-Leicester-Blackburn","Andrew Kitchen",2,1.3,1.7,162,40,400,80,440,22,1782,880,1,0,0,0,1,2,0,0,10,0,10,10,20,30,300,94,0,155,0,94,155,249,36,69,36,0,83
"7","E1",2024-04-09,"Southampton","Coventry",2,1,"H",2,0,"H",1.79,4.4,3.97,"2-0","2-1",13,6,9,2,1,2,0,0,6,8,15,15,3,14,30,"6-8","Y","Y","N",3,0,"2024-04-09-Southampton-Coventry","James Linington",3,1.4,1.5,134,30,200,90,420,42,1876,1260,1,2,0,0,0,0,0,0,10,20,30,0,0,0,0,42,0,43,0,42,43,85,42,3,3,1,112
"8","E1",2024-04-13,"Birmingham","Coventry",3,0,"H",2,0,"H",3.05,3.69,2.3,"2-0","3-0",15,4,12,2,3,2,0,0,3,6,13,12,3,9,25,"3-6","Y","Y","N",5,0,"2024-04-13-Birmingham-Coventry","Thomas Bramall",3,1.4,0.6,100,50,600,150,450,27,900,1350,1,0,0,0,2,2,0,0,10,0,10,20,20,40,400,151,0,126,0,151,126,277,18,54,18,0,97
"9","E1",2024-04-24,"Coventry","Hull",2,3,"A",1,2,"A",2.24,3.8,3.09,"1-2","2-3",7,3,14,8,2,4,0,0,4,8,7,13,5,12,20,"4-8","Y","Y","Y",6,0,"2024-04-24-Coventry-Hull","Leigh Doughty",5,0.5,2,249,60,800,300,720,60,2988,3600,2,3,0,0,0,1,0,0,20,30,50,0,10,10,500,94,0,206,0,94,206,300,47,42,42,1,151
"10","E1",2024-04-27,"Blackburn","Coventry",0,0,"D",0,0,"D",2.16,3.71,3.3,"0-0","0-0",30,8,6,1,0,1,0,1,10,2,10,9,0,12,19,"10-2","N","N","N",1,1,"2024-04-27-Blackburn-Coventry","Anthony Backhouse",0,2.6,0.3,0,35,0,0,420,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,35,35,0,0,0,50,124,0,174,174,0,50,50,0,56
"11","E1",2024-04-30,"Coventry","Ipswich",1,2,"A",0,1,"A",4.55,4.21,1.73,"0-1","1-2",13,3,14,9,1,1,0,0,7,6,10,13,3,13,23,"7-6","Y","Y","N",2,0,"2024-04-30-Coventry-Ipswich","James Bell",3,1,1.5,141,20,100,60,260,39,1833,780,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,102,0,75,0,102,75,177,102,75,75,0,94
"12","E1",2024-05-04,"Coventry","QPR",1,2,"A",0,2,"A",2.2,3.62,3.25,"0-2","1-2",19,6,7,4,2,3,0,0,10,5,13,11,3,15,24,"10-5","Y","Y","N",5,0,"2024-05-04-Coventry-QPR","Joshua Smith",3,1.8,0.5,156,50,600,150,750,45,2340,2250,1,1,0,0,1,2,0,0,10,10,20,10,20,30,600,113,0,166,0,113,166,279,40,22,22,0,115
