,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS,HS,HST,AS,AST,HY,AY,HR,AR,HCO,ACO,HF,AF,TG,TC,TF,COSC,OV15,OV25,OV35,TY,TR,matchid,laliga_goalmins,n,laliga_shirts,Bookings,Crossbookings,GoalsXbookings,CornersXbookings,ShirtsXbookings,GoalsXcorners,GoalsXshirts,ShirtsXcorners,TGMXcorners,GoalsXcornerXbookings
56,SP1,9/18/2022,Osasuna,Getafe,0,2,A,0,1,A,1.88,3.25,5.45,0-1,0-2,12,4,10,4,7,3,1,1,8,1,15,15,2,9,30,1-Aug,Y,N,N,10,2,Osasuna-Getafe,106,2,25,150,5225,300,1350,3750,18,50,225,954,2700
63,SP1,10/1/2022,Getafe,Valladolid,2,3,A,2,2,D,2.36,3.1,3.62,2-Feb,3-Feb,14,6,14,7,2,4,0,0,4,2,23,13,5,6,36,2-Apr,Y,Y,Y,6,0,Getafe-Valladolid,0,0,0,60,800,300,360,0,30,0,0,0,1800
75,SP1,10/8/2022,Getafe,Real Madrid,0,1,A,0,1,A,7.16,4.59,1.5,0-1,0-1,9,2,19,4,0,0,0,0,4,4,10,5,1,8,15,4-Apr,N,N,N,0,0,Getafe-Real Madrid,3,1,3,0,0,0,0,0,8,3,24,24,0
81,SP1,10/14/2022,Vallecano,Getafe,0,0,D,0,0,D,2.09,3.16,4.39,0-0,0-0,16,3,6,3,2,3,0,0,4,1,13,17,0,5,30,1-Apr,N,N,N,5,0,Vallecano-Getafe,0,0,0,50,600,0,250,0,0,0,0,0,0
92,SP1,10/18/2022,Getafe,Ath Bilbao,2,2,D,1,1,D,4.72,3.39,1.93,1-Jan,2-Feb,11,4,14,4,7,4,0,0,7,4,14,11,4,11,25,4-Jul,Y,Y,Y,11,0,Getafe-Ath Bilbao,167,4,59,110,2800,440,1210,6490,44,236,649,1837,4840
110,SP1,10/24/2022,Celta,Getafe,1,1,D,0,1,A,1.79,3.54,5.42,0-1,1-Jan,17,5,4,1,1,1,0,0,10,0,10,13,2,10,23,Oct-00,Y,N,N,2,0,Celta-Getafe,132,2,25,20,100,40,200,500,20,50,250,1320,400
120,SP1,10/31/2022,Elche,Getafe,0,1,A,0,0,D,2.76,3.08,2.98,0-0,0-1,12,5,8,3,0,3,0,1,6,2,12,11,1,8,23,2-Jun,N,N,N,3,1,Elche-Getafe,54,1,10,55,0,55,440,550,8,10,80,432,440
1221,SP1,11/5/2022,Getafe,Cadiz,0,0,D,0,0,D,2.24,3.1,3.94,0-0,0-0,13,2,15,4,5,2,2,1,5,5,15,16,0,10,31,5-May,N,N,N,7,3,Getafe-Cadiz,0,0,0,145,4500,0,1450,0,0,0,0,0,0
134,SP1,11/9/2022,Almeria,Getafe,1,0,H,1,0,H,2.27,3.2,3.72,Jan-00,Jan-00,8,3,11,3,8,4,1,0,7,6,17,8,1,13,25,6-Jul,N,N,N,12,1,Almeria-Getafe,26,1,12,145,4200,145,1885,1740,13,12,156,338,1885
144,SP1,12/30/2022,Getafe,Mallorca,2,0,H,0,0,D,2.91,2.78,3.15,0-0,Feb-00,14,6,3,0,0,1,0,0,4,2,10,19,2,6,29,2-Apr,Y,N,N,1,0,Getafe-Mallorca,129,2,38,10,0,20,60,380,12,76,228,774,120
158,SP1,1/8/2023,Sevilla,Getafe,2,1,H,1,0,H,1.79,3.49,5.58,Jan-00,1-Feb,11,5,11,2,3,3,0,0,4,4,13,16,3,8,29,4-Apr,Y,Y,N,6,0,Sevilla-Getafe,203,3,50,60,900,180,480,3000,24,150,400,1624,1440
166,SP1,1/15/2023,Getafe,Espanol,1,2,A,1,1,D,2.59,3.02,3.29,1-Jan,2-Jan,10,2,10,4,2,3,0,0,5,1,20,13,3,6,33,1-May,Y,Y,N,5,0,Getafe-Espanol,75,3,26,50,600,150,300,1300,18,78,156,450,900
176,SP1,1/22/2023,Barcelona,Getafe,1,0,H,1,0,H,1.19,7.62,17.95,Jan-00,Jan-00,8,4,7,3,1,2,0,0,4,2,11,6,1,6,17,2-Apr,N,N,N,3,0,Barcelona-Getafe,35,1,8,30,200,30,180,240,6,8,48,210,180
183,SP1,1/28/2023,Getafe,Betis,0,1,A,0,0,D,3.3,2.88,2.69,0-0,0-1,6,1,13,2,4,2,0,0,6,1,25,12,1,7,37,1-Jun,N,N,N,6,0,Getafe-Betis,86,1,9,60,800,60,420,540,7,9,63,602,420
194,SP1,2/4/2023,Ath Madrid,Getafe,1,1,D,0,0,D,1.42,4.31,10.91,0-0,1-Jan,12,4,9,1,3,5,0,0,8,0,11,18,2,8,29,Aug-00,Y,N,N,8,0,Ath Madrid-Getafe,143,2,20,80,1500,160,640,1600,16,40,160,1144,1280
205,SP1,2/12/2023,Getafe,Vallecano,1,1,D,0,1,A,2.96,2.85,3.01,0-1,1-Jan,13,4,19,4,4,4,1,0,5,6,21,19,2,11,40,6-May,Y,N,N,8,1,Getafe-Vallecano,115,2,28,105,2600,210,1155,2940,22,56,308,1265,2310
220,SP1,2/20/2023,Getafe,Valencia,1,0,H,0,0,D,2.91,2.94,2.96,0-0,Jan-00,15,6,8,3,6,1,0,0,4,5,11,8,1,9,19,5-Apr,N,N,N,7,0,Getafe-Valencia,82,1,19,70,600,70,630,1330,9,19,171,738,630
230,SP1,2/27/2023,Villarreal,Getafe,2,1,H,1,1,D,1.7,3.68,6.1,1-Jan,1-Feb,11,5,8,3,0,1,0,0,6,6,9,13,3,12,22,6-Jun,Y,Y,N,1,0,Villarreal-Getafe,105,3,43,10,0,30,120,430,36,129,516,1260,360
232,SP1,3/4/2023,Getafe,Girona,3,2,H,3,0,H,2.84,2.95,2.97,Mar-00,2-Mar,10,6,9,7,5,4,0,0,3,3,24,11,5,6,35,3-Mar,Y,Y,Y,9,0,Getafe-Girona,193,5,51,90,2000,450,540,4590,30,255,306,1158,2700
49,SP1,3/4/2023,Getafe,Girona,3,2,H,3,0,H,2.84,2.95,2.97,Mar-00,2-Mar,10,6,9,7,5,4,0,0,3,3,24,11,5,6,35,3-Mar,Y,Y,Y,9,0,Getafe-Girona,111.6041667,2.125,24.5,68.02083333,1313.541667,157.8125,618.75,1688.854167,18.75,80.54166667,214.0625,937.7916667,1380.9375
