"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","COSC","OV15","OV25","OV35","TY","TR","matchid","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"6","SP1",2022-08-14,"Valencia","Girona",1,0,"H",1,0,"H",1.94,3.42,4.65,"1-0","1-0",17,2,5,1,2,3,1,0,4,4,1,8,"4-4","N","N","N",5,1,"Valencia-Girona",45,1,0,75,1350,75,600,0,8,0,0,360,600
"16","SP1",2022-08-21,"Ath Bilbao","Valencia",1,0,"H",1,0,"H",1.81,3.59,5.2,"1-0","1-0",12,2,10,0,5,2,0,0,6,3,1,9,"6-3","N","N","N",7,0,"Ath Bilbao-Valencia",43,1,0,70,1000,70,630,0,9,0,0,387,630
"30","SP1",2022-08-29,"Valencia","Ath Madrid",0,1,"A",0,0,"D",4.13,3.37,2.06,"0-0","0-1",12,2,13,7,4,3,0,0,6,2,1,8,"6-2","N","N","N",7,0,"Valencia-Ath Madrid",66,1,0,70,1200,70,560,0,8,0,0,528,560
"39","SP1",2022-09-04,"Valencia","Getafe",5,1,"H",3,0,"H",2.01,3.12,4.85,"3-0","5-1",24,9,7,4,3,6,1,1,9,1,6,10,"9-1","Y","Y","Y",9,2,"Valencia-Getafe",248,6,0,140,4675,840,1400,0,60,0,0,2480,8400
"42","SP1",2022-09-10,"Vallecano","Valencia",2,1,"H",1,0,"H",2.69,3.16,3,"1-0","2-1",14,6,17,4,5,2,0,0,7,7,3,14,"7-7","Y","Y","N",7,0,"Vallecano-Valencia",147,3,0,70,1000,210,980,0,42,0,0,2058,2940
"54","SP1",2022-09-17,"Valencia","Celta",3,0,"H",1,0,"H",2.42,3.22,3.36,"1-0","3-0",14,7,6,2,3,2,0,1,5,4,3,9,"5-4","Y","Y","N",5,1,"Valencia-Celta",209,3,0,75,1350,225,675,0,27,0,0,1881,2025
"66","SP1",2022-10-02,"Espanol","Valencia",2,2,"D",0,0,"D",2.8,3.29,2.77,"0-0","2-2",10,5,12,5,2,1,1,1,6,4,4,10,"6-4","Y","Y","Y",3,2,"Espanol-Valencia",282,4,0,80,1575,320,800,0,40,0,0,2820,3200
"71","SP1",2022-10-07,"Osasuna","Valencia",1,2,"A",0,1,"A",2.46,3.27,3.22,"0-1","1-2",11,2,15,7,3,6,2,1,7,5,3,12,"7-5","Y","Y","N",9,3,"Osasuna-Valencia",172,3,0,165,6800,495,1980,0,36,0,0,2064,5940
"83","SP1",2022-10-15,"Valencia","Elche",2,2,"D",2,1,"H",1.42,4.98,8.4,"2-1","2-2",20,8,8,6,3,6,0,0,6,1,4,7,"6-1","Y","Y","Y",9,0,"Valencia-Elche",180,4,0,90,1800,360,630,0,28,0,0,1260,2520
"91","SP1",2022-10-18,"Sevilla","Valencia",1,1,"D",0,1,"A",2.34,3.43,3.3,"0-1","1-1",18,5,13,5,4,7,1,0,11,6,2,17,"11-6","Y","N","N",11,1,"Sevilla-Valencia",92,2,0,135,4550,270,2295,0,34,0,0,1564,4590
