"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","OV15","OV25","OV35","TY","TR","matchid","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"44","SP1",2022-09-10,"Cadiz","Barcelona",0,4,"A",0,0,"D",14,6.18,1.25,"0-0","0-4",6,0,16,8,1,2,0,0,5,6,4,11,"Y","Y","Y",3,0,"Cadiz-Barcelona",296,4,47,30,200,120,330,1410,44,188,517,3256,1320
"53","SP1",2022-09-17,"Barcelona","Elche",3,0,"H",2,0,"H",1.11,11.42,23.95,"2-0","3-0",25,9,1,1,2,2,0,1,6,0,3,6,"Y","Y","N",4,1,"Barcelona-Elche",123,3,32,65,900,195,390,2080,18,96,192,738,1170
"65","SP1",2022-10-01,"Mallorca","Barcelona",0,1,"A",0,1,"A",8.8,5.53,1.37,"0-1","0-1",13,3,11,3,2,4,0,0,5,5,1,10,"N","N","N",6,0,"Mallorca-Barcelona",20,1,9,60,800,60,600,540,10,9,90,200,600
"79","SP1",2022-10-09,"Barcelona","Celta",1,0,"H",1,0,"H",1.29,5.99,11.48,"1-0","1-0",13,5,14,3,2,4,0,0,6,3,1,9,"N","N","N",6,0,"Barcelona-Celta",17,1,8,60,800,60,540,480,9,8,72,153,540
"87","SP1",2022-10-16,"Real Madrid","Barcelona",3,1,"H",2,0,"H",2.32,3.65,3.16,"2-0","3-1",8,4,18,5,2,2,0,0,2,3,4,5,"Y","Y","Y",4,0,"Real Madrid-Barcelona",220,4,56,40,400,160,200,2240,20,224,280,1100,800
"100","SP1",2022-10-20,"Barcelona","Villarreal",3,0,"H",3,0,"H",1.5,4.91,6.48,"3-0","3-0",16,5,5,1,0,1,0,0,8,0,3,8,"Y","Y","N",1,0,"Barcelona-Villarreal",104,3,28,10,0,30,80,280,24,84,224,832,240
"109","SP1",2022-10-23,"Barcelona","Ath Bilbao",4,0,"H",3,0,"H",1.56,4.62,5.94,"3-0","4-0",10,7,5,3,2,2,0,0,1,2,4,3,"Y","Y","Y",4,0,"Barcelona-Ath Bilbao",125,4,47,40,400,160,120,1880,12,188,141,375,480
"115","SP1",2022-10-29,"Valencia","Barcelona",0,1,"A",0,0,"D",5.55,4.48,1.61,"0-0","0-1",3,2,13,2,4,5,0,0,3,10,1,13,"N","N","N",9,0,"Valencia-Barcelona",90,1,0,90,2000,90,1170,0,13,0,0,1170,1170
"125","SP1",2022-11-05,"Barcelona","Almeria",2,0,"H",0,0,"D",1.1,11.76,29.47,"0-0","2-0",27,13,4,1,2,1,0,0,9,1,2,10,"Y","N","N",3,0,"Barcelona-Almeria",110,2,28,30,200,60,300,840,20,56,280,1100,600
"133","SP1",2022-11-08,"Osasuna","Barcelona",1,2,"A",1,0,"H",6.35,4.36,1.56,"1-0","1-2",15,3,9,3,4,4,0,2,2,5,3,7,"Y","Y","N",8,2,"Osasuna-Barcelona",139,3,35,130,3600,390,910,4550,21,105,245,973,2730
"148","SP1",2022-12-31,"Barcelona","Espanol",1,1,"D",1,0,"H",1.26,6.57,11.89,"1-0","1-1",21,6,4,1,6,7,1,1,10,2,2,12,"Y","N","N",13,2,"Barcelona-Espanol",80,2,26,180,8075,360,2160,4680,24,52,312,960,4320
"159","SP1",2023-01-08,"Ath Madrid","Barcelona",0,1,"A",0,1,"A",3.21,3.51,2.35,"0-1","0-1",20,5,10,2,2,3,1,1,7,4,1,11,"N","N","N",5,2,"Ath Madrid-Barcelona",22,1,7,100,2475,100,1100,700,11,7,77,242,1100
"1761","SP1",2023-01-22,"Barcelona","Getafe",1,0,"H",1,0,"H",1.19,7.62,17.95,"1-0","1-0",8,4,7,3,1,2,0,0,4,2,1,6,"N","N","N",3,0,"Barcelona-Getafe",35,1,8,30,200,30,180,240,6,8,48,210,180
"181","SP1",2023-01-28,"Girona","Barcelona",0,1,"A",0,0,"D",5.32,4.39,1.64,"0-0","0-1",8,2,8,3,2,3,1,0,4,2,1,6,"N","N","N",5,1,"Girona-Barcelona",61,1,8,75,1350,75,450,600,6,8,48,366,450
"38","SP1",2023-01-28,"Girona","Barcelona",0,1,"A",0,0,"D",5.32,4.39,1.64,"0-0","0-1",8,2,8,3,2,3,1,0,4,2,1,6,"N","N","N",5,1,"Girona-Barcelona",95.972972972973,2.05405405405405,22.5675675675676,67.972972972973,1479.72972972973,151.351351351351,610.810810810811,1383.51351351351,19.7837837837838,68.8648648648649,184.027027027027,808.351351351351,1343.37837837838
