"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","OV15","OV25","OV35","TY","TR","matchid","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"4","SP1",2022-08-13,"Barcelona","Vallecano",0,0,"D",0,0,"D",1.22,6.83,15,"0-0","0-0",21,6,4,2,3,6,1,0,8,0,0,8,"N","N","N",9,1,"Barcelona-Vallecano",0,0,0,115,3300,0,920,0,0,0,0,0,0
"11","SP1",2022-08-19,"Espanol","Vallecano",0,2,"A",0,1,"A",2.56,3.04,3.3,"0-1","0-2",13,1,8,3,2,5,1,1,9,2,2,11,"Y","N","N",7,2,"Espanol-Vallecano",99,2,28,120,3375,240,1320,3360,22,56,308,1089,2640
"24","SP1",2022-08-27,"Vallecano","Mallorca",0,2,"A",0,1,"A",2.08,3.23,4.3,"0-1","0-2",15,0,9,4,1,3,0,0,7,3,2,10,"Y","N","N",4,0,"Vallecano-Mallorca",77,2,26,40,300,80,400,1040,20,52,260,770,800
"36","SP1",2022-09-04,"Osasuna","Vallecano",2,1,"H",0,0,"D",2.07,3.09,4.61,"0-0","2-1",13,6,5,3,2,2,0,0,4,0,3,4,"Y","Y","N",4,0,"Osasuna-Vallecano",219,3,55,40,400,120,160,2200,12,165,220,876,480
"42","SP1",2022-09-10,"Vallecano","Valencia",2,1,"H",1,0,"H",2.69,3.16,3,"1-0","2-1",14,6,17,4,5,2,0,0,7,7,3,14,"Y","Y","N",7,0,"Vallecano-Valencia",147,3,0,70,1000,210,980,0,42,0,0,2058,2940
"55","SP1",2022-09-17,"Ath Bilbao","Vallecano",3,2,"H",3,1,"H",1.56,4.19,6.92,"3-1","3-2",14,7,11,2,1,2,0,0,2,7,5,9,"Y","Y","Y",3,0,"Ath Bilbao-Vallecano",160,5,45,30,200,150,270,1350,45,225,405,1440,1350
"70","SP1",2022-10-03,"Vallecano","Elche",2,1,"H",1,1,"D",1.74,3.82,5.31,"1-1","2-1",15,6,5,2,1,8,0,0,13,3,3,16,"Y","Y","N",9,0,"Vallecano-Elche",162,3,60,90,800,270,1440,5400,48,180,960,2592,4320
"72","SP1",2022-10-08,"Almeria","Vallecano",3,1,"H",3,0,"H",3.12,3.23,2.55,"3-0","3-1",10,4,12,4,4,2,1,0,7,6,4,13,"Y","Y","Y",6,1,"Almeria-Vallecano",145,4,41,85,1300,340,1105,3485,52,164,533,1885,4420
"81","SP1",2022-10-14,"Vallecano","Getafe",0,0,"D",0,0,"D",2.09,3.16,4.39,"0-0","0-0",16,3,6,3,2,3,0,0,4,1,0,5,"N","N","N",5,0,"Vallecano-Getafe",0,0,0,50,600,0,250,0,0,0,0,0,0
"93","SP1",2022-10-18,"Ath Madrid","Vallecano",1,1,"D",1,0,"H",1.53,4.07,8.09,"1-0","1-1",12,4,14,4,3,0,0,0,3,4,2,7,"Y","N","N",3,0,"Ath Madrid-Vallecano",110,2,28,30,0,60,210,840,14,56,196,770,420
