,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS,HS,HST,AS,AST,HY,AY,HR,AR,HCO,ACO,HF,AF,TG,TC,TF,COSC,OV15,OV25,OV35,TY,TR,matchid,Referee,n,Home_xG,Away_xG,Total_Goalmins,Home_first_GoalTime,Away_first_GoalTime,match_First_GoalTime,Bookings,Crossbookings,GoalsXbookings,CornersXbookings,GoalsXcorners,TGMXcorners,GoalsXcornerXbookings,FH_HYC,FH_AYC,FH_HRC,FH_ARC,SH_HYC,SH_AYC,SH_HRC,SH_ARC,FH_HomeBookings,FH_AwayBookings,FH_TotalBookings,SH_HomeBookings,SH_AwayBookings,SH_TotalBookings,MultiBookings,Home_YCmins,Home_RCmins,Away_YCmins,Away_RCmins,Home_TotalCardmins,Away_TotalCardmins,match_TotalCardmins,Home_first_YCTime,Away_first_YCTime,match_First_YCTime,Penalty,MatchPerfomance
1,D2,01/09/2024,Braunschweig,Karlsruhe,1,2,A,1,0,H,3.42,3.88,1.99,1-0,01-Feb,7,1,11,3,2,1,0,0,1,6,9,10,3,7,19,01-Jun,Y,Y,N,3,0,2024-09-01-Braunschweig-Karlsruhe,Tom Bauer,3,1.4,1.3,174,14,73,14,30,200,90,210,21,1218,630,0,1,0,0,2,0,0,0,0,10,10,20,0,20,200,190,0,39,0,190,39,229,95,39,39,0,81
2,D2,13/09/2024,Karlsruhe,Schalke 04,2,0,H,1,0,H,1.9,4.01,3.79,1-0,2-0,14,4,8,2,4,1,0,0,4,3,8,14,2,7,22,04-Mar,Y,N,N,5,0,2024-09-13-Karlsruhe-Schalke 04,Tobias Welz,2,2.2,0.6,121,48,0,48,50,400,100,350,14,847,700,3,1,0,0,1,0,0,0,30,10,40,10,0,10,400,155,0,43,0,155,43,198,3,43,3,0,76
3,D2,22/09/2024,Magdeburg,Karlsruhe,2,2,D,1,2,A,2.8,3.66,2.4,01-Feb,02-Feb,13,4,7,3,3,3,0,0,2,5,9,9,4,7,18,02-May,Y,Y,Y,6,0,2024-09-22-Magdeburg-Karlsruhe,Patrick Alt,4,1.9,1,137,5,24,5,60,900,240,420,28,959,1680,0,1,0,0,3,2,0,0,0,10,10,30,20,50,500,220,0,137,0,220,137,357,62,7,7,0,111
4,D2,29/09/2024,FC Koln,Karlsruhe,4,4,D,4,2,H,1.57,4.52,5.15,04-Feb,04-Apr,16,5,19,7,0,3,0,0,3,8,8,9,8,11,17,03-Aug,Y,Y,Y,3,0,2024-09-29-FC Koln-Karlsruhe,Benjamin Brand,8,1.6,1.7,225,3,19,3,30,0,240,330,88,2475,2640,0,2,0,0,0,1,0,0,0,20,20,0,10,10,200,0,0,116,0,0,116,116,0,6,6,0,168
5,D2,31/08/2024,Elversberg,Darmstadt,4,0,H,2,0,H,2.37,3.76,2.85,2-0,4-0,17,4,13,5,2,3,0,0,8,11,10,17,4,19,27,08-Nov,Y,Y,Y,5,0,2024-08-31-Elversberg-Darmstadt,Lukas Benen,4,2.4,0.6,174,5,0,5,50,600,200,950,76,3306,3800,1,2,0,0,1,1,0,0,10,20,30,10,10,20,600,103,0,196,0,103,196,299,45,33,33,0,142
6,D2,14/09/2024,Darmstadt,Braunschweig,1,1,D,1,0,H,1.79,3.99,4.06,1-0,01-Jan,15,3,14,3,1,7,0,0,2,10,10,13,2,12,23,02-Oct,Y,N,N,8,0,2024-09-14-Darmstadt-Braunschweig,Felix Prigan,2,1.6,0.9,114,28,86,28,80,700,160,960,24,1368,1920,0,4,0,0,1,3,0,0,0,40,40,10,30,40,1600,97,0,396,0,97,396,493,97,5,5,0,106
7,D2,20/09/2024,Schalke 04,Darmstadt,3,5,A,3,1,H,1.96,3.8,3.84,03-Jan,03-May,18,7,11,9,4,7,0,0,3,3,13,14,8,6,27,03-Mar,Y,Y,Y,11,0,2024-09-20-Schalke 04-Darmstadt,Florian Heft,8,1.5,1.8,452,14,56,14,110,2800,880,660,48,2712,5280,0,3,0,0,4,4,0,0,0,30,30,40,40,80,2400,242,0,394,0,242,394,636,46,9,9,1,203
8,D2,28/09/2024,Darmstadt,Magdeburg,1,2,A,1,1,D,2.23,3.86,3.01,01-Jan,01-Feb,17,7,11,3,4,5,0,1,8,4,12,16,3,12,28,08-Apr,Y,Y,N,9,1,2024-09-28-Darmstadt-Magdeburg,Michael Bacher,3,1.8,1.1,81,11,22,11,115,3000,345,1380,36,972,4140,1,1,0,0,3,3,0,0,10,10,20,30,30,60,1200,272,0,260,0,272,260,532,17,41,17,0,141
9,D2,28/09/2024,Darmstadt,Magdeburg,1,2,A,1,1,D,2.23,3.86,3.01,01-Jan,01-Feb,17,7,11,3,4,5,0,1,8,4,12,16,3,12,28,08-Apr,Y,Y,N,9,1,2024-09-28-Darmstadt-Magdeburg,Michael Bacher,4.25,1.8,1.125,184.75,16,35,16,65.625,1075,281.875,657.5,41.875,1732.125,2598.75,0.625,1.875,0,0,1.875,1.75,0,0,6.25,18.75,25,18.75,17.5,36.25,887.5,159.875,0,197.625,0,159.875,197.625,357.5,45.625,22.875,14.875,0.125,128.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,22,,,,,,,,Florian Lechner,10,465,47,6050,605,3600,360,48,33,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
