,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS,HS,HST,AS,AST,HY,AY,HR,AR,HCO,ACO,HF,AF,TG,TC,TF,COSC,OV15,OV25,OV35,TY,TR,matchid,Referee,n,Home_xG,Away_xG,Total_Goalmins,Home_first_GoalTime,Away_first_GoalTime,match_First_GoalTime,Bookings,Crossbookings,GoalsXbookings,CornersXbookings,GoalsXcorners,TGMXcorners,GoalsXcornerXbookings,FH_HYC,FH_AYC,FH_HRC,FH_ARC,SH_HYC,SH_AYC,SH_HRC,SH_ARC,FH_HomeBookings,FH_AwayBookings,FH_TotalBookings,SH_HomeBookings,SH_AwayBookings,SH_TotalBookings,MultiBookings,Home_YCmins,Home_RCmins,Away_YCmins,Away_RCmins,Home_TotalCardmins,Away_TotalCardmins,match_TotalCardmins,Home_first_YCTime,Away_first_YCTime,match_First_YCTime,Penalty,MatchPerfomance
1,D2,24/08/2024,Greuther Furth,Paderborn,1,1,D,0,0,D,2.59,3.68,2.62,0-0,01-Jan,14,3,13,4,2,4,0,0,7,5,12,16,2,12,28,07-May,Y,N,N,6,0,2024-08-24-Greuther Furth-Paderborn,NA,2,0.8,2,130,49,81,49,60,800,120,720,24,1560,1440,1,1,0,0,0,2,0,0,10,10,20,0,20,20,400,29,0,192,0,29,192,221,29,43,29,0,96
2,D2,30/08/2024,Regensburg,Greuther Furth,0,4,A,0,1,A,2.8,3.51,2.56,0-1,0-4,17,7,21,9,3,2,0,0,7,4,14,8,4,11,22,07-Apr,Y,Y,Y,5,0,2024-08-30-Regensburg-Greuther Furth,0,4,2,2.1,218,0,4,4,50,600,200,550,44,2398,2200,1,0,0,0,2,2,0,0,10,0,10,20,20,40,400,129,0,167,0,129,167,296,12,81,12,0,118
3,D2,15/09/2024,Greuther Furth,Elversberg,0,0,D,0,0,D,1.9,3.97,3.61,0-0,0-0,10,2,15,6,3,1,0,0,8,6,10,13,0,14,23,08-Jun,N,N,N,4,0,2024-09-15-Greuther Furth-Elversberg,Eric-Dominic Weisbach,0,0.4,1.7,53,0,0,0,40,300,0,560,0,742,0,0,0,0,0,3,1,0,0,0,0,0,30,10,40,0,202,0,75,0,202,75,277,52,75,52,1,72
4,D2,21/09/2024,Braunschweig,Greuther Furth,2,0,H,1,0,H,2.93,3.63,2.38,1-0,2-0,20,11,9,1,3,6,0,0,8,1,13,18,2,9,31,08-Jan,Y,N,N,9,0,2024-09-21-Braunschweig-Greuther Furth,Lars Erbst,2,3.3,0.5,93,33,0,33,90,1800,180,810,18,837,1620,0,2,0,0,3,4,0,0,0,20,20,30,40,70,1400,196,0,361,0,196,361,557,53,16,16,0,102
5,D2,25/08/2024,Ulm,Fortuna Dusseldorf,1,2,A,1,0,H,4.01,3.66,1.88,1-0,01-Feb,21,8,12,5,2,5,0,0,6,5,10,13,3,11,23,06-May,Y,Y,N,7,0,2024-08-25-Ulm-Fortuna Dusseldorf,NA,3,1.4,2.9,286,0,81,81,70,1000,210,770,33,3146,2310,1,1,0,0,1,4,0,0,10,10,20,10,40,50,1000,73,0,312,0,73,312,385,20,40,20,2,133
6,D2,30/08/2024,Fortuna Dusseldorf,Hannover,1,0,H,0,0,D,2.37,3.46,3.09,0-0,1-0,23,5,14,2,3,5,0,0,8,2,12,11,1,10,23,08-Feb,N,N,N,8,0,2024-08-30-Fortuna Dusseldorf-Hannover,Florian Heft,1,2.4,0.6,59,59,0,59,80,1500,80,800,10,590,800,0,2,0,0,3,3,0,0,0,20,20,30,30,60,1200,209,0,269,0,209,269,478,55,33,33,0,85
7,D2,15/09/2024,Hertha,Fortuna Dusseldorf,0,2,A,0,1,A,2.53,3.65,2.61,0-1,0-2,12,5,11,7,4,3,0,0,6,4,15,12,2,10,27,06-Apr,Y,N,N,7,0,2024-09-15-Hertha-Fortuna Dusseldorf,Michael Bacher,2,1,1.6,79,0,13,13,70,1200,140,700,20,790,1400,3,2,0,0,1,1,0,0,30,20,50,10,10,20,1000,144,0,173,0,144,173,317,16,37,16,0,95
8,D2,21/09/2024,Fortuna Dusseldorf,FC Koln,2,2,D,1,1,D,3.04,3.66,2.3,01-Jan,02-Feb,9,5,24,13,2,2,0,0,4,8,9,11,4,12,20,04-Aug,Y,Y,Y,4,0,2024-09-21-Fortuna Dusseldorf-FC Koln,Christian Dingert,4,1,2.2,202,25,21,21,40,400,160,480,48,2424,1920,1,1,0,0,1,1,0,0,10,10,20,10,10,20,400,111,0,89,0,111,89,200,15,11,11,0,116
9,D2,21/09/2024,Fortuna Dusseldorf,FC Koln,2,2,D,1,1,D,3.04,3.66,2.3,01-Jan,02-Feb,9,5,24,13,2,2,0,0,4,8,9,11,4,12,20,04-Aug,Y,Y,Y,4,0,2024-09-21-Fortuna Dusseldorf-FC Koln,Christian Dingert,2.25,1.5375,1.7,140,20.75,25,32.5,62.5,950,136.25,673.75,24.625,1560.875,1461.25,0.875,1.125,0,0,1.75,2.25,0,0,8.75,11.25,20,17.5,22.5,40,725,136.625,0,204.75,0,136.625,204.75,341.375,31.5,42,23.625,0.375,102.125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
