"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","n","Home_xG","Away_xG","Total_Goalmins","Home_first_GoalTime","Away_first_GoalTime","match_First_GoalTime","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","TGMXcorners","GoalsXcornerXbookings","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","D2",2025-04-05,"Darmstadt","Greuther Furth",1,0,"H",0,0,"D",1.85,3.64,4.24,"0-0","1-0",14,4,5,1,0,1,0,0,6,3,9,14,1,9,23,"6-3","N","N","N",1,0,"2025-04-05-Darmstadt-Greuther Furth","Lars Erbst",1,0,0,79,79,0,79,10,0,10,90,9,711,90,0,0,0,0,0,1,0,0,0,0,0,0,10,10,0,0,0,85,0,0,85,85,0,85,85,0,47
"2","D2",2025-04-11,"Greuther Furth","FC Koln",1,1,"D",1,1,"D",3.71,3.63,2.05,"1-1","1-1",16,7,14,5,1,6,0,0,5,5,18,15,2,10,33,"5-5","Y","N","N",7,0,"2025-04-11-Greuther Furth-FC Koln","Patrick Alt",2,0,0,57,12,0,12,70,600,140,700,20,570,1400,0,2,0,0,1,4,0,0,0,20,20,10,40,50,1000,90,0,330,0,90,330,420,90,13,13,1,105
"3","D2",2025-04-20,"Karlsruhe","Greuther Furth",1,0,"H",0,0,"D",2.27,3.63,3.01,"0-0","1-0",8,4,13,2,3,2,0,0,4,5,17,13,1,9,30,"4-5","N","N","N",5,0,"2025-04-20-Karlsruhe-Greuther Furth","Florian Heft",1,0,0,75,75,0,75,50,600,50,450,9,675,450,0,0,0,0,3,2,0,0,0,0,0,30,20,50,0,201,0,155,0,201,155,356,50,76,50,0,67
"4","D2",2025-04-25,"Greuther Furth","Ulm",0,1,"A",0,0,"D",2.21,3.47,3.43,"0-0","0-1",15,5,14,3,2,2,0,0,7,4,11,17,1,11,28,"7-4","N","N","N",4,0,"2025-04-25-Greuther Furth-Ulm","Eric-Dominic Weisbach",1,0,0,62,0,62,62,40,400,40,440,11,682,440,0,0,0,0,2,2,0,0,0,0,0,20,20,40,0,136,0,171,0,136,171,307,50,77,50,0,68
"5","D2",2025-04-04,"Braunschweig","Paderborn",3,2,"H",1,1,"D",4.55,3.89,1.79,"1-1","3-2",10,5,20,6,1,2,0,0,0,4,9,9,5,4,18,"0-4","Y","Y","Y",3,0,"2025-04-04-Braunschweig-Paderborn","0",5,0,0,265,44,25,25,30,200,150,120,20,1060,600,1,1,0,0,0,1,0,0,10,10,20,0,10,10,200,30,0,109,0,30,109,139,30,37,30,0,102
"6","D2",2025-04-11,"Hamburg","Braunschweig",2,4,"A",0,2,"A",1.39,5.4,7.55,"0-2","2-4",11,5,16,5,3,4,0,0,5,4,15,7,6,9,22,"5-4","Y","Y","Y",7,0,"2025-04-11-Hamburg-Braunschweig","0",6,0,0,378,74,40,40,70,1200,420,630,54,3402,3780,0,1,0,0,3,3,0,0,0,10,10,30,30,60,600,217,0,234,0,217,234,451,60,44,44,0,152
"7","D2",2025-04-19,"Braunschweig","Kaiserslautern",2,0,"H",0,0,"D",2.72,3.44,2.57,"0-0","2-0",19,5,13,2,5,3,0,0,6,3,13,12,2,9,25,"6-3","Y","N","N",8,0,"2025-04-19-Braunschweig-Kaiserslautern","0",2,0,0,104,51,0,51,80,1500,160,720,18,936,1440,3,2,0,0,2,1,0,0,30,20,50,20,10,30,1500,193,0,145,0,193,145,338,12,23,12,0,97
"8","D2",2025-04-26,"Regensburg","Braunschweig",1,1,"D",1,1,"D",2.98,3.39,2.45,"1-1","1-1",7,4,8,4,1,2,0,0,7,1,12,11,2,8,23,"7-1","Y","N","N",3,0,"2025-04-26-Regensburg-Braunschweig","0",2,0,0,10,4,6,4,30,200,60,240,16,80,480,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,58,0,115,0,58,115,173,58,26,26,0,69
"9","D2",2025-04-26,"Regensburg","Braunschweig",1,1,"D",1,1,"D",2.98,3.39,2.45,"1-1","1-1",7,4,8,4,1,2,0,0,7,1,12,11,2,8,23,"7-1","Y","N","N",3,0,"2025-04-26-Regensburg-Braunschweig","0",2.5,0,0,128.75,42.375,16.625,43.5,47.5,587.5,128.75,423.75,19.625,1014.5,1085,0.5,0.875,0,0,1.5,1.875,0,0,5,8.75,13.75,15,18.75,33.75,437.5,115.625,0,168,0,115.625,168,283.625,43.75,47.625,38.75,0.125,88.375
