,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,GlspAst,npG,PK,PKA,YCrd,RCrd,Gls p90,Ast p90,GandA p90,npG p90,npGandA p90,xG,npxG,xA,npxG+xA,xG p90,xA p90,xG+xA p90,npxG p90
283,283,Rayan Philippe,fr FRA,"FW,MF",Braunschweig,23-340,2000,6,6,515,5.7,3,1,4,3,0,0,1,0,2.8,2.8,1.3,4.1,17,12,33,0.52,0.17,0.7,0.52,0.7,0.49
130,130,Felix Higl,de GER,FW,Ulm,27-263,1997,6,3,351,3.9,3,0,3,2,1,1,0,0,1.2,0.5,0.2,0.6,6,10,23,0.77,0,0.77,0.51,0.51,0.32
346,346,Philipp Strompf,de GER,DF,Ulm,26-157,1998,6,6,540,6,1,0,1,1,0,0,2,0,0.5,0.5,0.4,0.9,1,13,1,0.17,0,0.17,0.17,0.17,0.09
302,302,Johannes Reichert,de GER,DF,Ulm,33-087,1991,6,6,528,5.9,1,1,2,0,1,1,1,0,0.8,0,0.5,0.5,4,12,4,0.17,0.17,0.34,0,0.17,0.13
355,355,Semir Telalovic,de GER,"FW,MF",Ulm,24-279,1999,6,3,215,2.4,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.9,1,4,14,0.42,0,0.42,0.42,0.42,0.31
28,28,Ermin Bi?ak?i?,ba BIH,DF,Braunschweig,34-247,1990,6,6,540,6,1,0,1,1,0,0,0,0,1.2,1.2,0.2,1.4,1,10,0,0.17,0,0.17,0.17,0.17,0.2
71,71,Kevin Ehlers,de GER,DF,Braunschweig,23-248,2001,3,1,83,0.9,1,0,1,1,0,0,0,0,0.2,0.2,0,0.2,0,3,0,1.08,0,1.08,1.08,1.08,0.22
349,349,Levente Szabo,hu HUN,FW,Braunschweig,25-113,1999,6,1,220,2.4,1,0,1,1,0,0,0,0,1,1,0,1.1,1,4,9,0.41,0,0.41,0.41,0.41,0.42
312,312,Romario Rösch,de GER,DF,Ulm,25-088,1999,6,6,516,5.7,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,19,16,31,0,0,0,0,0,0.02
33,33,Max Brandt,de GER,MF,Ulm,23-117,2001,6,4,357,4,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.6,4,26,5,0,0,0,0,0,0.06
216,216,Philipp Maier,de GER,MF,Ulm,30-105,1994,6,4,317,3.5,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,0,13,1,0,0,0,0,0,0.03
271,271,Christian Ortag,de GER,GK,Ulm,29-257,1995,6,6,540,6,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
185,185,Sven Köhler,de GER,MF,Braunschweig,27-324,1996,6,6,540,6,0,2,2,0,0,0,2,0,0.2,0.2,1.4,1.6,7,38,11,0,0.33,0.33,0,0.33,0.03
272,272,Walid Ould-Chikh,ma MAR,"MF,DF",Braunschweig,24-326,1999,4,1,92,1,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.6,1,7,5,0,0,0,0,0,0.15
308,308,Marvin-Lee Rittmüller,de GER,"DF,MF",Braunschweig,25-204,1999,5,4,372,4.1,0,0,0,0,0,0,2,0,0,0,0.1,0.1,6,14,26,0,0,0,0,0,0
4,4,Bastian Allgeier,de GER,DF,Ulm,22-222,2002,4,3,333,3.7,0,1,1,0,0,0,1,0,0,0,0.3,0.3,12,11,12,0,0.27,0.27,0,0.27,0
46,46,Dennis Chessa,de GER,MF,Ulm,31-344,1992,6,5,456,5.1,0,2,2,0,0,0,1,0,0.5,0.5,0.5,1.1,11,8,37,0,0.39,0.39,0,0.39,0.1
186,186,Niklas Kolbe,de GER,DF,Ulm,27-275,1996,5,4,329,3.7,0,0,0,0,0,0,1,0,0.3,0.3,0,0.3,6,20,1,0,0,0,0,0,0.08
363,363,Lauren Ulrich,de GER,MF,Ulm,19-240,2005,1,0,10,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,Leon Bell Bell,cm CMR,"DF,MF",Braunschweig,28-021,1996,4,2,162,1.8,0,0,0,0,0,0,1,0,0,0,0,0,4,4,12,0,0,0,0,0,0
52,52,Christian Conteh,de GER,"FW,DF",Braunschweig,25-031,1999,5,0,69,0.8,0,0,0,0,0,0,1,0,0.8,0.8,0.6,1.4,2,3,8,0,0,0,0,0,1.07
148,148,Robert Ivanov,fi FIN,DF,Braunschweig,30-008,1994,6,5,442,4.9,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.3,4,19,3,0,0,0,0,0,0.05
150,150,Paul Jaeckel,de GER,DF,Braunschweig,26-067,1998,3,3,258,2.9,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,5,17,1,0,0,0,0,0,0.03
169,169,Fabio Kaufmann,de GER,MF,Braunschweig,32-019,1992,6,5,441,4.9,0,0,0,0,0,0,1,0,0.3,0.3,0.6,1,9,22,31,0,0,0,0,0,0.06
194,194,Robin Krauße,de GER,MF,Braunschweig,30-178,1994,3,3,249,2.8,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.3,0,10,3,0,0,0,0,0,0.06
219,219,Max Marie,de GER,"MF,DF",Braunschweig,19-361,2004,1,0,33,0.4,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,1,3,4,0,0,0,0,0,0.5
353,353,Niklas Tauer,de GER,MF,Braunschweig,23-223,2001,3,1,71,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,0,8,1,0,0,0,0,0,0.25
43,43,Niklas Castelle,de GER,MF,Ulm,21-296,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
86,86,Tom Gaal,de GER,DF,Ulm,23-208,2001,4,2,177,2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,3,0,0,0,0,0,0,0.05
95,95,Thomas Geyer,de GER,DF,Ulm,33-205,1991,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,142,Luka Hyryläinen,fi FIN,MF,Ulm,20-033,2004,6,4,384,4.3,0,0,0,0,0,0,0,0,0.8,0.8,0.2,0.9,4,12,6,0,0,0,0,0,0.18
170,170,Aaron Keller,de GER,"FW,MF",Ulm,20-135,2004,3,2,144,1.6,0,0,0,0,0,0,0,0,0,0,0,0,5,2,10,0,0,0,0,0,0.03
193,193,Maurice Krattenmacher,de GER,"MF,FW",Ulm,19-047,2005,6,4,358,4,0,0,0,0,0,0,0,0,0.6,0.6,0.7,1.3,14,14,20,0,0,0,0,0,0.14
230,230,Jonathan Meier,de GER,"MF,DF",Ulm,24-321,1999,3,0,27,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,3,1,0,0,0,0,0,0.41
251,251,Jayden Nelson,ca CAN,"MF,FW",Ulm,22-001,2002,3,1,95,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,3,2,4,0,0,0,0,0,0.15
345,345,Lennart Stoll,de GER,DF,Ulm,28-147,1996,3,3,207,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,10,8,0,0,0,0,0,0.03
14,14,Sanoussy Ba,de GER,"DF,MF",Braunschweig,20-266,2004,2,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0.2,0.2,2,4,5,0,0,0,0,0,0
102,102,Johan Gomez,us USA,"FW,MF",Braunschweig,23-066,2001,6,3,297,3.3,0,0,0,0,0,0,0,0,0.8,0.8,0.4,1.2,6,11,18,0,0,0,0,0,0.23
105,105,Lennart Grill,de GER,GK,Braunschweig,25-246,1999,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
259,259,Jannis Nikolaou,de GER,DF,Braunschweig,31-058,1993,3,3,264,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,9,0,0,0,0,0,0,0.03
288,288,Sebastian Polter,de GER,FW,Braunschweig,33-179,1991,3,3,188,2.1,0,1,1,0,0,0,0,0,0.7,0.7,1.2,1.9,1,7,10,0,0.48,0.48,0,0.48,0.35
296,296,Sidney Raebiger,de GER,"MF,FW",Braunschweig,19-163,2005,2,1,51,0.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,3,3,0,0,0,0,0,0.04
318,318,Fabio di Michele Sanchez,de GER,DF,Braunschweig,21-197,2003,6,4,378,4.2,0,1,1,0,0,0,0,0,0.2,0.2,0.9,1.1,10,9,34,0,0.24,0.24,0,0.24,0.05
